Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,11.4 [7.5-16.3],Middle East,11.4
Male,1975,5.7 [2.5-10.5],Middle East,5.7
Female,1975,17.2 [10.3-25.9],Middle East,17.2
Both sexes,1976,11.9 [8.0-16.7],Middle East,11.9
Male,1976,6.0 [2.7-10.8],Middle East,6.0
Female,1976,17.7 [10.9-26.4],Middle East,17.7
Both sexes,1977,12.3 [8.5-17.1],Middle East,12.3
Male,1977,6.4 [3.0-11.1],Middle East,6.4
Female,1977,18.3 [11.5-26.8],Middle East,18.3
Both sexes,1978,12.8 [9.0-17.5],Middle East,12.8
Male,1978,6.7 [3.3-11.5],Middle East,6.7
Female,1978,18.9 [12.1-27.1],Middle East,18.9
Both sexes,1979,13.3 [9.5-17.9],Middle East,13.3
Male,1979,7.1 [3.6-11.9],Middle East,7.1
Female,1979,19.5 [12.8-27.5],Middle East,19.5
Both sexes,1980,13.7 [9.9-18.3],Middle East,13.7
Male,1980,7.4 [3.9-12.3],Middle East,7.4
Female,1980,20.1 [13.4-27.9],Middle East,20.1
Both sexes,1981,14.2 [10.5-18.7],Middle East,14.2
Male,1981,7.8 [4.2-12.6],Middle East,7.8
Female,1981,20.7 [14.0-28.3],Middle East,20.7
Both sexes,1982,14.7 [11.0-19.2],Middle East,14.7
Male,1982,8.2 [4.6-13.0],Middle East,8.2
Female,1982,21.2 [14.6-28.8],Middle East,21.2
Both sexes,1983,15.2 [11.4-19.7],Middle East,15.2
Male,1983,8.6 [4.8-13.5],Middle East,8.6
Female,1983,21.8 [15.2-29.1],Middle East,21.8
Both sexes,1984,15.7 [11.9-20.1],Middle East,15.7
Male,1984,9.0 [5.1-13.9],Middle East,9.0
Female,1984,22.3 [15.7-29.6],Middle East,22.3
Both sexes,1985,16.2 [12.4-20.5],Middle East,16.2
Male,1985,9.4 [5.5-14.3],Middle East,9.4
Female,1985,22.9 [16.3-30.1],Middle East,22.9
Both sexes,1986,16.7 [12.8-20.9],Middle East,16.7
Male,1986,9.8 [5.8-14.8],Middle East,9.8
Female,1986,23.4 [16.9-30.6],Middle East,23.4
Both sexes,1987,17.1 [13.3-21.4],Middle East,17.1
Male,1987,10.2 [6.1-15.2],Middle East,10.2
Female,1987,23.9 [17.5-31.0],Middle East,23.9
Both sexes,1988,17.6 [13.7-21.8],Middle East,17.6
Male,1988,10.6 [6.4-15.7],Middle East,10.6
Female,1988,24.4 [18.0-31.4],Middle East,24.4
Both sexes,1989,18.0 [14.1-22.3],Middle East,18.0
Male,1989,11.0 [6.8-16.1],Middle East,11.0
Female,1989,24.8 [18.5-31.9],Middle East,24.8
Both sexes,1990,18.4 [14.5-22.7],Middle East,18.4
Male,1990,11.4 [7.1-16.5],Middle East,11.4
Female,1990,25.3 [18.9-32.2],Middle East,25.3
Both sexes,1991,18.9 [14.9-23.1],Middle East,18.9
Male,1991,11.7 [7.4-16.9],Middle East,11.7
Female,1991,25.7 [19.3-32.6],Middle East,25.7
Both sexes,1992,19.2 [15.3-23.5],Middle East,19.2
Male,1992,12.1 [7.7-17.3],Middle East,12.1
Female,1992,26.1 [19.8-33.0],Middle East,26.1
Both sexes,1993,19.6 [15.7-23.8],Middle East,19.6
Male,1993,12.4 [8.0-17.7],Middle East,12.4
Female,1993,26.5 [20.1-33.3],Middle East,26.5
Both sexes,1994,20.0 [16.1-24.2],Middle East,20.0
Male,1994,12.8 [8.3-18.1],Middle East,12.8
Female,1994,26.9 [20.5-33.6],Middle East,26.9
Both sexes,1995,20.3 [16.5-24.5],Middle East,20.3
Male,1995,13.1 [8.6-18.5],Middle East,13.1
Female,1995,27.2 [20.9-33.9],Middle East,27.2
Both sexes,1996,20.7 [16.9-24.8],Middle East,20.7
Male,1996,13.5 [8.9-18.9],Middle East,13.5
Female,1996,27.6 [21.3-34.3],Middle East,27.6
Both sexes,1997,21.1 [17.2-25.2],Middle East,21.1
Male,1997,13.8 [9.2-19.2],Middle East,13.8
Female,1997,27.9 [21.7-34.6],Middle East,27.9
Both sexes,1998,21.4 [17.6-25.5],Middle East,21.4
Male,1998,14.2 [9.5-19.6],Middle East,14.2
Female,1998,28.3 [22.1-34.9],Middle East,28.3
Both sexes,1999,21.8 [18.0-25.9],Middle East,21.8
