Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.4 [4.0-9.3],Western Europe,6.4
Male,1975,5.8 [2.8-10.2],Western Europe,5.8
Female,1975,6.9 [3.7-11.2],Western Europe,6.9
Both sexes,1976,6.6 [4.3-9.5],Western Europe,6.6
Male,1976,6.1 [3.0-10.3],Western Europe,6.1
Female,1976,7.2 [3.9-11.3],Western Europe,7.2
Both sexes,1977,6.9 [4.6-9.7],Western Europe,6.9
Male,1977,6.3 [3.2-10.6],Western Europe,6.3
Female,1977,7.5 [4.2-11.6],Western Europe,7.5
Both sexes,1978,7.2 [4.9-10.0],Western Europe,7.2
Male,1978,6.6 [3.5-10.7],Western Europe,6.6
Female,1978,7.7 [4.5-11.8],Western Europe,7.7
Both sexes,1979,7.5 [5.2-10.2],Western Europe,7.5
Male,1979,6.9 [3.7-11.0],Western Europe,6.9
Female,1979,8.0 [4.8-12.1],Western Europe,8.0
Both sexes,1980,7.8 [5.5-10.6],Western Europe,7.8
Male,1980,7.2 [4.0-11.3],Western Europe,7.2
Female,1980,8.3 [5.1-12.4],Western Europe,8.3
Both sexes,1981,8.1 [5.7-10.9],Western Europe,8.1
Male,1981,7.5 [4.3-11.6],Western Europe,7.5
Female,1981,8.7 [5.4-12.6],Western Europe,8.7
Both sexes,1982,8.4 [6.0-11.2],Western Europe,8.4
Male,1982,7.8 [4.6-11.9],Western Europe,7.8
Female,1982,9.0 [5.7-12.9],Western Europe,9.0
Both sexes,1983,8.7 [6.3-11.6],Western Europe,8.7
Male,1983,8.1 [4.9-12.3],Western Europe,8.1
Female,1983,9.3 [6.0-13.1],Western Europe,9.3
Both sexes,1984,9.1 [6.6-11.9],Western Europe,9.1
Male,1984,8.5 [5.2-12.6],Western Europe,8.5
Female,1984,9.6 [6.3-13.5],Western Europe,9.6
Both sexes,1985,9.4 [7.0-12.3],Western Europe,9.4
Male,1985,8.8 [5.4-13.0],Western Europe,8.8
Female,1985,10.0 [6.6-13.9],Western Europe,10.0
Both sexes,1986,9.8 [7.3-12.7],Western Europe,9.8
Male,1986,9.2 [5.7-13.4],Western Europe,9.2
Female,1986,10.3 [6.9-14.3],Western Europe,10.3
Both sexes,1987,10.1 [7.6-13.1],Western Europe,10.1
Male,1987,9.5 [6.1-13.8],Western Europe,9.5
Female,1987,10.7 [7.2-14.6],Western Europe,10.7
Both sexes,1988,10.5 [8.0-13.4],Western Europe,10.5
Male,1988,9.9 [6.4-14.2],Western Europe,9.9
Female,1988,11.1 [7.6-15.0],Western Europe,11.1
Both sexes,1989,10.9 [8.3-13.8],Western Europe,10.9
Male,1989,10.3 [6.7-14.6],Western Europe,10.3
Female,1989,11.4 [7.9-15.5],Western Europe,11.4
Both sexes,1990,11.3 [8.7-14.3],Western Europe,11.3
Male,1990,10.7 [7.0-15.1],Western Europe,10.7
Female,1990,11.8 [8.3-15.9],Western Europe,11.8
Both sexes,1991,11.7 [9.0-14.7],Western Europe,11.7
Male,1991,11.1 [7.4-15.5],Western Europe,11.1
Female,1991,12.2 [8.6-16.4],Western Europe,12.2
Both sexes,1992,12.1 [9.4-15.2],Western Europe,12.1
Male,1992,11.5 [7.7-16.0],Western Europe,11.5
Female,1992,12.6 [9.0-16.8],Western Europe,12.6
Both sexes,1993,12.5 [9.8-15.6],Western Europe,12.5
Male,1993,11.9 [8.1-16.5],Western Europe,11.9
Female,1993,13.1 [9.4-17.2],Western Europe,13.1
Both sexes,1994,13.0 [10.2-16.1],Western Europe,13.0
Male,1994,12.4 [8.5-17.0],Western Europe,12.4
Female,1994,13.5 [9.8-17.8],Western Europe,13.5
Both sexes,1995,13.5 [10.6-16.6],Western Europe,13.5
Male,1995,12.9 [8.9-17.5],Western Europe,12.9
Female,1995,14.0 [10.2-18.2],Western Europe,14.0
Both sexes,1996,13.9 [11.1-17.1],Western Europe,13.9
Male,1996,13.3 [9.3-18.0],Western Europe,13.3
Female,1996,14.4 [10.7-18.7],Western Europe,14.4
Both sexes,1997,14.4 [11.5-17.6],Western Europe,14.4
Male,1997,13.8 [9.7-18.5],Western Europe,13.8
Female,1997,14.9 [11.1-19.2],Western Europe,14.9
Both sexes,1998,14.9 [12.0-18.1],Western Europe,14.9
Male,1998,14.3 [10.2-19.1],Western Europe,14.3
Female,1998,15.4 [11.6-19.7],Western Europe,15.4
Both sexes,1999,15.4 [12.4-18.7],Western Europe,15.4
Male,1999,14.9 [10.7-19.7],Western Europe,14.9
Female,1999,15.9 [12.0-20.2],Western Europe,15.9
Both sexes,2000,16.0 [12.9-19.2],Western Europe,16.0
Male,2000,15.4 [11.1-20.2],Western Europe,15.4
Female,2000,16.5 [12.5-20.8],Western Europe,16.5
Both sexes,2001,16.5 [13.4-19.7],Western Europe,16.5
Male,2001,15.9 [11.5-20.7],Western Europe,15.9
Female,2001,17.0 [13.0-21.4],Western Europe,17.0
Both sexes,2002,17.0 [13.9-20.3],Western Europe,17.0
Male,2002,16.5 [12.0-21.3],Western Europe,16.5
Female,2002,17.5 [13.5-22.0],Western Europe,17.5
Both sexes,2003,17.6 [14.4-20.9],Western Europe,17.6
Male,2003,17.0 [12.5-21.9],Western Europe,17.0
Female,2003,18.1 [14.0-22.5],Western Europe,18.1
Both sexes,2004,18.1 [15.0-21.4],Western Europe,18.1
Male,2004,17.6 [13.0-22.5],Western Europe,17.6
Female,2004,18.6 [14.5-23.1],Western Europe,18.6
Both sexes,2005,18.7 [15.5-22.0],Western Europe,18.7
Male,2005,18.2 [13.6-23.2],Western Europe,18.2
Female,2005,19.2 [15.0-23.7],Western Europe,19.2
Both sexes,2006,19.3 [16.0-22.6],Western Europe,19.3
Male,2006,18.8 [14.1-23.8],Western Europe,18.8
Female,2006,19.7 [15.5-24.3],Western Europe,19.7
Both sexes,2007,19.8 [16.6-23.2],Western Europe,19.8
Male,2007,19.4 [14.6-24.4],Western Europe,19.4
Female,2007,20.3 [15.9-25.0],Western Europe,20.3
Both sexes,2008,20.4 [17.1-23.9],Western Europe,20.4
Male,2008,19.9 [15.1-25.0],Western Europe,19.9
Female,2008,20.8 [16.5-25.6],Western Europe,20.8
Both sexes,2009,21.0 [17.6-24.5],Western Europe,21.0
Male,2009,20.6 [15.7-25.7],Western Europe,20.6
Female,2009,21.4 [16.9-26.3],Western Europe,21.4
Both sexes,2010,21.6 [18.0-25.2],Western Europe,21.6
Male,2010,21.2 [16.1-26.5],Western Europe,21.2
Female,2010,22.0 [17.3-27.0],Western Europe,22.0
Both sexes,2011,22.2 [18.6-25.9],Western Europe,22.2
Male,2011,21.8 [16.6-27.2],Western Europe,21.8
Female,2011,22.5 [17.7-27.8],Western Europe,22.5
Both sexes,2012,22.8 [19.1-26.6],Western Europe,22.8
Male,2012,22.4 [16.9-28.0],Western Europe,22.4
Female,2012,23.1 [18.1-28.5],Western Europe,23.1
Both sexes,2013,23.4 [19.5-27.4],Western Europe,23.4
Male,2013,23.1 [17.4-28.9],Western Europe,23.1
Female,2013,23.7 [18.5-29.3],Western Europe,23.7
Both sexes,2014,24.0 [20.0-28.2],Western Europe,24.0
Male,2014,23.7 [17.9-29.8],Western Europe,23.7
Female,2014,24.3 [18.9-30.2],Western Europe,24.3
Both sexes,2015,24.7 [20.5-29.0],Western Europe,24.7
Male,2015,24.4 [18.3-30.7],Western Europe,24.4
Female,2015,24.9 [19.3-31.0],Western Europe,24.9
Both sexes,2016,25.3 [20.9-29.9],Western Europe,25.3
Male,2016,25.1 [18.6-31.7],Western Europe,25.1
Female,2016,25.5 [19.6-31.9],Western Europe,25.5
