Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.4 [6.0-11.3],Southern Europe,8.4
Male,1975,6.4 [3.6-10.0],Southern Europe,6.4
Female,1975,10.1 [6.5-14.8],Southern Europe,10.1
Both sexes,1976,8.6 [6.3-11.4],Southern Europe,8.6
Male,1976,6.6 [3.9-10.1],Southern Europe,6.6
Female,1976,10.3 [6.8-14.9],Southern Europe,10.3
Both sexes,1977,8.9 [6.6-11.5],Southern Europe,8.9
Male,1977,6.9 [4.3-10.2],Southern Europe,6.9
Female,1977,10.6 [7.2-14.9],Southern Europe,10.6
Both sexes,1978,9.1 [6.9-11.7],Southern Europe,9.1
Male,1978,7.1 [4.6-10.2],Southern Europe,7.1
Female,1978,10.8 [7.6-14.9],Southern Europe,10.8
Both sexes,1979,9.3 [7.2-11.8],Southern Europe,9.3
Male,1979,7.4 [4.9-10.4],Southern Europe,7.4
Female,1979,11.0 [7.9-15.0],Southern Europe,11.0
Both sexes,1980,9.6 [7.5-11.9],Southern Europe,9.6
Male,1980,7.6 [5.2-10.6],Southern Europe,7.6
Female,1980,11.2 [8.2-15.0],Southern Europe,11.2
Both sexes,1981,9.8 [7.8-12.1],Southern Europe,9.8
Male,1981,7.9 [5.5-10.8],Southern Europe,7.9
Female,1981,11.5 [8.5-15.2],Southern Europe,11.5
Both sexes,1982,10.1 [8.1-12.3],Southern Europe,10.1
Male,1982,8.2 [5.8-11.0],Southern Europe,8.2
Female,1982,11.7 [8.9-15.3],Southern Europe,11.7
Both sexes,1983,10.3 [8.4-12.4],Southern Europe,10.3
Male,1983,8.5 [6.2-11.2],Southern Europe,8.5
Female,1983,11.9 [9.2-15.4],Southern Europe,11.9
Both sexes,1984,10.6 [8.7-12.6],Southern Europe,10.6
Male,1984,8.7 [6.5-11.4],Southern Europe,8.7
Female,1984,12.1 [9.5-15.5],Southern Europe,12.1
Both sexes,1985,10.8 [9.0-12.8],Southern Europe,10.8
Male,1985,9.0 [6.8-11.7],Southern Europe,9.0
Female,1985,12.4 [9.7-15.6],Southern Europe,12.4
Both sexes,1986,11.1 [9.3-13.0],Southern Europe,11.1
Male,1986,9.3 [7.1-11.9],Southern Europe,9.3
Female,1986,12.6 [10.0-15.7],Southern Europe,12.6
Both sexes,1987,11.3 [9.6-13.2],Southern Europe,11.3
Male,1987,9.6 [7.4-12.2],Southern Europe,9.6
Female,1987,12.8 [10.3-15.8],Southern Europe,12.8
Both sexes,1988,11.6 [9.9-13.5],Southern Europe,11.6
Male,1988,9.9 [7.7-12.5],Southern Europe,9.9
Female,1988,13.0 [10.5-16.0],Southern Europe,13.0
Both sexes,1989,11.9 [10.2-13.7],Southern Europe,11.9
