Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.0 [0.7-1.5],East Asia,1.0
Male,1975,0.6 [0.3-1.0],East Asia,0.6
Female,1975,1.4 [0.9-2.2],East Asia,1.4
Both sexes,1976,1.1 [0.8-1.5],East Asia,1.1
Male,1976,0.7 [0.4-1.0],East Asia,0.7
Female,1976,1.5 [0.9-2.2],East Asia,1.5
Both sexes,1977,1.1 [0.8-1.5],East Asia,1.1
Male,1977,0.7 [0.4-1.1],East Asia,0.7
Female,1977,1.5 [1.0-2.2],East Asia,1.5
Both sexes,1978,1.2 [0.8-1.5],East Asia,1.2
Male,1978,0.7 [0.5-1.1],East Asia,0.7
Female,1978,1.5 [1.0-2.2],East Asia,1.5
Both sexes,1979,1.2 [0.9-1.6],East Asia,1.2
Male,1979,0.8 [0.5-1.1],East Asia,0.8
Female,1979,1.6 [1.0-2.2],East Asia,1.6
Both sexes,1980,1.2 [0.9-1.6],East Asia,1.2
Male,1980,0.8 [0.5-1.1],East Asia,0.8
Female,1980,1.6 [1.1-2.2],East Asia,1.6
Both sexes,1981,1.2 [1.0-1.6],East Asia,1.2
Male,1981,0.8 [0.6-1.2],East Asia,0.8
Female,1981,1.6 [1.1-2.2],East Asia,1.6
Both sexes,1982,1.3 [1.0-1.6],East Asia,1.3
Male,1982,0.9 [0.6-1.2],East Asia,0.9
Female,1982,1.6 [1.2-2.2],East Asia,1.6
Both sexes,1983,1.3 [1.0-1.6],East Asia,1.3
Male,1983,0.9 [0.6-1.2],East Asia,0.9
Female,1983,1.7 [1.2-2.2],East Asia,1.7
Both sexes,1984,1.3 [1.1-1.7],East Asia,1.3
Male,1984,0.9 [0.6-1.3],East Asia,0.9
Female,1984,1.7 [1.2-2.2],East Asia,1.7
Both sexes,1985,1.4 [1.1-1.7],East Asia,1.4
Male,1985,1.0 [0.7-1.3],East Asia,1.0
Female,1985,1.7 [1.3-2.2],East Asia,1.7
Both sexes,1986,1.4 [1.1-1.7],East Asia,1.4
Male,1986,1.0 [0.7-1.4],East Asia,1.0
Female,1986,1.7 [1.3-2.2],East Asia,1.7
Both sexes,1987,1.4 [1.2-1.7],East Asia,1.4
Male,1987,1.0 [0.8-1.4],East Asia,1.0
Female,1987,1.8 [1.3-2.3],East Asia,1.8
Both sexes,1988,1.5 [1.2-1.8],East Asia,1.5
Male,1988,1.1 [0.8-1.5],East Asia,1.1
Female,1988,1.8 [1.4-2.3],East Asia,1.8
Both sexes,1989,1.5 [1.2-1.8],East Asia,1.5
Male,1989,1.1 [0.8-1.5],East Asia,1.1
Female,1989,1.8 [1.4-2.3],East Asia,1.8
Both sexes,1990,1.5 [1.3-1.9],East Asia,1.5
Male,1990,1.2 [0.9-1.6],East Asia,1.2
Female,1990,1.8 [1.4-2.4],East Asia,1.8
Both sexes,1991,1.6 [1.3-1.9],East Asia,1.6
Male,1991,1.2 [0.9-1.7],East Asia,1.2
Female,1991,1.9 [1.4-2.4],East Asia,1.9
Both sexes,1992,1.6 [1.3-1.9],East Asia,1.6
Male,1992,1.3 [1.0-1.7],East Asia,1.3
Female,1992,1.9 [1.5-2.4],East Asia,1.9
Both sexes,1993,1.7 [1.4-2.0],East Asia,1.7
Male,1993,1.4 [1.0-1.8],East Asia,1.4
Female,1993,2.0 [1.5-2.5],East Asia,2.0
Both sexes,1994,1.7 [1.4-2.0],East Asia,1.7
Male,1994,1.4 [1.0-1.9],East Asia,1.4
Female,1994,2.0 [1.5-2.5],East Asia,2.0
Both sexes,1995,1.8 [1.5-2.1],East Asia,1.8
Male,1995,1.5 [1.1-1.9],East Asia,1.5
Female,1995,2.0 [1.6-2.6],East Asia,2.0
Both sexes,1996,1.8 [1.5-2.2],East Asia,1.8
Male,1996,1.5 [1.1-2.0],East Asia,1.5
Female,1996,2.1 [1.6-2.6],East Asia,2.1
Both sexes,1997,1.9 [1.6-2.2],East Asia,1.9
Male,1997,1.6 [1.2-2.1],East Asia,1.6
Female,1997,2.1 [1.6-2.6],East Asia,2.1
Both sexes,1998,1.9 [1.6-2.3],East Asia,1.9
Male,1998,1.7 [1.3-2.2],East Asia,1.7
Female,1998,2.2 [1.7-2.7],East Asia,2.2
