Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.3 [8.3-17.1],Middle East,12.3
Male,1975,6.2 [2.9-11.0],Middle East,6.2
Female,1975,18.5 [11.4-27.0],Middle East,18.5
Both sexes,1976,12.7 [8.7-17.2],Middle East,12.7
Male,1976,6.4 [3.2-11.2],Middle East,6.4
Female,1976,19.0 [12.0-27.2],Middle East,19.0
Both sexes,1977,13.0 [9.1-17.4],Middle East,13.0
Male,1977,6.7 [3.5-11.4],Middle East,6.7
Female,1977,19.4 [12.6-27.4],Middle East,19.4
Both sexes,1978,13.4 [9.6-17.7],Middle East,13.4
Male,1978,7.0 [3.7-11.5],Middle East,7.0
Female,1978,19.9 [13.3-27.6],Middle East,19.9
Both sexes,1979,13.7 [10.0-17.9],Middle East,13.7
Male,1979,7.3 [4.0-11.7],Middle East,7.3
Female,1979,20.4 [14.0-27.8],Middle East,20.4
Both sexes,1980,14.1 [10.5-18.1],Middle East,14.1
Male,1980,7.6 [4.3-12.1],Middle East,7.6
Female,1980,20.9 [14.6-28.1],Middle East,20.9
Both sexes,1981,14.5 [11.0-18.5],Middle East,14.5
Male,1981,7.9 [4.6-12.4],Middle East,7.9
Female,1981,21.5 [15.3-28.5],Middle East,21.5
Both sexes,1982,15.0 [11.5-18.8],Middle East,15.0
Male,1982,8.3 [5.0-12.8],Middle East,8.3
Female,1982,22.1 [16.1-28.9],Middle East,22.1
Both sexes,1983,15.5 [12.1-19.3],Middle East,15.5
Male,1983,8.7 [5.4-13.2],Middle East,8.7
Female,1983,22.8 [16.9-29.4],Middle East,22.8
Both sexes,1984,16.1 [12.7-19.8],Middle East,16.1
Male,1984,9.1 [5.7-13.7],Middle East,9.1
Female,1984,23.5 [17.7-30.0],Middle East,23.5
Both sexes,1985,16.7 [13.3-20.4],Middle East,16.7
Male,1985,9.6 [6.2-14.3],Middle East,9.6
Female,1985,24.2 [18.5-30.6],Middle East,24.2
Both sexes,1986,17.3 [14.0-21.0],Middle East,17.3
