Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.7 [3.8-10.6],Central Asia,6.7
Male,1975,4.7 [1.9-9.3],Central Asia,4.7
Female,1975,8.1 [3.8-14.2],Central Asia,8.1
Both sexes,1976,6.9 [4.0-10.8],Central Asia,6.9
Male,1976,4.9 [2.1-9.5],Central Asia,4.9
Female,1976,8.3 [4.1-14.4],Central Asia,8.3
Both sexes,1977,7.2 [4.3-10.9],Central Asia,7.2
Male,1977,5.1 [2.2-9.8],Central Asia,5.1
Female,1977,8.6 [4.4-14.5],Central Asia,8.6
Both sexes,1978,7.4 [4.5-11.1],Central Asia,7.4
Male,1978,5.3 [2.4-10.0],Central Asia,5.3
Female,1978,8.9 [4.6-14.8],Central Asia,8.9
Both sexes,1979,7.7 [4.7-11.3],Central Asia,7.7
Male,1979,5.6 [2.6-10.2],Central Asia,5.6
Female,1979,9.2 [4.9-15.0],Central Asia,9.2
Both sexes,1980,7.9 [5.0-11.6],Central Asia,7.9
Male,1980,5.8 [2.7-10.5],Central Asia,5.8
Female,1980,9.4 [5.2-15.2],Central Asia,9.4
Both sexes,1981,8.2 [5.2-11.8],Central Asia,8.2
Male,1981,6.0 [2.9-10.7],Central Asia,6.0
Female,1981,9.7 [5.5-15.4],Central Asia,9.7
Both sexes,1982,8.5 [5.5-12.0],Central Asia,8.5
Male,1982,6.3 [3.1-11.0],Central Asia,6.3
Female,1982,10.0 [5.8-15.6],Central Asia,10.0
Both sexes,1983,8.7 [5.8-12.3],Central Asia,8.7
Male,1983,6.5 [3.3-11.3],Central Asia,6.5
Female,1983,10.3 [6.1-15.8],Central Asia,10.3
Both sexes,1984,9.0 [6.1-12.6],Central Asia,9.0
Male,1984,6.8 [3.5-11.6],Central Asia,6.8
Female,1984,10.6 [6.4-16.1],Central Asia,10.6
Both sexes,1985,9.3 [6.3-12.9],Central Asia,9.3
Male,1985,7.1 [3.7-11.9],Central Asia,7.1
Female,1985,10.9 [6.6-16.3],Central Asia,10.9
Both sexes,1986,9.6 [6.6-13.2],Central Asia,9.6
Male,1986,7.4 [3.9-12.3],Central Asia,7.4
Female,1986,11.3 [7.0-16.6],Central Asia,11.3
Both sexes,1987,9.9 [6.9-13.5],Central Asia,9.9
Male,1987,7.7 [4.1-12.6],Central Asia,7.7
Female,1987,11.6 [7.3-16.9],Central Asia,11.6
Both sexes,1988,10.2 [7.1-13.8],Central Asia,10.2
Male,1988,7.9 [4.3-13.0],Central Asia,7.9
Female,1988,11.9 [7.6-17.2],Central Asia,11.9
Both sexes,1989,10.5 [7.4-14.1],Central Asia,10.5
Male,1989,8.2 [4.5-13.3],Central Asia,8.2
Female,1989,12.2 [7.9-17.5],Central Asia,12.2
