Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.8 [0.3-1.7],East Africa,0.8
Male,1975,0.2 [0.0-0.8],East Africa,0.2
Female,1975,1.4 [0.4-3.2],East Africa,1.4
Both sexes,1976,0.9 [0.4-1.8],East Africa,0.9
Male,1976,0.3 [0.0-0.8],East Africa,0.3
Female,1976,1.5 [0.5-3.3],East Africa,1.5
Both sexes,1977,0.9 [0.4-1.9],East Africa,0.9
Male,1977,0.3 [0.1-0.8],East Africa,0.3
Female,1977,1.6 [0.6-3.4],East Africa,1.6
Both sexes,1978,1.0 [0.4-1.9],East Africa,1.0
Male,1978,0.3 [0.1-0.8],East Africa,0.3
Female,1978,1.7 [0.6-3.5],East Africa,1.7
Both sexes,1979,1.1 [0.5-2.0],East Africa,1.1
Male,1979,0.3 [0.1-0.9],East Africa,0.3
Female,1979,1.8 [0.7-3.6],East Africa,1.8
Both sexes,1980,1.1 [0.5-2.1],East Africa,1.1
Male,1980,0.3 [0.1-0.9],East Africa,0.3
Female,1980,1.9 [0.8-3.7],East Africa,1.9
Both sexes,1981,1.2 [0.6-2.1],East Africa,1.2
Male,1981,0.4 [0.1-0.9],East Africa,0.4
Female,1981,2.0 [0.8-3.8],East Africa,2.0
Both sexes,1982,1.3 [0.6-2.2],East Africa,1.3
Male,1982,0.4 [0.1-1.0],East Africa,0.4
Female,1982,2.1 [0.9-3.9],East Africa,2.1
Both sexes,1983,1.3 [0.7-2.3],East Africa,1.3
Male,1983,0.4 [0.1-1.0],East Africa,0.4
Female,1983,2.2 [1.0-4.0],East Africa,2.2
Both sexes,1984,1.4 [0.7-2.4],East Africa,1.4
Male,1984,0.4 [0.1-1.1],East Africa,0.4
Female,1984,2.3 [1.1-4.2],East Africa,2.3
Both sexes,1985,1.5 [0.8-2.5],East Africa,1.5
Male,1985,0.5 [0.1-1.1],East Africa,0.5
Female,1985,2.5 [1.2-4.3],East Africa,2.5
Both sexes,1986,1.6 [0.9-2.6],East Africa,1.6
Male,1986,0.5 [0.2-1.2],East Africa,0.5
Female,1986,2.6 [1.3-4.5],East Africa,2.6
Both sexes,1987,1.6 [0.9-2.6],East Africa,1.6
Male,1987,0.5 [0.2-1.2],East Africa,0.5
Female,1987,2.7 [1.4-4.6],East Africa,2.7
Both sexes,1988,1.7 [1.0-2.7],East Africa,1.7
Male,1988,0.6 [0.2-1.3],East Africa,0.6
Female,1988,2.9 [1.5-4.8],East Africa,2.9
Both sexes,1989,1.8 [1.1-2.8],East Africa,1.8
Male,1989,0.6 [0.2-1.3],East Africa,0.6
Female,1989,3.0 [1.6-5.0],East Africa,3.0
Both sexes,1990,1.9 [1.1-3.0],East Africa,1.9
Male,1990,0.6 [0.2-1.4],East Africa,0.6
Female,1990,3.2 [1.7-5.1],East Africa,3.2
Both sexes,1991,2.0 [1.2-3.1],East Africa,2.0
Male,1991,0.7 [0.2-1.4],East Africa,0.7
Female,1991,3.3 [1.8-5.3],East Africa,3.3
Both sexes,1992,2.1 [1.3-3.2],East Africa,2.1
Male,1992,0.7 [0.3-1.5],East Africa,0.7
Female,1992,3.5 [2.0-5.6],East Africa,3.5
Both sexes,1993,2.2 [1.4-3.3],East Africa,2.2
Male,1993,0.8 [0.3-1.6],East Africa,0.8
Female,1993,3.7 [2.1-5.8],East Africa,3.7
Both sexes,1994,2.4 [1.5-3.5],East Africa,2.4
Male,1994,0.8 [0.3-1.6],East Africa,0.8
Female,1994,3.8 [2.2-6.0],East Africa,3.8
Both sexes,1995,2.5 [1.6-3.7],East Africa,2.5
Male,1995,0.9 [0.3-1.7],East Africa,0.9
Female,1995,4.0 [2.4-6.3],East Africa,4.0
Both sexes,1996,2.6 [1.7-3.8],East Africa,2.6
Male,1996,0.9 [0.4-1.8],East Africa,0.9
Female,1996,4.3 [2.5-6.5],East Africa,4.3
Both sexes,1997,2.8 [1.8-4.0],East Africa,2.8
Male,1997,1.0 [0.4-1.9],East Africa,1.0
Female,1997,4.5 [2.7-6.8],East Africa,4.5
Both sexes,1998,2.9 [1.9-4.2],East Africa,2.9
Male,1998,1.0 [0.4-2.0],East Africa,1.0
Female,1998,4.7 [2.9-7.1],East Africa,4.7
Both sexes,1999,3.1 [2.0-4.4],East Africa,3.1
Male,1999,1.1 [0.5-2.1],East Africa,1.1
Female,1999,5.0 [3.1-7.4],East Africa,5.0
Both sexes,2000,3.2 [2.2-4.6],East Africa,3.2
Male,2000,1.1 [0.5-2.2],East Africa,1.1
Female,2000,5.2 [3.3-7.7],East Africa,5.2
Both sexes,2001,3.4 [2.3-4.8],East Africa,3.4
Male,2001,1.2 [0.5-2.3],East Africa,1.2
Female,2001,5.5 [3.5-8.0],East Africa,5.5
Both sexes,2002,3.6 [2.4-5.0],East Africa,3.6
Male,2002,1.3 [0.6-2.4],East Africa,1.3
Female,2002,5.8 [3.7-8.3],East Africa,5.8
Both sexes,2003,3.8 [2.6-5.2],East Africa,3.8
Male,2003,1.4 [0.6-2.5],East Africa,1.4
Female,2003,6.1 [4.0-8.7],East Africa,6.1
Both sexes,2004,4.0 [2.8-5.5],East Africa,4.0
Male,2004,1.4 [0.7-2.6],East Africa,1.4
Female,2004,6.4 [4.2-9.1],East Africa,6.4
Both sexes,2005,4.2 [2.9-5.7],East Africa,4.2
Male,2005,1.5 [0.7-2.8],East Africa,1.5
Female,2005,6.7 [4.4-9.4],East Africa,6.7
Both sexes,2006,4.4 [3.1-6.0],East Africa,4.4
Male,2006,1.6 [0.8-2.9],East Africa,1.6
Female,2006,7.0 [4.7-9.8],East Africa,7.0
Both sexes,2007,4.6 [3.3-6.2],East Africa,4.6
Male,2007,1.7 [0.8-3.0],East Africa,1.7
Female,2007,7.4 [5.0-10.3],East Africa,7.4
Both sexes,2008,4.9 [3.4-6.5],East Africa,4.9
Male,2008,1.8 [0.9-3.2],East Africa,1.8
Female,2008,7.7 [5.3-10.7],East Africa,7.7
Both sexes,2009,5.1 [3.6-6.8],East Africa,5.1
Male,2009,1.9 [0.9-3.4],East Africa,1.9
Female,2009,8.1 [5.5-11.2],East Africa,8.1
Both sexes,2010,5.4 [3.8-7.1],East Africa,5.4
Male,2010,2.0 [1.0-3.6],East Africa,2.0
Female,2010,8.5 [5.8-11.7],East Africa,8.5
Both sexes,2011,5.6 [4.0-7.5],East Africa,5.6
Male,2011,2.1 [1.0-3.8],East Africa,2.1
Female,2011,8.9 [6.1-12.2],East Africa,8.9
Both sexes,2012,5.9 [4.2-7.9],East Africa,5.9
Male,2012,2.3 [1.1-4.0],East Africa,2.3
Female,2012,9.3 [6.4-12.8],East Africa,9.3
Both sexes,2013,6.2 [4.4-8.3],East Africa,6.2
Male,2013,2.4 [1.2-4.3],East Africa,2.4
Female,2013,9.7 [6.7-13.4],East Africa,9.7
Both sexes,2014,6.5 [4.6-8.7],East Africa,6.5
Male,2014,2.5 [1.2-4.6],East Africa,2.5
Female,2014,10.2 [6.9-14.0],East Africa,10.2
Both sexes,2015,6.8 [4.8-9.1],East Africa,6.8
Male,2015,2.7 [1.3-4.9],East Africa,2.7
Female,2015,10.6 [7.2-14.8],East Africa,10.6
Both sexes,2016,7.1 [5.0-9.6],East Africa,7.1
Male,2016,2.8 [1.3-5.2],East Africa,2.8
Female,2016,11.1 [7.5-15.6],East Africa,11.1
