Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,18.6 [13.8-24.1],Middle East,18.6
Male,1975,11.8 [6.8-18.3],Middle East,11.8
Female,1975,28.0 [19.3-37.5],Middle East,28.0
Both sexes,1976,19.0 [14.4-24.3],Middle East,19.0
Male,1976,12.3 [7.3-18.6],Middle East,12.3
Female,1976,28.6 [20.1-37.8],Middle East,28.6
Both sexes,1977,19.4 [14.9-24.6],Middle East,19.4
Male,1977,12.8 [7.9-18.9],Middle East,12.8
Female,1977,29.2 [21.0-38.1],Middle East,29.2
Both sexes,1978,19.8 [15.4-24.9],Middle East,19.8
Male,1978,13.3 [8.4-19.3],Middle East,13.3
Female,1978,29.9 [21.8-38.4],Middle East,29.9
Both sexes,1979,20.3 [15.9-25.1],Middle East,20.3
Male,1979,13.8 [9.0-19.8],Middle East,13.8
Female,1979,30.5 [22.7-38.8],Middle East,30.5
Both sexes,1980,20.8 [16.5-25.5],Middle East,20.8
Male,1980,14.4 [9.5-20.2],Middle East,14.4
Female,1980,31.1 [23.6-39.3],Middle East,31.1
Both sexes,1981,21.3 [17.1-25.9],Middle East,21.3
Male,1981,15.0 [10.1-20.7],Middle East,15.0
Female,1981,31.7 [24.4-39.5],Middle East,31.7
Both sexes,1982,21.9 [17.7-26.3],Middle East,21.9
Male,1982,15.5 [10.7-21.2],Middle East,15.5
Female,1982,32.3 [25.2-39.9],Middle East,32.3
Both sexes,1983,22.4 [18.3-26.8],Middle East,22.4
Male,1983,16.1 [11.3-21.6],Middle East,16.1
Female,1983,32.9 [25.8-40.2],Middle East,32.9
Both sexes,1984,23.0 [19.0-27.4],Middle East,23.0
Male,1984,16.7 [11.8-22.2],Middle East,16.7
Female,1984,33.5 [26.6-40.6],Middle East,33.5
Both sexes,1985,23.6 [19.6-27.9],Middle East,23.6
Male,1985,17.2 [12.4-22.6],Middle East,17.2
Female,1985,34.0 [27.3-40.9],Middle East,34.0
Both sexes,1986,24.3 [20.3-28.4],Middle East,24.3
Male,1986,17.7 [12.9-23.1],Middle East,17.7
Female,1986,34.5 [27.9-41.2],Middle East,34.5
Both sexes,1987,24.9 [20.9-29.0],Middle East,24.9
Male,1987,18.2 [13.5-23.5],Middle East,18.2
Female,1987,35.0 [28.5-41.4],Middle East,35.0
Both sexes,1988,25.5 [21.6-29.5],Middle East,25.5
Male,1988,18.7 [14.0-23.9],Middle East,18.7
Female,1988,35.4 [29.1-41.6],Middle East,35.4
Both sexes,1989,26.0 [22.1-30.0],Middle East,26.0
Male,1989,19.2 [14.4-24.3],Middle East,19.2
Female,1989,35.8 [29.6-41.9],Middle East,35.8
Both sexes,1990,26.4 [22.6-30.3],Middle East,26.4
Male,1990,19.6 [15.0-24.7],Middle East,19.6
Female,1990,36.1 [30.1-42.1],Middle East,36.1
Both sexes,1991,26.7 [22.9-30.6],Middle East,26.7
Male,1991,20.1 [15.4-25.1],Middle East,20.1
Female,1991,36.5 [30.7-42.4],Middle East,36.5
Both sexes,1992,26.9 [23.1-30.7],Middle East,26.9
Male,1992,20.5 [15.9-25.5],Middle East,20.5
Female,1992,36.8 [31.2-42.6],Middle East,36.8
Both sexes,1993,27.0 [23.3-30.8],Middle East,27.0
Male,1993,21.0 [16.4-25.9],Middle East,21.0
Female,1993,37.2 [31.6-42.9],Middle East,37.2
Both sexes,1994,27.2 [23.5-30.9],Middle East,27.2
Male,1994,21.4 [16.8-26.2],Middle East,21.4
