Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,13.4 [8.4-19.5],Eastern Europe,13.4
Male,1975,7.1 [3.2-13.0],Eastern Europe,7.1
Female,1975,18.0 [10.1-27.8],Eastern Europe,18.0
Both sexes,1976,13.7 [8.7-19.6],Eastern Europe,13.7
Male,1976,7.4 [3.4-13.1],Eastern Europe,7.4
Female,1976,18.3 [10.6-27.9],Eastern Europe,18.3
Both sexes,1977,14.0 [9.1-19.7],Eastern Europe,14.0
Male,1977,7.7 [3.7-13.4],Eastern Europe,7.7
Female,1977,18.6 [11.0-27.9],Eastern Europe,18.6
Both sexes,1978,14.3 [9.5-19.8],Eastern Europe,14.3
Male,1978,8.0 [4.0-13.6],Eastern Europe,8.0
Female,1978,18.9 [11.5-28.1],Eastern Europe,18.9
Both sexes,1979,14.5 [9.9-20.0],Eastern Europe,14.5
Male,1979,8.3 [4.2-14.0],Eastern Europe,8.3
Female,1979,19.2 [11.9-28.1],Eastern Europe,19.2
Both sexes,1980,14.8 [10.3-20.2],Eastern Europe,14.8
Male,1980,8.6 [4.5-14.3],Eastern Europe,8.6
Female,1980,19.5 [12.3-28.1],Eastern Europe,19.5
Both sexes,1981,15.1 [10.6-20.3],Eastern Europe,15.1
Male,1981,8.9 [4.8-14.6],Eastern Europe,8.9
Female,1981,19.8 [12.6-28.2],Eastern Europe,19.8
Both sexes,1982,15.4 [10.9-20.4],Eastern Europe,15.4
Male,1982,9.3 [5.0-14.9],Eastern Europe,9.3
Female,1982,20.0 [13.0-28.2],Eastern Europe,20.0
Both sexes,1983,15.7 [11.2-20.6],Eastern Europe,15.7
Male,1983,9.6 [5.3-15.2],Eastern Europe,9.6
Female,1983,20.2 [13.3-28.3],Eastern Europe,20.2
Both sexes,1984,15.9 [11.5-20.8],Eastern Europe,15.9
Male,1984,9.9 [5.6-15.5],Eastern Europe,9.9
Female,1984,20.5 [13.7-28.4],Eastern Europe,20.5
Both sexes,1985,16.2 [11.8-21.0],Eastern Europe,16.2
Male,1985,10.2 [5.9-15.8],Eastern Europe,10.2
Female,1985,20.7 [13.9-28.5],Eastern Europe,20.7
Both sexes,1986,16.4 [12.1-21.1],Eastern Europe,16.4
Male,1986,10.6 [6.2-16.2],Eastern Europe,10.6
Female,1986,20.9 [14.2-28.6],Eastern Europe,20.9
Both sexes,1987,16.6 [12.4-21.3],Eastern Europe,16.6
Male,1987,10.9 [6.4-16.5],Eastern Europe,10.9
Female,1987,21.1 [14.4-28.5],Eastern Europe,21.1
Both sexes,1988,16.8 [12.6-21.5],Eastern Europe,16.8
Male,1988,11.2 [6.7-16.9],Eastern Europe,11.2
Female,1988,21.2 [14.7-28.6],Eastern Europe,21.2
Both sexes,1989,17.1 [12.9-21.6],Eastern Europe,17.1
Male,1989,11.5 [7.0-17.3],Eastern Europe,11.5
Female,1989,21.4 [14.9-28.7],Eastern Europe,21.4
Both sexes,1990,17.3 [13.1-21.8],Eastern Europe,17.3
Male,1990,11.8 [7.2-17.6],Eastern Europe,11.8
Female,1990,21.5 [15.1-28.7],Eastern Europe,21.5
Both sexes,1991,17.5 [13.4-22.0],Eastern Europe,17.5
Male,1991,12.1 [7.5-18.0],Eastern Europe,12.1
Female,1991,21.7 [15.3-28.7],Eastern Europe,21.7
Both sexes,1992,17.7 [13.6-22.2],Eastern Europe,17.7
Male,1992,12.5 [7.8-18.3],Eastern Europe,12.5
Female,1992,21.8 [15.4-28.9],Eastern Europe,21.8
Both sexes,1993,17.9 [13.8-22.4],Eastern Europe,17.9
Male,1993,12.8 [8.0-18.6],Eastern Europe,12.8
Female,1993,21.9 [15.5-28.9],Eastern Europe,21.9
Both sexes,1994,18.1 [14.0-22.6],Eastern Europe,18.1
Male,1994,13.1 [8.2-19.0],Eastern Europe,13.1
Female,1994,22.0 [15.7-28.9],Eastern Europe,22.0
Both sexes,1995,18.3 [14.2-22.8],Eastern Europe,18.3
Male,1995,13.4 [8.5-19.3],Eastern Europe,13.4
Female,1995,22.1 [15.8-29.0],Eastern Europe,22.1
Both sexes,1996,18.5 [14.4-22.9],Eastern Europe,18.5
Male,1996,13.7 [8.7-19.6],Eastern Europe,13.7
Female,1996,22.2 [15.9-29.0],Eastern Europe,22.2
Both sexes,1997,18.7 [14.6-23.1],Eastern Europe,18.7
Male,1997,14.0 [9.0-20.1],Eastern Europe,14.0
Female,1997,22.3 [16.0-29.1],Eastern Europe,22.3
Both sexes,1998,18.9 [14.8-23.3],Eastern Europe,18.9
Male,1998,14.4 [9.3-20.4],Eastern Europe,14.4
Female,1998,22.4 [16.2-29.2],Eastern Europe,22.4
Both sexes,1999,19.1 [15.0-23.5],Eastern Europe,19.1
Male,1999,14.7 [9.5-20.7],Eastern Europe,14.7
Female,1999,22.5 [16.3-29.2],Eastern Europe,22.5
Both sexes,2000,19.3 [15.1-23.7],Eastern Europe,19.3
Male,2000,15.0 [9.8-21.1],Eastern Europe,15.0
Female,2000,22.6 [16.5-29.3],Eastern Europe,22.6
Both sexes,2001,19.5 [15.3-23.9],Eastern Europe,19.5
Male,2001,15.4 [10.1-21.5],Eastern Europe,15.4
Female,2001,22.7 [16.6-29.5],Eastern Europe,22.7
Both sexes,2002,19.7 [15.6-24.2],Eastern Europe,19.7
Male,2002,15.7 [10.5-21.9],Eastern Europe,15.7
Female,2002,22.8 [16.8-29.5],Eastern Europe,22.8
Both sexes,2003,20.0 [15.8-24.4],Eastern Europe,20.0
Male,2003,16.1 [10.8-22.2],Eastern Europe,16.1
Female,2003,23.0 [16.9-29.7],Eastern Europe,23.0
Both sexes,2004,20.2 [16.0-24.7],Eastern Europe,20.2
Male,2004,16.5 [11.1-22.7],Eastern Europe,16.5
Female,2004,23.1 [17.0-29.8],Eastern Europe,23.1
Both sexes,2005,20.5 [16.2-24.9],Eastern Europe,20.5
Male,2005,16.9 [11.4-23.1],Eastern Europe,16.9
Female,2005,23.3 [17.1-29.9],Eastern Europe,23.3
Both sexes,2006,20.7 [16.5-25.2],Eastern Europe,20.7
Male,2006,17.3 [11.7-23.6],Eastern Europe,17.3
Female,2006,23.4 [17.3-30.1],Eastern Europe,23.4
Both sexes,2007,21.0 [16.7-25.5],Eastern Europe,21.0
Male,2007,17.7 [12.1-23.9],Eastern Europe,17.7
Female,2007,23.6 [17.3-30.3],Eastern Europe,23.6
Both sexes,2008,21.3 [16.9-25.9],Eastern Europe,21.3
Male,2008,18.1 [12.4-24.5],Eastern Europe,18.1
Female,2008,23.7 [17.3-30.5],Eastern Europe,23.7
Both sexes,2009,21.5 [17.1-26.2],Eastern Europe,21.5
Male,2009,18.5 [12.7-25.0],Eastern Europe,18.5
Female,2009,23.9 [17.4-30.7],Eastern Europe,23.9
Both sexes,2010,21.8 [17.3-26.5],Eastern Europe,21.8
Male,2010,18.9 [13.0-25.5],Eastern Europe,18.9
Female,2010,24.1 [17.5-30.8],Eastern Europe,24.1
Both sexes,2011,22.1 [17.5-26.9],Eastern Europe,22.1
Male,2011,19.4 [13.2-26.2],Eastern Europe,19.4
Female,2011,24.2 [17.5-31.2],Eastern Europe,24.2
Both sexes,2012,22.4 [17.7-27.3],Eastern Europe,22.4
Male,2012,19.8 [13.5-26.8],Eastern Europe,19.8
Female,2012,24.4 [17.5-31.5],Eastern Europe,24.4
Both sexes,2013,22.7 [17.8-27.8],Eastern Europe,22.7
Male,2013,20.2 [13.7-27.4],Eastern Europe,20.2
Female,2013,24.6 [17.5-31.9],Eastern Europe,24.6
Both sexes,2014,23.0 [18.0-28.3],Eastern Europe,23.0
Male,2014,20.7 [14.0-28.1],Eastern Europe,20.7
Female,2014,24.8 [17.5-32.4],Eastern Europe,24.8
Both sexes,2015,23.3 [18.2-28.8],Eastern Europe,23.3
Male,2015,21.1 [14.3-28.8],Eastern Europe,21.1
Female,2015,24.9 [17.4-32.7],Eastern Europe,24.9
Both sexes,2016,23.6 [18.3-29.2],Eastern Europe,23.6
Male,2016,21.6 [14.5-29.6],Eastern Europe,21.6
Female,2016,25.1 [17.4-33.2],Eastern Europe,25.1
