Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,11.1 [7.3-15.9],Middle East,11.1
Male,1975,6.3 [2.9-11.5],Middle East,6.3
Female,1975,15.9 [9.3-24.4],Middle East,15.9
Both sexes,1976,11.7 [7.8-16.4],Middle East,11.7
Male,1976,6.8 [3.3-11.9],Middle East,6.8
Female,1976,16.6 [10.0-25.0],Middle East,16.6
Both sexes,1977,12.3 [8.4-16.9],Middle East,12.3
Male,1977,7.2 [3.6-12.3],Middle East,7.2
Female,1977,17.3 [10.7-25.5],Middle East,17.3
Both sexes,1978,12.9 [8.9-17.5],Middle East,12.9
Male,1978,7.6 [4.0-12.8],Middle East,7.6
Female,1978,18.0 [11.5-25.9],Middle East,18.0
Both sexes,1979,13.5 [9.5-18.1],Middle East,13.5
Male,1979,8.1 [4.4-13.2],Middle East,8.1
Female,1979,18.7 [12.2-26.4],Middle East,18.7
Both sexes,1980,14.1 [10.1-18.7],Middle East,14.1
Male,1980,8.6 [4.8-13.7],Middle East,8.6
Female,1980,19.3 [13.0-26.9],Middle East,19.3
Both sexes,1981,14.7 [10.8-19.3],Middle East,14.7
Male,1981,9.1 [5.2-14.2],Middle East,9.1
Female,1981,20.0 [13.7-27.5],Middle East,20.0
Both sexes,1982,15.3 [11.3-19.8],Middle East,15.3
Male,1982,9.6 [5.5-14.7],Middle East,9.6
Female,1982,20.7 [14.4-28.0],Middle East,20.7
Both sexes,1983,15.9 [11.9-20.4],Middle East,15.9
Male,1983,10.1 [6.0-15.3],Middle East,10.1
Female,1983,21.4 [15.1-28.5],Middle East,21.4
Both sexes,1984,16.5 [12.5-20.9],Middle East,16.5
Male,1984,10.6 [6.4-15.8],Middle East,10.6
Female,1984,22.0 [15.8-29.1],Middle East,22.0
Both sexes,1985,17.0 [13.1-21.4],Middle East,17.0
Male,1985,11.1 [6.8-16.4],Middle East,11.1
Female,1985,22.7 [16.5-29.6],Middle East,22.7
Both sexes,1986,17.6 [13.7-22.0],Middle East,17.6
Male,1986,11.6 [7.3-17.0],Middle East,11.6
Female,1986,23.3 [17.1-30.1],Middle East,23.3
Both sexes,1987,18.2 [14.3-22.5],Middle East,18.2
Male,1987,12.2 [7.7-17.5],Middle East,12.2
Female,1987,23.9 [17.7-30.7],Middle East,23.9
Both sexes,1988,18.8 [14.8-23.0],Middle East,18.8
Male,1988,12.7 [8.2-18.0],Middle East,12.7
Female,1988,24.5 [18.3-31.3],Middle East,24.5
Both sexes,1989,19.3 [15.4-23.6],Middle East,19.3
Male,1989,13.2 [8.7-18.6],Middle East,13.2
Female,1989,25.0 [18.9-31.8],Middle East,25.0
Both sexes,1990,19.9 [15.9-24.1],Middle East,19.9
Male,1990,13.7 [9.1-19.2],Middle East,13.7
Female,1990,25.6 [19.5-32.3],Middle East,25.6
Both sexes,1991,20.4 [16.5-24.6],Middle East,20.4
Male,1991,14.2 [9.5-19.7],Middle East,14.2
Female,1991,26.1 [20.1-32.7],Middle East,26.1
Both sexes,1992,20.9 [16.9-25.1],Middle East,20.9
Male,1992,14.7 [10.0-20.2],Middle East,14.7
Female,1992,26.6 [20.6-33.2],Middle East,26.6
Both sexes,1993,21.4 [17.4-25.6],Middle East,21.4
Male,1993,15.2 [10.4-20.7],Middle East,15.2
Female,1993,27.1 [21.1-33.6],Middle East,27.1
Both sexes,1994,21.8 [17.9-26.1],Middle East,21.8
Male,1994,15.7 [10.8-21.2],Middle East,15.7
Female,1994,27.6 [21.6-34.0],Middle East,27.6
