Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.6 [1.5-6.8],Southern Africa,3.6
Male,1975,0.4 [0.1-1.2],Southern Africa,0.4
Female,1975,5.8 [2.4-11.4],Southern Africa,5.8
Both sexes,1976,3.7 [1.7-7.0],Southern Africa,3.7
Male,1976,0.4 [0.1-1.2],Southern Africa,0.4
Female,1976,6.1 [2.6-11.7],Southern Africa,6.1
Both sexes,1977,3.9 [1.8-7.1],Southern Africa,3.9
Male,1977,0.4 [0.1-1.2],Southern Africa,0.4
Female,1977,6.4 [2.8-11.9],Southern Africa,6.4
Both sexes,1978,4.1 [2.0-7.3],Southern Africa,4.1
Male,1978,0.4 [0.1-1.3],Southern Africa,0.4
Female,1978,6.7 [3.1-12.2],Southern Africa,6.7
Both sexes,1979,4.3 [2.1-7.4],Southern Africa,4.3
Male,1979,0.5 [0.1-1.3],Southern Africa,0.5
Female,1979,7.0 [3.3-12.5],Southern Africa,7.0
Both sexes,1980,4.4 [2.3-7.6],Southern Africa,4.4
Male,1980,0.5 [0.1-1.4],Southern Africa,0.5
Female,1980,7.3 [3.6-12.7],Southern Africa,7.3
Both sexes,1981,4.6 [2.4-7.7],Southern Africa,4.6
Male,1981,0.5 [0.1-1.4],Southern Africa,0.5
Female,1981,7.6 [3.9-13.0],Southern Africa,7.6
Both sexes,1982,4.8 [2.6-7.9],Southern Africa,4.8
Male,1982,0.6 [0.1-1.5],Southern Africa,0.6
Female,1982,7.9 [4.1-13.4],Southern Africa,7.9
Both sexes,1983,4.9 [2.7-8.0],Southern Africa,4.9
Male,1983,0.6 [0.2-1.5],Southern Africa,0.6
Female,1983,8.3 [4.4-13.6],Southern Africa,8.3
Both sexes,1984,5.1 [2.9-8.2],Southern Africa,5.1
Male,1984,0.6 [0.2-1.5],Southern Africa,0.6
Female,1984,8.6 [4.7-13.9],Southern Africa,8.6
Both sexes,1985,5.3 [3.1-8.3],Southern Africa,5.3
