Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.3 [0.6-2.5],West Africa,1.3
Male,1975,0.5 [0.1-1.4],West Africa,0.5
Female,1975,2.2 [0.8-4.5],West Africa,2.2
Both sexes,1976,1.4 [0.6-2.6],West Africa,1.4
Male,1976,0.5 [0.1-1.4],West Africa,0.5
Female,1976,2.3 [0.9-4.6],West Africa,2.3
Both sexes,1977,1.5 [0.7-2.7],West Africa,1.5
Male,1977,0.6 [0.1-1.5],West Africa,0.6
Female,1977,2.5 [1.0-4.8],West Africa,2.5
Both sexes,1978,1.6 [0.8-2.9],West Africa,1.6
Male,1978,0.6 [0.2-1.6],West Africa,0.6
Female,1978,2.6 [1.1-5.0],West Africa,2.6
Both sexes,1979,1.7 [0.9-3.0],West Africa,1.7
Male,1979,0.7 [0.2-1.6],West Africa,0.7
Female,1979,2.8 [1.3-5.2],West Africa,2.8
Both sexes,1980,1.9 [1.0-3.2],West Africa,1.9
Male,1980,0.7 [0.2-1.7],West Africa,0.7
Female,1980,3.0 [1.4-5.4],West Africa,3.0
Both sexes,1981,2.0 [1.1-3.3],West Africa,2.0
Male,1981,0.8 [0.2-1.8],West Africa,0.8
Female,1981,3.2 [1.5-5.7],West Africa,3.2
Both sexes,1982,2.1 [1.2-3.5],West Africa,2.1
Male,1982,0.8 [0.3-1.9],West Africa,0.8
Female,1982,3.4 [1.7-6.0],West Africa,3.4
Both sexes,1983,2.3 [1.3-3.7],West Africa,2.3
Male,1983,0.9 [0.3-2.0],West Africa,0.9
Female,1983,3.7 [1.9-6.3],West Africa,3.7
Both sexes,1984,2.5 [1.4-3.9],West Africa,2.5
Male,1984,1.0 [0.4-2.2],West Africa,1.0
Female,1984,3.9 [2.0-6.6],West Africa,3.9
Both sexes,1985,2.7 [1.6-4.1],West Africa,2.7
Male,1985,1.1 [0.4-2.3],West Africa,1.1
Female,1985,4.2 [2.2-6.9],West Africa,4.2
Both sexes,1986,2.9 [1.7-4.4],West Africa,2.9
Male,1986,1.2 [0.5-2.5],West Africa,1.2
Female,1986,4.5 [2.5-7.2],West Africa,4.5
Both sexes,1987,3.1 [1.9-4.7],West Africa,3.1
Male,1987,1.3 [0.5-2.7],West Africa,1.3
Female,1987,4.9 [2.7-7.7],West Africa,4.9
Both sexes,1988,3.4 [2.1-5.0],West Africa,3.4
Male,1988,1.5 [0.6-2.9],West Africa,1.5
Female,1988,5.3 [3.0-8.2],West Africa,5.3
Both sexes,1989,3.8 [2.4-5.4],West Africa,3.8
Male,1989,1.6 [0.7-3.2],West Africa,1.6
Female,1989,5.8 [3.4-8.8],West Africa,5.8
Both sexes,1990,4.1 [2.7-5.9],West Africa,4.1
Male,1990,1.8 [0.8-3.5],West Africa,1.8
Female,1990,6.3 [3.7-9.5],West Africa,6.3
Both sexes,1991,4.4 [2.9-6.2],West Africa,4.4
Male,1991,2.0 [0.9-3.8],West Africa,2.0
Female,1991,6.7 [4.1-10.0],West Africa,6.7
Both sexes,1992,4.7 [3.1-6.5],West Africa,4.7
Male,1992,2.2 [1.0-4.1],West Africa,2.2
Female,1992,7.0 [4.3-10.4],West Africa,7.0
Both sexes,1993,4.9 [3.3-6.8],West Africa,4.9
Male,1993,2.3 [1.0-4.2],West Africa,2.3
Female,1993,7.3 [4.5-10.7],West Africa,7.3
Both sexes,1994,5.0 [3.4-6.9],West Africa,5.0
Male,1994,2.4 [1.1-4.3],West Africa,2.4
Female,1994,7.5 [4.7-10.9],West Africa,7.5
Both sexes,1995,5.1 [3.5-7.0],West Africa,5.1
Male,1995,2.4 [1.1-4.5],West Africa,2.4
Female,1995,7.6 [4.8-11.0],West Africa,7.6
Both sexes,1996,5.2 [3.6-7.1],West Africa,5.2
Male,1996,2.5 [1.2-4.5],West Africa,2.5
Female,1996,7.7 [5.0-11.1],West Africa,7.7
Both sexes,1997,5.3 [3.7-7.2],West Africa,5.3
Male,1997,2.5 [1.2-4.6],West Africa,2.5
Female,1997,7.9 [5.1-11.3],West Africa,7.9
Both sexes,1998,5.4 [3.7-7.3],West Africa,5.4
Male,1998,2.6 [1.3-4.6],West Africa,2.6
Female,1998,8.0 [5.2-11.4],West Africa,8.0
Both sexes,1999,5.5 [3.8-7.4],West Africa,5.5
Male,1999,2.6 [1.3-4.7],West Africa,2.6
Female,1999,8.1 [5.3-11.5],West Africa,8.1
Both sexes,2000,5.6 [3.9-7.5],West Africa,5.6
Male,2000,2.7 [1.3-4.8],West Africa,2.7
Female,2000,8.3 [5.5-11.6],West Africa,8.3
