Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.3 [6.5-15.0],North Africa,10.3
Male,1975,5.0 [2.2-9.8],North Africa,5.0
Female,1975,16.3 [9.1-25.0],North Africa,16.3
Both sexes,1976,11.1 [7.2-15.8],North Africa,11.1
Male,1976,5.5 [2.5-10.3],North Africa,5.5
Female,1976,17.4 [10.2-25.9],North Africa,17.4
Both sexes,1977,11.8 [7.9-16.4],North Africa,11.8
Male,1977,6.0 [2.8-10.9],North Africa,6.0
Female,1977,18.4 [11.1-26.9],North Africa,18.4
Both sexes,1978,12.5 [8.6-17.1],North Africa,12.5
Male,1978,6.5 [3.2-11.5],North Africa,6.5
Female,1978,19.3 [12.1-27.6],North Africa,19.3
Both sexes,1979,13.2 [9.3-17.7],North Africa,13.2
Male,1979,7.0 [3.6-12.1],North Africa,7.0
Female,1979,20.2 [13.1-28.4],North Africa,20.2
Both sexes,1980,13.8 [9.9-18.3],North Africa,13.8
Male,1980,7.5 [4.0-12.6],North Africa,7.5
Female,1980,21.1 [14.0-29.2],North Africa,21.1
Both sexes,1981,14.4 [10.5-18.8],North Africa,14.4
Male,1981,8.0 [4.4-13.1],North Africa,8.0
Female,1981,21.9 [14.8-29.8],North Africa,21.9
Both sexes,1982,15.0 [11.2-19.4],North Africa,15.0
Male,1982,8.5 [4.8-13.7],North Africa,8.5
Female,1982,22.7 [15.7-30.5],North Africa,22.7
Both sexes,1983,15.6 [11.8-20.0],North Africa,15.6
Male,1983,9.0 [5.2-14.3],North Africa,9.0
Female,1983,23.5 [16.5-31.1],North Africa,23.5
Both sexes,1984,16.2 [12.3-20.6],North Africa,16.2
Male,1984,9.5 [5.6-14.9],North Africa,9.5
Female,1984,24.2 [17.3-31.8],North Africa,24.2
Both sexes,1985,16.8 [12.9-21.1],North Africa,16.8
Male,1985,10.1 [6.0-15.4],North Africa,10.1
Female,1985,24.9 [18.1-32.4],North Africa,24.9
Both sexes,1986,17.3 [13.4-21.6],North Africa,17.3
Male,1986,10.5 [6.4-15.9],North Africa,10.5
Female,1986,25.6 [18.7-32.9],North Africa,25.6
Both sexes,1987,17.8 [14.0-22.1],North Africa,17.8
Male,1987,11.0 [6.9-16.3],North Africa,11.0
Female,1987,26.2 [19.3-33.5],North Africa,26.2
Both sexes,1988,18.3 [14.5-22.6],North Africa,18.3
Male,1988,11.4 [7.2-16.8],North Africa,11.4
Female,1988,26.7 [19.9-33.9],North Africa,26.7
Both sexes,1989,18.8 [14.9-23.2],North Africa,18.8
Male,1989,11.8 [7.6-17.2],North Africa,11.8
Female,1989,27.2 [20.5-34.5],North Africa,27.2
Both sexes,1990,19.2 [15.4-23.6],North Africa,19.2
Male,1990,12.2 [7.9-17.6],North Africa,12.2
Female,1990,27.7 [21.0-34.9],North Africa,27.7
Both sexes,1991,19.7 [15.8-24.1],North Africa,19.7
Male,1991,12.6 [8.2-18.1],North Africa,12.6
Female,1991,28.1 [21.5-35.1],North Africa,28.1
Both sexes,1992,20.1 [16.3-24.4],North Africa,20.1
Male,1992,13.0 [8.6-18.5],North Africa,13.0
Female,1992,28.5 [21.9-35.5],North Africa,28.5
Both sexes,1993,20.5 [16.6-24.9],North Africa,20.5
Male,1993,13.4 [8.9-18.9],North Africa,13.4
Female,1993,28.9 [22.4-35.9],North Africa,28.9
Both sexes,1994,20.9 [17.0-25.3],North Africa,20.9
Male,1994,13.8 [9.2-19.3],North Africa,13.8
Female,1994,29.3 [22.8-36.2],North Africa,29.3
Both sexes,1995,21.3 [17.4-25.6],North Africa,21.3
Male,1995,14.2 [9.5-19.7],North Africa,14.2
Female,1995,29.7 [23.2-36.5],North Africa,29.7
Both sexes,1996,21.7 [17.8-26.1],North Africa,21.7
Male,1996,14.5 [9.9-20.1],North Africa,14.5
Female,1996,30.2 [23.7-36.9],North Africa,30.2
Both sexes,1997,22.2 [18.3-26.5],North Africa,22.2
Male,1997,14.9 [10.2-20.5],North Africa,14.9
Female,1997,30.6 [24.1-37.2],North Africa,30.6
Both sexes,1998,22.6 [18.7-27.0],North Africa,22.6
Male,1998,15.4 [10.6-20.9],North Africa,15.4
Female,1998,31.0 [24.5-37.6],North Africa,31.0
Both sexes,1999,23.1 [19.1-27.5],North Africa,23.1
Male,1999,15.8 [10.9-21.3],North Africa,15.8
Female,1999,31.4 [25.0-37.9],North Africa,31.4
Both sexes,2000,23.5 [19.6-27.9],North Africa,23.5
Male,2000,16.2 [11.3-21.7],North Africa,16.2
Female,2000,31.8 [25.4-38.4],North Africa,31.8
Both sexes,2001,24.0 [20.0-28.3],North Africa,24.0
Male,2001,16.6 [11.8-22.2],North Africa,16.6
Female,2001,32.3 [25.8-38.8],North Africa,32.3
Both sexes,2002,24.5 [20.5-28.8],North Africa,24.5
Male,2002,17.1 [12.2-22.7],North Africa,17.1
Female,2002,32.7 [26.3-39.2],North Africa,32.7
Both sexes,2003,25.0 [21.0-29.3],North Africa,25.0
Male,2003,17.6 [12.6-23.2],North Africa,17.6
Female,2003,33.1 [26.7-39.6],North Africa,33.1
Both sexes,2004,25.5 [21.4-29.8],North Africa,25.5
Male,2004,18.0 [13.0-23.7],North Africa,18.0
Female,2004,33.6 [27.1-40.0],North Africa,33.6
Both sexes,2005,26.0 [21.9-30.3],North Africa,26.0
Male,2005,18.5 [13.5-24.1],North Africa,18.5
Female,2005,34.0 [27.6-40.5],North Africa,34.0
Both sexes,2006,26.5 [22.4-30.8],North Africa,26.5
Male,2006,19.0 [13.9-24.7],North Africa,19.0
Female,2006,34.5 [28.0-41.0],North Africa,34.5
Both sexes,2007,27.1 [22.9-31.4],North Africa,27.1
Male,2007,19.6 [14.3-25.2],North Africa,19.6
Female,2007,35.0 [28.4-41.5],North Africa,35.0
Both sexes,2008,27.6 [23.4-32.1],North Africa,27.6
Male,2008,20.1 [14.8-25.9],North Africa,20.1
Female,2008,35.5 [28.9-42.1],North Africa,35.5
Both sexes,2009,28.2 [23.9-32.7],North Africa,28.2
Male,2009,20.6 [15.2-26.6],North Africa,20.6
Female,2009,36.0 [29.3-42.6],North Africa,36.0
Both sexes,2010,28.8 [24.4-33.4],North Africa,28.8
Male,2010,21.2 [15.7-27.3],North Africa,21.2
Female,2010,36.5 [29.6-43.2],North Africa,36.5
Both sexes,2011,29.4 [24.8-34.1],North Africa,29.4
Male,2011,21.8 [16.1-28.0],North Africa,21.8
Female,2011,37.0 [30.0-43.8],North Africa,37.0
Both sexes,2012,30.0 [25.3-34.9],North Africa,30.0
Male,2012,22.4 [16.6-28.9],North Africa,22.4
Female,2012,37.5 [30.4-44.5],North Africa,37.5
Both sexes,2013,30.6 [25.8-35.7],North Africa,30.6
Male,2013,23.0 [16.9-29.7],North Africa,23.0
Female,2013,38.0 [30.7-45.2],North Africa,38.0
Both sexes,2014,31.3 [26.2-36.5],North Africa,31.3
Male,2014,23.6 [17.3-30.6],North Africa,23.6
Female,2014,38.6 [31.0-46.0],North Africa,38.6
Both sexes,2015,31.9 [26.8-37.2],North Africa,31.9
Male,2015,24.3 [17.7-31.6],North Africa,24.3
Female,2015,39.1 [31.3-46.7],North Africa,39.1
Both sexes,2016,32.5 [27.2-38.1],North Africa,32.5
Male,2016,25.0 [18.0-32.6],North Africa,25.0
Female,2016,39.6 [31.6-47.5],North Africa,39.6
