Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,12.9 [8.7-18.3],Eastern Europe,12.9
Male,1975,7.1 [3.5-12.3],Eastern Europe,7.1
Female,1975,17.4 [10.8-26.2],Eastern Europe,17.4
Both sexes,1976,13.4 [9.2-18.5],Eastern Europe,13.4
Male,1976,7.5 [3.8-12.5],Eastern Europe,7.5
Female,1976,17.9 [11.4-26.4],Eastern Europe,17.9
Both sexes,1977,13.8 [9.8-18.7],Eastern Europe,13.8
Male,1977,7.9 [4.2-12.9],Eastern Europe,7.9
Female,1977,18.4 [12.0-26.5],Eastern Europe,18.4
Both sexes,1978,14.2 [10.3-19.0],Eastern Europe,14.2
Male,1978,8.3 [4.6-13.3],Eastern Europe,8.3
Female,1978,18.8 [12.7-26.6],Eastern Europe,18.8
Both sexes,1979,14.7 [10.9-19.3],Eastern Europe,14.7
Male,1979,8.7 [5.0-13.6],Eastern Europe,8.7
Female,1979,19.3 [13.4-26.9],Eastern Europe,19.3
Both sexes,1980,15.1 [11.4-19.7],Eastern Europe,15.1
Male,1980,9.1 [5.4-14.0],Eastern Europe,9.1
Female,1980,19.8 [14.0-27.1],Eastern Europe,19.8
Both sexes,1981,15.6 [11.9-19.9],Eastern Europe,15.6
Male,1981,9.6 [5.8-14.4],Eastern Europe,9.6
Female,1981,20.3 [14.6-27.3],Eastern Europe,20.3
Both sexes,1982,16.0 [12.4-20.3],Eastern Europe,16.0
Male,1982,10.0 [6.3-14.7],Eastern Europe,10.0
Female,1982,20.7 [15.2-27.5],Eastern Europe,20.7
Both sexes,1983,16.4 [12.9-20.6],Eastern Europe,16.4
Male,1983,10.4 [6.7-15.1],Eastern Europe,10.4
Female,1983,21.1 [15.7-27.8],Eastern Europe,21.1
Both sexes,1984,16.9 [13.4-20.9],Eastern Europe,16.9
Male,1984,10.9 [7.1-15.5],Eastern Europe,10.9
Female,1984,21.5 [16.2-27.9],Eastern Europe,21.5
Both sexes,1985,17.3 [13.8-21.2],Eastern Europe,17.3
Male,1985,11.3 [7.5-16.0],Eastern Europe,11.3
Female,1985,21.9 [16.6-28.1],Eastern Europe,21.9
Both sexes,1986,17.6 [14.3-21.5],Eastern Europe,17.6
Male,1986,11.8 [7.9-16.4],Eastern Europe,11.8
Female,1986,22.3 [17.1-28.3],Eastern Europe,22.3
Both sexes,1987,18.0 [14.7-21.8],Eastern Europe,18.0
Male,1987,12.2 [8.3-16.8],Eastern Europe,12.2
Female,1987,22.6 [17.5-28.4],Eastern Europe,22.6
Both sexes,1988,18.4 [15.1-22.1],Eastern Europe,18.4
Male,1988,12.6 [8.7-17.2],Eastern Europe,12.6
Female,1988,22.9 [17.8-28.6],Eastern Europe,22.9
Both sexes,1989,18.7 [15.4-22.4],Eastern Europe,18.7
Male,1989,13.1 [9.1-17.7],Eastern Europe,13.1
Female,1989,23.2 [18.2-28.9],Eastern Europe,23.2
Both sexes,1990,19.1 [15.8-22.7],Eastern Europe,19.1
Male,1990,13.5 [9.5-18.2],Eastern Europe,13.5
Female,1990,23.5 [18.5-29.0],Eastern Europe,23.5
Both sexes,1991,19.4 [16.1-23.0],Eastern Europe,19.4
