Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.9 [5.1-11.2],Western Europe,7.9
Male,1975,6.7 [3.3-11.4],Western Europe,6.7
Female,1975,8.9 [5.0-13.9],Western Europe,8.9
Both sexes,1976,8.1 [5.4-11.4],Western Europe,8.1
Male,1976,6.9 [3.6-11.6],Western Europe,6.9
Female,1976,9.1 [5.2-14.0],Western Europe,9.1
Both sexes,1977,8.4 [5.7-11.7],Western Europe,8.4
Male,1977,7.2 [3.8-11.8],Western Europe,7.2
Female,1977,9.4 [5.5-14.3],Western Europe,9.4
Both sexes,1978,8.7 [5.9-11.9],Western Europe,8.7
Male,1978,7.6 [4.1-12.2],Western Europe,7.6
Female,1978,9.7 [5.7-14.5],Western Europe,9.7
Both sexes,1979,9.0 [6.2-12.2],Western Europe,9.0
Male,1979,7.9 [4.3-12.5],Western Europe,7.9
Female,1979,9.9 [6.0-14.7],Western Europe,9.9
Both sexes,1980,9.3 [6.5-12.5],Western Europe,9.3
Male,1980,8.2 [4.6-13.0],Western Europe,8.2
Female,1980,10.2 [6.3-15.0],Western Europe,10.2
Both sexes,1981,9.6 [6.8-12.8],Western Europe,9.6
Male,1981,8.5 [4.9-13.3],Western Europe,8.5
Female,1981,10.5 [6.5-15.3],Western Europe,10.5
Both sexes,1982,9.9 [7.1-13.1],Western Europe,9.9
Male,1982,8.9 [5.1-13.6],Western Europe,8.9
Female,1982,10.7 [6.8-15.5],Western Europe,10.7
Both sexes,1983,10.2 [7.3-13.4],Western Europe,10.2
Male,1983,9.2 [5.4-14.0],Western Europe,9.2
Female,1983,11.0 [7.0-15.8],Western Europe,11.0
Both sexes,1984,10.5 [7.6-13.7],Western Europe,10.5
Male,1984,9.5 [5.6-14.4],Western Europe,9.5
Female,1984,11.2 [7.2-16.0],Western Europe,11.2
Both sexes,1985,10.8 [7.9-14.0],Western Europe,10.8
Male,1985,9.9 [5.9-14.8],Western Europe,9.9
Female,1985,11.5 [7.5-16.3],Western Europe,11.5
Both sexes,1986,11.0 [8.1-14.4],Western Europe,11.0
Male,1986,10.2 [6.1-15.2],Western Europe,10.2
Female,1986,11.7 [7.7-16.6],Western Europe,11.7
Both sexes,1987,11.3 [8.4-14.7],Western Europe,11.3
Male,1987,10.6 [6.4-15.6],Western Europe,10.6
Female,1987,11.9 [7.9-16.8],Western Europe,11.9
Both sexes,1988,11.6 [8.6-15.0],Western Europe,11.6
Male,1988,10.9 [6.7-16.0],Western Europe,10.9
Female,1988,12.2 [8.1-17.0],Western Europe,12.2
Both sexes,1989,11.9 [8.9-15.3],Western Europe,11.9
Male,1989,11.2 [6.9-16.4],Western Europe,11.2
Female,1989,12.4 [8.4-17.3],Western Europe,12.4
Both sexes,1990,12.2 [9.2-15.7],Western Europe,12.2
Male,1990,11.6 [7.2-16.8],Western Europe,11.6
Female,1990,12.7 [8.5-17.5],Western Europe,12.7
Both sexes,1991,12.5 [9.4-16.0],Western Europe,12.5
Male,1991,12.0 [7.5-17.3],Western Europe,12.0
Female,1991,12.9 [8.7-17.8],Western Europe,12.9
Both sexes,1992,12.8 [9.7-16.4],Western Europe,12.8
Male,1992,12.4 [7.8-17.8],Western Europe,12.4
Female,1992,13.2 [8.9-18.2],Western Europe,13.2
Both sexes,1993,13.2 [10.0-16.8],Western Europe,13.2
Male,1993,12.8 [8.2-18.3],Western Europe,12.8
Female,1993,13.5 [9.2-18.5],Western Europe,13.5
Both sexes,1994,13.5 [10.3-17.2],Western Europe,13.5
Male,1994,13.2 [8.6-18.7],Western Europe,13.2
Female,1994,13.8 [9.5-18.8],Western Europe,13.8
Both sexes,1995,13.9 [10.7-17.6],Western Europe,13.9
Male,1995,13.6 [8.9-19.2],Western Europe,13.6
Female,1995,14.1 [9.7-19.1],Western Europe,14.1
Both sexes,1996,14.3 [11.0-18.0],Western Europe,14.3
Male,1996,14.1 [9.3-19.8],Western Europe,14.1
Female,1996,14.4 [10.0-19.4],Western Europe,14.4
Both sexes,1997,14.7 [11.4-18.4],Western Europe,14.7
Male,1997,14.5 [9.6-20.3],Western Europe,14.5
Female,1997,14.7 [10.2-19.8],Western Europe,14.7
Both sexes,1998,15.1 [11.7-18.8],Western Europe,15.1
Male,1998,15.0 [10.0-20.8],Western Europe,15.0
Female,1998,15.0 [10.5-20.1],Western Europe,15.0
Both sexes,1999,15.5 [12.1-19.2],Western Europe,15.5
Male,1999,15.5 [10.5-21.2],Western Europe,15.5
Female,1999,15.3 [10.7-20.4],Western Europe,15.3
Both sexes,2000,15.8 [12.4-19.7],Western Europe,15.8
Male,2000,15.9 [10.8-21.8],Western Europe,15.9
Female,2000,15.7 [11.0-20.8],Western Europe,15.7
Both sexes,2001,16.2 [12.8-20.1],Western Europe,16.2
Male,2001,16.4 [11.3-22.3],Western Europe,16.4
Female,2001,16.0 [11.2-21.1],Western Europe,16.0
Both sexes,2002,16.6 [13.2-20.6],Western Europe,16.6
Male,2002,16.9 [11.7-22.9],Western Europe,16.9
Female,2002,16.3 [11.5-21.5],Western Europe,16.3
Both sexes,2003,17.1 [13.5-21.0],Western Europe,17.1
Male,2003,17.4 [12.2-23.5],Western Europe,17.4
Female,2003,16.6 [11.8-21.9],Western Europe,16.6
Both sexes,2004,17.5 [13.9-21.4],Western Europe,17.5
Male,2004,17.9 [12.6-24.0],Western Europe,17.9
Female,2004,16.9 [12.1-22.2],Western Europe,16.9
Both sexes,2005,17.9 [14.3-21.8],Western Europe,17.9
Male,2005,18.5 [13.1-24.5],Western Europe,18.5
Female,2005,17.3 [12.3-22.5],Western Europe,17.3
Both sexes,2006,18.3 [14.7-22.3],Western Europe,18.3
Male,2006,19.0 [13.5-25.1],Western Europe,19.0
Female,2006,17.6 [12.6-22.9],Western Europe,17.6
Both sexes,2007,18.7 [15.1-22.7],Western Europe,18.7
Male,2007,19.5 [14.0-25.7],Western Europe,19.5
Female,2007,17.9 [12.9-23.3],Western Europe,17.9
Both sexes,2008,19.2 [15.4-23.2],Western Europe,19.2
Male,2008,20.0 [14.4-26.3],Western Europe,20.0
Female,2008,18.2 [13.1-23.7],Western Europe,18.2
Both sexes,2009,19.6 [15.8-23.7],Western Europe,19.6
Male,2009,20.6 [14.9-27.0],Western Europe,20.6
Female,2009,18.5 [13.4-24.1],Western Europe,18.5
Both sexes,2010,20.0 [16.1-24.2],Western Europe,20.0
Male,2010,21.1 [15.3-27.6],Western Europe,21.1
Female,2010,18.9 [13.6-24.5],Western Europe,18.9
Both sexes,2011,20.4 [16.4-24.7],Western Europe,20.4
Male,2011,21.7 [15.8-28.3],Western Europe,21.7
Female,2011,19.2 [13.9-25.0],Western Europe,19.2
Both sexes,2012,20.9 [16.8-25.2],Western Europe,20.9
Male,2012,22.2 [16.2-29.0],Western Europe,22.2
Female,2012,19.5 [14.1-25.5],Western Europe,19.5
Both sexes,2013,21.3 [17.1-25.7],Western Europe,21.3
Male,2013,22.8 [16.5-29.7],Western Europe,22.8
Female,2013,19.8 [14.2-26.0],Western Europe,19.8
Both sexes,2014,21.7 [17.5-26.3],Western Europe,21.7
Male,2014,23.3 [16.8-30.6],Western Europe,23.3
Female,2014,20.1 [14.4-26.5],Western Europe,20.1
Both sexes,2015,22.2 [17.8-27.0],Western Europe,22.2
Male,2015,23.9 [17.1-31.3],Western Europe,23.9
Female,2015,20.4 [14.6-27.0],Western Europe,20.4
Both sexes,2016,22.6 [18.0-27.6],Western Europe,22.6
Male,2016,24.5 [17.4-32.0],Western Europe,24.5
Female,2016,20.7 [14.7-27.6],Western Europe,20.7
