Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.5 [0.2-1.2],Southern Africa,0.5
Male,1975,0.2 [0.0-0.7],Southern Africa,0.2
Female,1975,0.9 [0.2-2.1],Southern Africa,0.9
Both sexes,1976,0.6 [0.2-1.2],Southern Africa,0.6
Male,1976,0.2 [0.0-0.7],Southern Africa,0.2
Female,1976,0.9 [0.3-2.1],Southern Africa,0.9
Both sexes,1977,0.6 [0.2-1.3],Southern Africa,0.6
Male,1977,0.3 [0.1-0.8],Southern Africa,0.3
Female,1977,1.0 [0.3-2.2],Southern Africa,1.0
Both sexes,1978,0.6 [0.3-1.3],Southern Africa,0.6
Male,1978,0.3 [0.1-0.8],Southern Africa,0.3
Female,1978,1.0 [0.3-2.3],Southern Africa,1.0
Both sexes,1979,0.7 [0.3-1.3],Southern Africa,0.7
Male,1979,0.3 [0.1-0.8],Southern Africa,0.3
Female,1979,1.1 [0.4-2.3],Southern Africa,1.1
Both sexes,1980,0.7 [0.3-1.4],Southern Africa,0.7
Male,1980,0.3 [0.1-0.9],Southern Africa,0.3
Female,1980,1.1 [0.4-2.4],Southern Africa,1.1
Both sexes,1981,0.8 [0.3-1.4],Southern Africa,0.8
Male,1981,0.3 [0.1-0.9],Southern Africa,0.3
Female,1981,1.2 [0.5-2.5],Southern Africa,1.2
Both sexes,1982,0.8 [0.4-1.5],Southern Africa,0.8
Male,1982,0.4 [0.1-0.9],Southern Africa,0.4
Female,1982,1.3 [0.5-2.6],Southern Africa,1.3
Both sexes,1983,0.9 [0.4-1.5],Southern Africa,0.9
Male,1983,0.4 [0.1-1.0],Southern Africa,0.4
Female,1983,1.4 [0.5-2.7],Southern Africa,1.4
Both sexes,1984,0.9 [0.5-1.6],Southern Africa,0.9
Male,1984,0.4 [0.1-1.0],Southern Africa,0.4
Female,1984,1.4 [0.6-2.8],Southern Africa,1.4
Both sexes,1985,1.0 [0.5-1.7],Southern Africa,1.0
Male,1985,0.4 [0.1-1.0],Southern Africa,0.4
Female,1985,1.5 [0.6-2.9],Southern Africa,1.5
Both sexes,1986,1.0 [0.5-1.8],Southern Africa,1.0
Male,1986,0.5 [0.1-1.1],Southern Africa,0.5
Female,1986,1.6 [0.7-3.0],Southern Africa,1.6
Both sexes,1987,1.1 [0.6-1.9],Southern Africa,1.1
Male,1987,0.5 [0.2-1.1],Southern Africa,0.5
Female,1987,1.7 [0.8-3.1],Southern Africa,1.7
Both sexes,1988,1.2 [0.6-1.9],Southern Africa,1.2
Male,1988,0.5 [0.2-1.2],Southern Africa,0.5
Female,1988,1.8 [0.8-3.2],Southern Africa,1.8
Both sexes,1989,1.2 [0.7-2.0],Southern Africa,1.2
Male,1989,0.6 [0.2-1.3],Southern Africa,0.6
Female,1989,1.9 [0.9-3.3],Southern Africa,1.9
Both sexes,1990,1.3 [0.7-2.1],Southern Africa,1.3
Male,1990,0.6 [0.2-1.3],Southern Africa,0.6
Female,1990,2.0 [1.0-3.5],Southern Africa,2.0
Both sexes,1991,1.4 [0.8-2.2],Southern Africa,1.4
Male,1991,0.7 [0.2-1.4],Southern Africa,0.7
Female,1991,2.1 [1.0-3.7],Southern Africa,2.1
Both sexes,1992,1.5 [0.9-2.3],Southern Africa,1.5
Male,1992,0.7 [0.3-1.5],Southern Africa,0.7
Female,1992,2.2 [1.1-3.8],Southern Africa,2.2
Both sexes,1993,1.6 [0.9-2.4],Southern Africa,1.6
Male,1993,0.8 [0.3-1.5],Southern Africa,0.8
Female,1993,2.4 [1.2-4.0],Southern Africa,2.4
Both sexes,1994,1.7 [1.0-2.6],Southern Africa,1.7
Male,1994,0.8 [0.3-1.6],Southern Africa,0.8
Female,1994,2.5 [1.3-4.2],Southern Africa,2.5
Both sexes,1995,1.8 [1.1-2.7],Southern Africa,1.8
Male,1995,0.9 [0.3-1.7],Southern Africa,0.9
Female,1995,2.6 [1.4-4.3],Southern Africa,2.6
Both sexes,1996,1.9 [1.1-2.8],Southern Africa,1.9
Male,1996,0.9 [0.4-1.8],Southern Africa,0.9
Female,1996,2.8 [1.5-4.5],Southern Africa,2.8
Both sexes,1997,2.0 [1.2-2.9],Southern Africa,2.0
Male,1997,1.0 [0.4-1.9],Southern Africa,1.0
Female,1997,2.9 [1.6-4.7],Southern Africa,2.9
Both sexes,1998,2.1 [1.3-3.1],Southern Africa,2.1
Male,1998,1.0 [0.4-2.0],Southern Africa,1.0
