Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.4 [0.7-2.5],Southeast Asia,1.4
Male,1975,0.7 [0.2-1.5],Southeast Asia,0.7
Female,1975,2.2 [0.9-4.3],Southeast Asia,2.2
Both sexes,1976,1.5 [0.8-2.6],Southeast Asia,1.5
Male,1976,0.7 [0.2-1.6],Southeast Asia,0.7
Female,1976,2.4 [1.0-4.4],Southeast Asia,2.4
Both sexes,1977,1.7 [0.9-2.8],Southeast Asia,1.7
Male,1977,0.8 [0.3-1.7],Southeast Asia,0.8
Female,1977,2.5 [1.1-4.6],Southeast Asia,2.5
Both sexes,1978,1.8 [1.0-2.9],Southeast Asia,1.8
Male,1978,0.9 [0.3-1.7],Southeast Asia,0.9
Female,1978,2.7 [1.2-4.8],Southeast Asia,2.7
Both sexes,1979,1.9 [1.1-3.0],Southeast Asia,1.9
Male,1979,0.9 [0.4-1.8],Southeast Asia,0.9
Female,1979,2.9 [1.3-4.9],Southeast Asia,2.9
Both sexes,1980,2.0 [1.2-3.2],Southeast Asia,2.0
Male,1980,1.0 [0.4-1.9],Southeast Asia,1.0
Female,1980,3.1 [1.5-5.2],Southeast Asia,3.1
Both sexes,1981,2.2 [1.3-3.3],Southeast Asia,2.2
Male,1981,1.1 [0.5-2.0],Southeast Asia,1.1
Female,1981,3.2 [1.6-5.4],Southeast Asia,3.2
Both sexes,1982,2.3 [1.4-3.5],Southeast Asia,2.3
Male,1982,1.2 [0.5-2.2],Southeast Asia,1.2
Female,1982,3.4 [1.8-5.6],Southeast Asia,3.4
Both sexes,1983,2.5 [1.5-3.7],Southeast Asia,2.5
Male,1983,1.3 [0.6-2.3],Southeast Asia,1.3
Female,1983,3.7 [2.0-5.9],Southeast Asia,3.7
Both sexes,1984,2.6 [1.7-3.9],Southeast Asia,2.6
Male,1984,1.4 [0.6-2.4],Southeast Asia,1.4
Female,1984,3.9 [2.1-6.1],Southeast Asia,3.9
Both sexes,1985,2.8 [1.8-4.1],Southeast Asia,2.8
Male,1985,1.5 [0.7-2.6],Southeast Asia,1.5
Female,1985,4.1 [2.3-6.4],Southeast Asia,4.1
Both sexes,1986,3.0 [1.9-4.3],Southeast Asia,3.0
Male,1986,1.6 [0.8-2.7],Southeast Asia,1.6
Female,1986,4.3 [2.5-6.7],Southeast Asia,4.3
Both sexes,1987,3.2 [2.1-4.5],Southeast Asia,3.2
Male,1987,1.7 [0.9-2.9],Southeast Asia,1.7
Female,1987,4.6 [2.7-7.0],Southeast Asia,4.6
Both sexes,1988,3.4 [2.3-4.7],Southeast Asia,3.4
Male,1988,1.9 [1.0-3.1],Southeast Asia,1.9
Female,1988,4.8 [2.9-7.3],Southeast Asia,4.8
Both sexes,1989,3.6 [2.4-5.0],Southeast Asia,3.6
Male,1989,2.0 [1.1-3.3],Southeast Asia,2.0
Female,1989,5.1 [3.2-7.6],Southeast Asia,5.1
Both sexes,1990,3.8 [2.6-5.2],Southeast Asia,3.8
Male,1990,2.2 [1.2-3.5],Southeast Asia,2.2
Female,1990,5.4 [3.4-7.9],Southeast Asia,5.4
Both sexes,1991,4.0 [2.8-5.5],Southeast Asia,4.0
Male,1991,2.3 [1.3-3.7],Southeast Asia,2.3
Female,1991,5.7 [3.7-8.3],Southeast Asia,5.7
Both sexes,1992,4.3 [3.0-5.8],Southeast Asia,4.3
Male,1992,2.5 [1.4-4.0],Southeast Asia,2.5
Female,1992,6.0 [3.9-8.6],Southeast Asia,6.0
Both sexes,1993,4.5 [3.3-6.1],Southeast Asia,4.5
Male,1993,2.7 [1.6-4.3],Southeast Asia,2.7
Female,1993,6.4 [4.2-9.1],Southeast Asia,6.4
Both sexes,1994,4.8 [3.5-6.4],Southeast Asia,4.8
Male,1994,3.0 [1.7-4.6],Southeast Asia,3.0
Female,1994,6.7 [4.5-9.5],Southeast Asia,6.7
Both sexes,1995,5.1 [3.8-6.7],Southeast Asia,5.1
Male,1995,3.2 [1.9-4.9],Southeast Asia,3.2
Female,1995,7.1 [4.8-9.9],Southeast Asia,7.1
Both sexes,1996,5.5 [4.1-7.1],Southeast Asia,5.5
Male,1996,3.5 [2.1-5.2],Southeast Asia,3.5
Female,1996,7.5 [5.1-10.4],Southeast Asia,7.5
Both sexes,1997,5.8 [4.4-7.5],Southeast Asia,5.8
Male,1997,3.8 [2.3-5.6],Southeast Asia,3.8
Female,1997,7.9 [5.5-10.8],Southeast Asia,7.9
Both sexes,1998,6.2 [4.7-7.9],Southeast Asia,6.2
Male,1998,4.1 [2.6-6.0],Southeast Asia,4.1
Female,1998,8.4 [5.9-11.3],Southeast Asia,8.4
Both sexes,1999,6.6 [5.1-8.4],Southeast Asia,6.6
Male,1999,4.4 [2.8-6.4],Southeast Asia,4.4
Female,1999,8.8 [6.3-11.9],Southeast Asia,8.8
