Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.5 [0.2-1.1],South Asia,0.5
Male,1975,0.2 [0.0-0.6],South Asia,0.2
Female,1975,1.0 [0.3-2.3],South Asia,1.0
Both sexes,1976,0.6 [0.2-1.2],South Asia,0.6
Male,1976,0.2 [0.1-0.6],South Asia,0.2
Female,1976,1.1 [0.3-2.4],South Asia,1.1
Both sexes,1977,0.6 [0.3-1.2],South Asia,0.6
Male,1977,0.3 [0.1-0.7],South Asia,0.3
Female,1977,1.1 [0.4-2.5],South Asia,1.1
Both sexes,1978,0.7 [0.3-1.3],South Asia,0.7
Male,1978,0.3 [0.1-0.7],South Asia,0.3
Female,1978,1.2 [0.4-2.7],South Asia,1.2
Both sexes,1979,0.7 [0.3-1.4],South Asia,0.7
Male,1979,0.3 [0.1-0.8],South Asia,0.3
Female,1979,1.3 [0.5-2.8],South Asia,1.3
Both sexes,1980,0.8 [0.4-1.5],South Asia,0.8
Male,1980,0.3 [0.1-0.8],South Asia,0.3
Female,1980,1.5 [0.6-3.0],South Asia,1.5
Both sexes,1981,0.9 [0.4-1.6],South Asia,0.9
Male,1981,0.4 [0.1-0.9],South Asia,0.4
Female,1981,1.6 [0.7-3.1],South Asia,1.6
Both sexes,1982,1.0 [0.5-1.7],South Asia,1.0
Male,1982,0.4 [0.1-0.9],South Asia,0.4
Female,1982,1.7 [0.7-3.3],South Asia,1.7
Both sexes,1983,1.0 [0.5-1.8],South Asia,1.0
Male,1983,0.5 [0.1-1.0],South Asia,0.5
Female,1983,1.8 [0.8-3.5],South Asia,1.8
Both sexes,1984,1.1 [0.6-1.9],South Asia,1.1
Male,1984,0.5 [0.2-1.1],South Asia,0.5
Female,1984,2.0 [0.9-3.7],South Asia,2.0
Both sexes,1985,1.2 [0.7-2.0],South Asia,1.2
Male,1985,0.5 [0.2-1.2],South Asia,0.5
Female,1985,2.1 [1.0-3.8],South Asia,2.1
Both sexes,1986,1.3 [0.7-2.1],South Asia,1.3
Male,1986,0.6 [0.2-1.2],South Asia,0.6
Female,1986,2.2 [1.1-4.0],South Asia,2.2
Both sexes,1987,1.4 [0.8-2.3],South Asia,1.4
Male,1987,0.6 [0.2-1.3],South Asia,0.6
Female,1987,2.4 [1.2-4.2],South Asia,2.4
Both sexes,1988,1.5 [0.8-2.4],South Asia,1.5
