Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,27.0 [20.2-34.4],Oceania,27.0
Male,1975,20.1 [11.6-30.6],Oceania,20.1
Female,1975,34.5 [24.1-45.3],Oceania,34.5
Both sexes,1976,27.9 [21.2-35.1],Oceania,27.9
Male,1976,20.9 [12.4-31.0],Oceania,20.9
Female,1976,35.4 [25.3-46.0],Oceania,35.4
Both sexes,1977,28.7 [22.2-35.7],Oceania,28.7
Male,1977,21.6 [13.2-31.4],Oceania,21.6
Female,1977,36.2 [26.4-46.5],Oceania,36.2
Both sexes,1978,29.4 [23.0-36.2],Oceania,29.4
Male,1978,22.3 [13.9-31.9],Oceania,22.3
Female,1978,36.9 [27.3-47.0],Oceania,36.9
Both sexes,1979,30.0 [23.7-36.7],Oceania,30.0
Male,1979,22.8 [14.5-32.3],Oceania,22.8
Female,1979,37.5 [28.2-47.2],Oceania,37.5
Both sexes,1980,30.6 [24.3-37.1],Oceania,30.6
Male,1980,23.3 [15.1-32.7],Oceania,23.3
Female,1980,38.0 [28.9-47.6],Oceania,38.0
Both sexes,1981,31.1 [24.9-37.5],Oceania,31.1
Male,1981,23.9 [15.6-33.0],Oceania,23.9
Female,1981,38.6 [29.6-47.9],Oceania,38.6
Both sexes,1982,31.7 [25.5-38.0],Oceania,31.7
Male,1982,24.4 [16.2-33.3],Oceania,24.4
Female,1982,39.1 [30.3-48.3],Oceania,39.1
Both sexes,1983,32.2 [26.2-38.5],Oceania,32.2
Male,1983,25.0 [16.8-33.9],Oceania,25.0
Female,1983,39.7 [30.9-48.7],Oceania,39.7
Both sexes,1984,32.8 [26.8-39.0],Oceania,32.8
Male,1984,25.7 [17.5-34.5],Oceania,25.7
Female,1984,40.3 [31.7-49.2],Oceania,40.3
Both sexes,1985,33.4 [27.6-39.7],Oceania,33.4
Male,1985,26.3 [18.2-35.0],Oceania,26.3
Female,1985,41.0 [32.3-49.6],Oceania,41.0
Both sexes,1986,34.1 [28.2-40.3],Oceania,34.1
Male,1986,27.0 [19.0-35.6],Oceania,27.0
Female,1986,41.6 [33.1-50.1],Oceania,41.6
Both sexes,1987,34.8 [28.9-40.9],Oceania,34.8
Male,1987,27.8 [19.8-36.4],Oceania,27.8
Female,1987,42.3 [33.8-50.8],Oceania,42.3
Both sexes,1988,35.5 [29.6-41.6],Oceania,35.5
Male,1988,28.5 [20.6-37.1],Oceania,28.5
Female,1988,43.0 [34.6-51.4],Oceania,43.0
Both sexes,1989,36.2 [30.4-42.2],Oceania,36.2
Male,1989,29.3 [21.2-37.8],Oceania,29.3
Female,1989,43.7 [35.5-52.0],Oceania,43.7
Both sexes,1990,36.9 [31.1-42.9],Oceania,36.9
Male,1990,30.1 [22.0-38.6],Oceania,30.1
Female,1990,44.4 [36.2-52.7],Oceania,44.4
Both sexes,1991,37.7 [31.9-43.6],Oceania,37.7
Male,1991,30.9 [22.7-39.3],Oceania,30.9
Female,1991,45.0 [37.0-53.2],Oceania,45.0
Both sexes,1992,38.4 [32.6-44.3],Oceania,38.4
Male,1992,31.6 [23.4-40.0],Oceania,31.6
Female,1992,45.7 [37.7-53.7],Oceania,45.7
Both sexes,1993,39.1 [33.3-45.0],Oceania,39.1
Male,1993,32.3 [24.2-40.8],Oceania,32.3
Female,1993,46.3 [38.3-54.3],Oceania,46.3
Both sexes,1994,39.8 [34.0-45.6],Oceania,39.8
Male,1994,33.1 [24.9-41.5],Oceania,33.1
Female,1994,46.9 [38.9-54.9],Oceania,46.9
Both sexes,1995,40.5 [34.7-46.2],Oceania,40.5
Male,1995,33.8 [25.6-42.2],Oceania,33.8
Female,1995,47.4 [39.5-55.3],Oceania,47.4
Both sexes,1996,41.1 [35.5-46.8],Oceania,41.1
Male,1996,34.5 [26.3-42.9],Oceania,34.5
Female,1996,48.0 [40.1-55.9],Oceania,48.0
Both sexes,1997,41.8 [36.2-47.5],Oceania,41.8
Male,1997,35.2 [26.9-43.5],Oceania,35.2
Female,1997,48.5 [40.8-56.3],Oceania,48.5
Both sexes,1998,42.5 [36.9-48.1],Oceania,42.5
Male,1998,35.9 [27.7-44.2],Oceania,35.9
Female,1998,49.0 [41.3-56.8],Oceania,49.0
Both sexes,1999,43.1 [37.5-48.7],Oceania,43.1
Male,1999,36.6 [28.4-44.8],Oceania,36.6
Female,1999,49.6 [41.9-57.3],Oceania,49.6
Both sexes,2000,43.7 [38.2-49.4],Oceania,43.7
Male,2000,37.3 [29.0-45.5],Oceania,37.3
Female,2000,50.1 [42.4-57.7],Oceania,50.1
Both sexes,2001,44.4 [38.9-49.9],Oceania,44.4
Male,2001,38.0 [29.7-46.1],Oceania,38.0
Female,2001,50.6 [43.0-58.1],Oceania,50.6
Both sexes,2002,45.0 [39.5-50.4],Oceania,45.0
Male,2002,38.7 [30.5-46.8],Oceania,38.7
Female,2002,51.1 [43.5-58.5],Oceania,51.1
Both sexes,2003,45.5 [40.1-51.0],Oceania,45.5
Male,2003,39.4 [31.3-47.4],Oceania,39.4
Female,2003,51.5 [44.0-58.9],Oceania,51.5
Both sexes,2004,46.1 [40.7-51.5],Oceania,46.1
Male,2004,40.1 [32.1-48.1],Oceania,40.1
Female,2004,52.0 [44.6-59.4],Oceania,52.0
Both sexes,2005,46.7 [41.3-52.0],Oceania,46.7
Male,2005,40.8 [32.9-48.8],Oceania,40.8
Female,2005,52.5 [45.1-59.9],Oceania,52.5
Both sexes,2006,47.3 [41.9-52.7],Oceania,47.3
Male,2006,41.5 [33.6-49.5],Oceania,41.5
Female,2006,53.0 [45.6-60.4],Oceania,53.0
Both sexes,2007,47.9 [42.5-53.3],Oceania,47.9
Male,2007,42.2 [34.3-50.1],Oceania,42.2
Female,2007,53.4 [46.0-60.9],Oceania,53.4
Both sexes,2008,48.4 [43.0-53.9],Oceania,48.4
Male,2008,42.9 [35.0-50.9],Oceania,42.9
Female,2008,53.9 [46.5-61.5],Oceania,53.9
Both sexes,2009,49.0 [43.6-54.4],Oceania,49.0
Male,2009,43.6 [35.7-51.6],Oceania,43.6
Female,2009,54.3 [46.9-62.0],Oceania,54.3
Both sexes,2010,49.6 [44.1-55.1],Oceania,49.6
Male,2010,44.3 [36.2-52.4],Oceania,44.3
Female,2010,54.8 [47.2-62.4],Oceania,54.8
Both sexes,2011,50.1 [44.5-55.7],Oceania,50.1
Male,2011,45.0 [36.7-53.2],Oceania,45.0
Female,2011,55.2 [47.6-62.9],Oceania,55.2
Both sexes,2012,50.7 [45.1-56.3],Oceania,50.7
Male,2012,45.7 [37.4-54.0],Oceania,45.7
Female,2012,55.7 [48.0-63.4],Oceania,55.7
Both sexes,2013,51.3 [45.5-57.0],Oceania,51.3
Male,2013,46.4 [38.0-54.9],Oceania,46.4
Female,2013,56.1 [48.3-63.9],Oceania,56.1
Both sexes,2014,51.8 [45.9-57.7],Oceania,51.8
Male,2014,47.1 [38.5-55.6],Oceania,47.1
Female,2014,56.5 [48.6-64.5],Oceania,56.5
Both sexes,2015,52.4 [46.4-58.4],Oceania,52.4
Male,2015,47.7 [38.9-56.5],Oceania,47.7
Female,2015,56.9 [48.8-65.1],Oceania,56.9
Both sexes,2016,52.9 [46.7-59.1],Oceania,52.9
Male,2016,48.4 [39.2-57.4],Oceania,48.4
Female,2016,57.3 [49.1-65.7],Oceania,57.3
