Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.2 [0.5-2.4],North Africa,1.2
Male,1975,0.3 [0.1-1.0],North Africa,0.3
Female,1975,1.9 [0.7-4.2],North Africa,1.9
Both sexes,1976,1.3 [0.6-2.5],North Africa,1.3
Male,1976,0.4 [0.1-1.1],North Africa,0.4
Female,1976,2.1 [0.8-4.4],North Africa,2.1
Both sexes,1977,1.4 [0.6-2.6],North Africa,1.4
Male,1977,0.4 [0.1-1.2],North Africa,0.4
Female,1977,2.3 [0.9-4.6],North Africa,2.3
Both sexes,1978,1.5 [0.7-2.8],North Africa,1.5
Male,1978,0.4 [0.1-1.2],North Africa,0.4
Female,1978,2.5 [1.0-4.8],North Africa,2.5
Both sexes,1979,1.6 [0.8-2.9],North Africa,1.6
Male,1979,0.5 [0.1-1.3],North Africa,0.5
Female,1979,2.7 [1.2-5.1],North Africa,2.7
Both sexes,1980,1.8 [0.9-3.1],North Africa,1.8
Male,1980,0.5 [0.2-1.4],North Africa,0.5
Female,1980,2.9 [1.3-5.4],North Africa,2.9
Both sexes,1981,1.9 [1.0-3.3],North Africa,1.9
Male,1981,0.6 [0.2-1.5],North Africa,0.6
Female,1981,3.1 [1.5-5.7],North Africa,3.1
Both sexes,1982,2.1 [1.1-3.5],North Africa,2.1
Male,1982,0.7 [0.2-1.6],North Africa,0.7
Female,1982,3.4 [1.7-6.0],North Africa,3.4
Both sexes,1983,2.3 [1.3-3.8],North Africa,2.3
Male,1983,0.7 [0.2-1.7],North Africa,0.7
Female,1983,3.7 [1.9-6.4],North Africa,3.7
Both sexes,1984,2.5 [1.4-4.0],North Africa,2.5
Male,1984,0.8 [0.3-1.8],North Africa,0.8
Female,1984,4.0 [2.1-6.8],North Africa,4.0
Both sexes,1985,2.7 [1.6-4.2],North Africa,2.7
Male,1985,0.9 [0.3-2.0],North Africa,0.9
Female,1985,4.3 [2.3-7.2],North Africa,4.3
Both sexes,1986,2.9 [1.7-4.5],North Africa,2.9
Male,1986,1.0 [0.4-2.1],North Africa,1.0
Female,1986,4.6 [2.6-7.6],North Africa,4.6
Both sexes,1987,3.1 [1.9-4.8],North Africa,3.1
Male,1987,1.1 [0.4-2.3],North Africa,1.1
Female,1987,5.0 [2.8-8.0],North Africa,5.0
Both sexes,1988,3.4 [2.1-5.1],North Africa,3.4
Male,1988,1.2 [0.5-2.5],North Africa,1.2
Female,1988,5.3 [3.1-8.5],North Africa,5.3
Both sexes,1989,3.6 [2.3-5.4],North Africa,3.6
Male,1989,1.3 [0.5-2.6],North Africa,1.3
Female,1989,5.7 [3.3-9.0],North Africa,5.7
Both sexes,1990,3.9 [2.5-5.7],North Africa,3.9
Male,1990,1.4 [0.6-2.8],North Africa,1.4
Female,1990,6.1 [3.6-9.4],North Africa,6.1
Both sexes,1991,4.2 [2.7-6.0],North Africa,4.2
Male,1991,1.5 [0.7-3.0],North Africa,1.5
Female,1991,6.5 [3.9-9.9],North Africa,6.5
Both sexes,1992,4.4 [2.9-6.3],North Africa,4.4
Male,1992,1.6 [0.7-3.2],North Africa,1.6
Female,1992,6.9 [4.2-10.4],North Africa,6.9
Both sexes,1993,4.7 [3.1-6.6],North Africa,4.7
Male,1993,1.8 [0.8-3.4],North Africa,1.8
Female,1993,7.3 [4.5-10.9],North Africa,7.3
Both sexes,1994,5.0 [3.3-7.0],North Africa,5.0
Male,1994,1.9 [0.9-3.6],North Africa,1.9
Female,1994,7.7 [4.8-11.4],North Africa,7.7
Both sexes,1995,5.2 [3.6-7.3],North Africa,5.2
Male,1995,2.0 [1.0-3.8],North Africa,2.0
Female,1995,8.1 [5.1-11.9],North Africa,8.1
Both sexes,1996,5.5 [3.8-7.6],North Africa,5.5
Male,1996,2.2 [1.0-4.0],North Africa,2.2
Female,1996,8.5 [5.4-12.3],North Africa,8.5
Both sexes,1997,5.8 [4.0-8.0],North Africa,5.8
Male,1997,2.3 [1.1-4.2],North Africa,2.3
Female,1997,8.9 [5.8-12.8],North Africa,8.9
Both sexes,1998,6.1 [4.3-8.3],North Africa,6.1
Male,1998,2.5 [1.2-4.5],North Africa,2.5
Female,1998,9.4 [6.2-13.4],North Africa,9.4
Both sexes,1999,6.4 [4.5-8.6],North Africa,6.4
Male,1999,2.6 [1.3-4.7],North Africa,2.6
Female,1999,9.8 [6.5-13.9],North Africa,9.8
Both sexes,2000,6.7 [4.8-9.0],North Africa,6.7
Male,2000,2.8 [1.4-4.9],North Africa,2.8
Female,2000,10.3 [6.9-14.5],North Africa,10.3
Both sexes,2001,7.0 [5.1-9.4],North Africa,7.0
Male,2001,3.0 [1.5-5.2],North Africa,3.0
Female,2001,10.7 [7.2-15.0],North Africa,10.7
Both sexes,2002,7.4 [5.4-9.8],North Africa,7.4
Male,2002,3.2 [1.7-5.4],North Africa,3.2
Female,2002,11.2 [7.6-15.6],North Africa,11.2
Both sexes,2003,7.7 [5.6-10.2],North Africa,7.7
Male,2003,3.4 [1.8-5.7],North Africa,3.4
Female,2003,11.7 [8.0-16.1],North Africa,11.7
Both sexes,2004,8.1 [5.9-10.6],North Africa,8.1
Male,2004,3.6 [1.9-6.0],North Africa,3.6
Female,2004,12.2 [8.4-16.7],North Africa,12.2
Both sexes,2005,8.4 [6.2-11.0],North Africa,8.4
