Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.5 [6.2-13.5],North America,9.5
Male,1975,5.7 [2.8-10.0],North America,5.7
Female,1975,13.0 [7.5-19.5],North America,13.0
Both sexes,1976,9.9 [6.6-13.8],North America,9.9
Male,1976,6.0 [3.1-10.3],North America,6.0
Female,1976,13.4 [8.0-19.8],North America,13.4
Both sexes,1977,10.3 [7.1-14.1],North America,10.3
Male,1977,6.4 [3.4-10.5],North America,6.4
Female,1977,13.9 [8.6-20.1],North America,13.9
Both sexes,1978,10.7 [7.5-14.4],North America,10.7
Male,1978,6.7 [3.7-10.8],North America,6.7
Female,1978,14.3 [9.2-20.3],North America,14.3
Both sexes,1979,11.1 [8.0-14.7],North America,11.1
Male,1979,7.0 [4.0-11.1],North America,7.0
Female,1979,14.8 [9.7-20.7],North America,14.8
Both sexes,1980,11.5 [8.4-15.0],North America,11.5
Male,1980,7.4 [4.4-11.4],North America,7.4
Female,1980,15.3 [10.3-21.0],North America,15.3
Both sexes,1981,11.9 [8.9-15.4],North America,11.9
Male,1981,7.8 [4.7-11.8],North America,7.8
Female,1981,15.7 [10.9-21.4],North America,15.7
Both sexes,1982,12.3 [9.3-15.7],North America,12.3
Male,1982,8.1 [5.1-12.1],North America,8.1
Female,1982,16.2 [11.4-21.7],North America,16.2
Both sexes,1983,12.8 [9.8-16.1],North America,12.8
Male,1983,8.5 [5.4-12.5],North America,8.5
Female,1983,16.7 [12.0-22.1],North America,16.7
Both sexes,1984,13.2 [10.2-16.4],North America,13.2
Male,1984,8.9 [5.8-12.8],North America,8.9
Female,1984,17.2 [12.5-22.4],North America,17.2
Both sexes,1985,13.6 [10.7-16.8],North America,13.6
Male,1985,9.3 [6.2-13.2],North America,9.3
Female,1985,17.6 [13.0-22.7],North America,17.6
Both sexes,1986,14.1 [11.2-17.2],North America,14.1
Male,1986,9.7 [6.5-13.6],North America,9.7
Female,1986,18.1 [13.6-23.1],North America,18.1
Both sexes,1987,14.5 [11.7-17.6],North America,14.5
Male,1987,10.1 [6.9-14.0],North America,10.1
Female,1987,18.6 [14.1-23.5],North America,18.6
Both sexes,1988,15.0 [12.2-18.0],North America,15.0
Male,1988,10.6 [7.3-14.4],North America,10.6
Female,1988,19.1 [14.7-24.0],North America,19.1
Both sexes,1989,15.4 [12.7-18.4],North America,15.4
Male,1989,11.0 [7.7-14.9],North America,11.0
Female,1989,19.6 [15.2-24.3],North America,19.6
Both sexes,1990,15.9 [13.2-18.9],North America,15.9
Male,1990,11.4 [8.1-15.3],North America,11.4
Female,1990,20.0 [15.7-24.7],North America,20.0
Both sexes,1991,16.4 [13.6-19.4],North America,16.4
Male,1991,11.9 [8.6-15.8],North America,11.9
Female,1991,20.5 [16.3-25.1],North America,20.5
Both sexes,1992,16.9 [14.1-19.8],North America,16.9
Male,1992,12.3 [9.0-16.2],North America,12.3
Female,1992,21.0 [16.9-25.5],North America,21.0
Both sexes,1993,17.4 [14.7-20.3],North America,17.4
Male,1993,12.8 [9.4-16.7],North America,12.8
Female,1993,21.5 [17.4-26.0],North America,21.5
Both sexes,1994,17.9 [15.2-20.8],North America,17.9
Male,1994,13.3 [9.9-17.2],North America,13.3
Female,1994,22.0 [17.9-26.4],North America,22.0
Both sexes,1995,18.4 [15.7-21.3],North America,18.4
Male,1995,13.8 [10.3-17.6],North America,13.8
Female,1995,22.5 [18.4-26.8],North America,22.5
Both sexes,1996,18.9 [16.3-21.8],North America,18.9
Male,1996,14.2 [10.8-18.0],North America,14.2
Female,1996,23.0 [19.0-27.2],North America,23.0
Both sexes,1997,19.4 [16.8-22.2],North America,19.4
Male,1997,14.7 [11.3-18.5],North America,14.7
Female,1997,23.5 [19.6-27.7],North America,23.5
Both sexes,1998,19.9 [17.3-22.6],North America,19.9
Male,1998,15.2 [11.8-19.0],North America,15.2
Female,1998,24.0 [20.1-28.1],North America,24.0
Both sexes,1999,20.3 [17.8-23.1],North America,20.3
Male,1999,15.7 [12.3-19.4],North America,15.7
Female,1999,24.4 [20.6-28.5],North America,24.4
Both sexes,2000,20.8 [18.3-23.5],North America,20.8
Male,2000,16.1 [12.7-19.9],North America,16.1
Female,2000,24.9 [21.1-28.9],North America,24.9
Both sexes,2001,21.3 [18.8-24.0],North America,21.3
Male,2001,16.6 [13.2-20.3],North America,16.6
Female,2001,25.4 [21.6-29.3],North America,25.4
Both sexes,2002,21.8 [19.3-24.4],North America,21.8
Male,2002,17.1 [13.8-20.7],North America,17.1
Female,2002,25.9 [22.2-29.7],North America,25.9
Both sexes,2003,22.3 [19.8-24.9],North America,22.3
Male,2003,17.6 [14.3-21.2],North America,17.6
Female,2003,26.4 [22.7-30.2],North America,26.4
Both sexes,2004,22.8 [20.3-25.4],North America,22.8
Male,2004,18.1 [14.8-21.7],North America,18.1
Female,2004,26.8 [23.2-30.7],North America,26.8
Both sexes,2005,23.3 [20.8-25.9],North America,23.3
Male,2005,18.6 [15.2-22.2],North America,18.6
Female,2005,27.3 [23.7-31.2],North America,27.3
Both sexes,2006,23.8 [21.3-26.4],North America,23.8
Male,2006,19.1 [15.7-22.8],North America,19.1
Female,2006,27.8 [24.2-31.7],North America,27.8
Both sexes,2007,24.3 [21.8-26.9],North America,24.3
Male,2007,19.6 [16.2-23.3],North America,19.6
Female,2007,28.3 [24.6-32.2],North America,28.3
Both sexes,2008,24.8 [22.3-27.5],North America,24.8
Male,2008,20.1 [16.6-23.9],North America,20.1
Female,2008,28.8 [25.0-32.7],North America,28.8
Both sexes,2009,25.3 [22.7-28.0],North America,25.3
Male,2009,20.6 [17.0-24.4],North America,20.6
Female,2009,29.3 [25.4-33.3],North America,29.3
Both sexes,2010,25.8 [23.1-28.6],North America,25.8
Male,2010,21.1 [17.5-25.0],North America,21.1
Female,2010,29.8 [25.8-33.9],North America,29.8
Both sexes,2011,26.3 [23.5-29.3],North America,26.3
Male,2011,21.6 [17.8-25.7],North America,21.6
Female,2011,30.3 [26.2-34.7],North America,30.3
Both sexes,2012,26.8 [23.9-29.9],North America,26.8
Male,2012,22.2 [18.1-26.4],North America,22.2
Female,2012,30.8 [26.5-35.3],North America,30.8
Both sexes,2013,27.3 [24.3-30.6],North America,27.3
Male,2013,22.7 [18.4-27.1],North America,22.7
Female,2013,31.3 [26.7-36.1],North America,31.3
