Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,18.9 [12.8-25.7],Oceania,18.9
Male,1975,13.3 [6.6-22.6],Oceania,13.3
Female,1975,24.6 [15.3-35.7],Oceania,24.6
Both sexes,1976,19.5 [13.5-26.1],Oceania,19.5
Male,1976,13.8 [7.1-23.0],Oceania,13.8
Female,1976,25.4 [16.1-36.1],Oceania,25.4
Both sexes,1977,20.1 [14.2-26.6],Oceania,20.1
Male,1977,14.3 [7.7-23.2],Oceania,14.3
Female,1977,26.1 [17.0-36.4],Oceania,26.1
Both sexes,1978,20.7 [15.0-27.2],Oceania,20.7
Male,1978,14.7 [8.2-23.5],Oceania,14.7
Female,1978,26.8 [17.8-36.9],Oceania,26.8
Both sexes,1979,21.4 [15.7-27.7],Oceania,21.4
Male,1979,15.3 [8.8-23.8],Oceania,15.3
Female,1979,27.5 [18.6-37.5],Oceania,27.5
Both sexes,1980,22.0 [16.4-28.2],Oceania,22.0
Male,1980,15.8 [9.3-24.3],Oceania,15.8
Female,1980,28.2 [19.5-38.0],Oceania,28.2
Both sexes,1981,22.6 [17.0-28.6],Oceania,22.6
Male,1981,16.3 [9.9-24.7],Oceania,16.3
Female,1981,28.9 [20.3-38.5],Oceania,28.9
Both sexes,1982,23.3 [17.7-29.2],Oceania,23.3
Male,1982,16.8 [10.5-25.1],Oceania,16.8
Female,1982,29.6 [21.1-39.0],Oceania,29.6
Both sexes,1983,23.9 [18.4-29.7],Oceania,23.9
Male,1983,17.4 [11.0-25.5],Oceania,17.4
Female,1983,30.3 [21.9-39.4],Oceania,30.3
Both sexes,1984,24.5 [19.1-30.3],Oceania,24.5
Male,1984,17.9 [11.5-26.1],Oceania,17.9
Female,1984,31.0 [22.8-39.8],Oceania,31.0
Both sexes,1985,25.1 [19.7-30.9],Oceania,25.1
Male,1985,18.5 [12.1-26.5],Oceania,18.5
Female,1985,31.7 [23.6-40.4],Oceania,31.7
Both sexes,1986,25.8 [20.4-31.5],Oceania,25.8
Male,1986,19.1 [12.6-27.0],Oceania,19.1
Female,1986,32.4 [24.3-41.0],Oceania,32.4
Both sexes,1987,26.4 [21.1-32.0],Oceania,26.4
Male,1987,19.7 [13.2-27.6],Oceania,19.7
Female,1987,33.1 [25.1-41.6],Oceania,33.1
Both sexes,1988,27.0 [21.7-32.7],Oceania,27.0
Male,1988,20.3 [13.7-28.2],Oceania,20.3
Female,1988,33.8 [25.8-42.1],Oceania,33.8
Both sexes,1989,27.7 [22.3-33.3],Oceania,27.7
Male,1989,20.9 [14.3-28.8],Oceania,20.9
Female,1989,34.5 [26.6-42.7],Oceania,34.5
Both sexes,1990,28.3 [23.0-33.9],Oceania,28.3
Male,1990,21.5 [14.8-29.4],Oceania,21.5
Female,1990,35.2 [27.3-43.2],Oceania,35.2
Both sexes,1991,29.0 [23.7-34.6],Oceania,29.0
Male,1991,22.1 [15.4-30.0],Oceania,22.1
Female,1991,35.8 [28.0-43.8],Oceania,35.8
Both sexes,1992,29.6 [24.4-35.2],Oceania,29.6
Male,1992,22.8 [16.0-30.6],Oceania,22.8
Female,1992,36.5 [28.8-44.4],Oceania,36.5
Both sexes,1993,30.3 [25.1-35.8],Oceania,30.3
Male,1993,23.4 [16.7-31.2],Oceania,23.4
Female,1993,37.2 [29.5-45.0],Oceania,37.2
Both sexes,1994,30.9 [25.8-36.4],Oceania,30.9
Male,1994,24.1 [17.3-31.8],Oceania,24.1
Female,1994,37.9 [30.2-45.6],Oceania,37.9
Both sexes,1995,31.6 [26.5-37.0],Oceania,31.6
Male,1995,24.7 [17.9-32.4],Oceania,24.7
Female,1995,38.5 [31.0-46.1],Oceania,38.5
Both sexes,1996,32.3 [27.2-37.6],Oceania,32.3
Male,1996,25.3 [18.6-32.9],Oceania,25.3
Female,1996,39.2 [31.7-46.7],Oceania,39.2
Both sexes,1997,32.9 [27.8-38.2],Oceania,32.9
Male,1997,26.0 [19.2-33.5],Oceania,26.0
Female,1997,39.8 [32.4-47.2],Oceania,39.8
Both sexes,1998,33.5 [28.5-38.8],Oceania,33.5
Male,1998,26.6 [19.8-34.0],Oceania,26.6
Female,1998,40.3 [33.1-47.7],Oceania,40.3
Both sexes,1999,34.2 [29.2-39.4],Oceania,34.2
Male,1999,27.2 [20.5-34.6],Oceania,27.2
Female,1999,40.9 [33.8-48.1],Oceania,40.9
Both sexes,2000,34.7 [29.9-39.9],Oceania,34.7
Male,2000,27.8 [21.1-35.1],Oceania,27.8
Female,2000,41.5 [34.4-48.6],Oceania,41.5
Both sexes,2001,35.4 [30.6-40.5],Oceania,35.4
Male,2001,28.4 [21.8-35.8],Oceania,28.4
Female,2001,42.0 [35.0-49.2],Oceania,42.0
Both sexes,2002,36.0 [31.2-41.1],Oceania,36.0
Male,2002,29.0 [22.4-36.3],Oceania,29.0
Female,2002,42.6 [35.7-49.7],Oceania,42.6
Both sexes,2003,36.6 [31.9-41.7],Oceania,36.6
Male,2003,29.7 [23.1-37.0],Oceania,29.7
Female,2003,43.2 [36.4-50.2],Oceania,43.2
Both sexes,2004,37.3 [32.5-42.3],Oceania,37.3
Male,2004,30.4 [23.8-37.6],Oceania,30.4
Female,2004,43.8 [37.0-50.8],Oceania,43.8
Both sexes,2005,37.9 [33.2-42.9],Oceania,37.9
Male,2005,31.2 [24.5-38.4],Oceania,31.2
Female,2005,44.5 [37.7-51.4],Oceania,44.5
Both sexes,2006,38.6 [33.8-43.6],Oceania,38.6
Male,2006,31.9 [25.3-39.2],Oceania,31.9
Female,2006,45.1 [38.2-52.0],Oceania,45.1
Both sexes,2007,39.3 [34.6-44.2],Oceania,39.3
Male,2007,32.7 [26.0-40.0],Oceania,32.7
Female,2007,45.7 [38.9-52.6],Oceania,45.7
Both sexes,2008,40.1 [35.2-45.0],Oceania,40.1
Male,2008,33.5 [26.6-40.8],Oceania,33.5
Female,2008,46.4 [39.5-53.2],Oceania,46.4
Both sexes,2009,40.8 [35.9-45.7],Oceania,40.8
Male,2009,34.3 [27.3-41.8],Oceania,34.3
Female,2009,47.1 [40.2-53.8],Oceania,47.1
Both sexes,2010,41.5 [36.5-46.5],Oceania,41.5
Male,2010,35.1 [28.0-42.7],Oceania,35.1
Female,2010,47.7 [40.7-54.5],Oceania,47.7
Both sexes,2011,42.2 [37.1-47.3],Oceania,42.2
Male,2011,35.9 [28.6-43.7],Oceania,35.9
Female,2011,48.3 [41.3-55.3],Oceania,48.3
Both sexes,2012,42.9 [37.8-48.1],Oceania,42.9
Male,2012,36.8 [29.2-44.7],Oceania,36.8
Female,2012,49.0 [41.8-56.0],Oceania,49.0
Both sexes,2013,43.7 [38.3-49.0],Oceania,43.7
Male,2013,37.6 [29.7-45.8],Oceania,37.6
Female,2013,49.6 [42.2-56.8],Oceania,49.6
