Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.8 [2.5-8.0],Central Asia,4.8
Male,1975,2.8 [1.0-6.0],Central Asia,2.8
Female,1975,6.7 [2.8-12.4],Central Asia,6.7
Both sexes,1976,5.1 [2.7-8.2],Central Asia,5.1
Male,1976,3.0 [1.1-6.2],Central Asia,3.0
Female,1976,7.0 [3.1-12.5],Central Asia,7.0
Both sexes,1977,5.3 [3.0-8.4],Central Asia,5.3
Male,1977,3.1 [1.2-6.4],Central Asia,3.1
Female,1977,7.3 [3.3-12.7],Central Asia,7.3
Both sexes,1978,5.5 [3.2-8.6],Central Asia,5.5
Male,1978,3.3 [1.4-6.5],Central Asia,3.3
Female,1978,7.5 [3.6-12.9],Central Asia,7.5
Both sexes,1979,5.7 [3.4-8.8],Central Asia,5.7
Male,1979,3.5 [1.5-6.7],Central Asia,3.5
Female,1979,7.8 [3.9-13.1],Central Asia,7.8
Both sexes,1980,6.0 [3.6-9.0],Central Asia,6.0
Male,1980,3.7 [1.6-6.9],Central Asia,3.7
Female,1980,8.1 [4.2-13.3],Central Asia,8.1
Both sexes,1981,6.3 [3.9-9.3],Central Asia,6.3
Male,1981,3.9 [1.8-7.1],Central Asia,3.9
Female,1981,8.4 [4.5-13.5],Central Asia,8.4
Both sexes,1982,6.5 [4.1-9.5],Central Asia,6.5
Male,1982,4.1 [1.9-7.4],Central Asia,4.1
Female,1982,8.7 [4.8-13.8],Central Asia,8.7
Both sexes,1983,6.8 [4.4-9.7],Central Asia,6.8
Male,1983,4.3 [2.1-7.7],Central Asia,4.3
Female,1983,9.1 [5.1-14.1],Central Asia,9.1
Both sexes,1984,7.0 [4.6-10.1],Central Asia,7.0
Male,1984,4.5 [2.2-8.0],Central Asia,4.5
Female,1984,9.4 [5.4-14.4],Central Asia,9.4
Both sexes,1985,7.3 [4.9-10.3],Central Asia,7.3
Male,1985,4.8 [2.4-8.2],Central Asia,4.8
Female,1985,9.7 [5.7-14.7],Central Asia,9.7
Both sexes,1986,7.6 [5.2-10.6],Central Asia,7.6
Male,1986,5.0 [2.6-8.5],Central Asia,5.0
Female,1986,10.0 [6.0-15.1],Central Asia,10.0
Both sexes,1987,7.9 [5.4-10.9],Central Asia,7.9
Male,1987,5.2 [2.7-8.8],Central Asia,5.2
Female,1987,10.3 [6.3-15.3],Central Asia,10.3
Both sexes,1988,8.2 [5.7-11.2],Central Asia,8.2
Male,1988,5.5 [2.9-9.1],Central Asia,5.5
Female,1988,10.7 [6.6-15.6],Central Asia,10.7
Both sexes,1989,8.5 [5.9-11.4],Central Asia,8.5
Male,1989,5.7 [3.1-9.4],Central Asia,5.7
Female,1989,11.0 [6.9-15.9],Central Asia,11.0
Both sexes,1990,8.8 [6.2-11.8],Central Asia,8.8
Male,1990,6.0 [3.3-9.8],Central Asia,6.0
Female,1990,11.3 [7.2-16.3],Central Asia,11.3
Both sexes,1991,9.0 [6.5-12.0],Central Asia,9.0
Male,1991,6.3 [3.5-10.1],Central Asia,6.3
Female,1991,11.6 [7.5-16.6],Central Asia,11.6
Both sexes,1992,9.3 [6.7-12.4],Central Asia,9.3
Male,1992,6.5 [3.7-10.4],Central Asia,6.5
Female,1992,11.9 [7.8-16.9],Central Asia,11.9
Both sexes,1993,9.6 [7.0-12.6],Central Asia,9.6
Male,1993,6.8 [3.9-10.8],Central Asia,6.8
Female,1993,12.2 [8.1-17.1],Central Asia,12.2
Both sexes,1994,9.9 [7.3-12.9],Central Asia,9.9
Male,1994,7.0 [4.0-11.0],Central Asia,7.0
Female,1994,12.5 [8.3-17.4],Central Asia,12.5
Both sexes,1995,10.1 [7.5-13.2],Central Asia,10.1
Male,1995,7.3 [4.3-11.3],Central Asia,7.3
