Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.1 [3.2-10.2],Balkans,6.1
Male,1975,4.0 [1.4-8.7],Balkans,4.0
Female,1975,7.8 [3.4-14.6],Balkans,7.8
Both sexes,1976,6.4 [3.5-10.4],Balkans,6.4
Male,1976,4.2 [1.5-8.9],Balkans,4.2
Female,1976,8.1 [3.7-14.7],Balkans,8.1
Both sexes,1977,6.6 [3.7-10.7],Balkans,6.6
Male,1977,4.5 [1.7-9.2],Balkans,4.5
Female,1977,8.4 [4.0-14.9],Balkans,8.4
Both sexes,1978,6.9 [4.0-10.9],Balkans,6.9
Male,1978,4.8 [1.9-9.5],Balkans,4.8
Female,1978,8.7 [4.3-15.2],Balkans,8.7
Both sexes,1979,7.2 [4.3-11.2],Balkans,7.2
Male,1979,5.0 [2.1-9.8],Balkans,5.0
Female,1979,9.1 [4.7-15.5],Balkans,9.1
Both sexes,1980,7.5 [4.6-11.4],Balkans,7.5
Male,1980,5.3 [2.3-10.1],Balkans,5.3
Female,1980,9.4 [5.0-15.8],Balkans,9.4
Both sexes,1981,7.9 [4.9-11.8],Balkans,7.9
Male,1981,5.6 [2.5-10.4],Balkans,5.6
Female,1981,9.8 [5.3-16.1],Balkans,9.8
Both sexes,1982,8.2 [5.2-12.0],Balkans,8.2
Male,1982,6.0 [2.7-10.8],Balkans,6.0
Female,1982,10.1 [5.6-16.4],Balkans,10.1
Both sexes,1983,8.6 [5.6-12.3],Balkans,8.6
Male,1983,6.3 [2.9-11.1],Balkans,6.3
Female,1983,10.5 [6.0-16.8],Balkans,10.5
Both sexes,1984,8.9 [5.9-12.8],Balkans,8.9
Male,1984,6.7 [3.2-11.5],Balkans,6.7
Female,1984,10.9 [6.3-17.2],Balkans,10.9
Both sexes,1985,9.3 [6.3-13.2],Balkans,9.3
Male,1985,7.1 [3.4-12.0],Balkans,7.1
Female,1985,11.3 [6.6-17.5],Balkans,11.3
Both sexes,1986,9.7 [6.6-13.6],Balkans,9.7
Male,1986,7.5 [3.7-12.6],Balkans,7.5
Female,1986,11.7 [7.0-17.9],Balkans,11.7
Both sexes,1987,10.1 [7.0-14.0],Balkans,10.1
Male,1987,7.9 [4.0-13.0],Balkans,7.9
Female,1987,12.1 [7.3-18.2],Balkans,12.1
Both sexes,1988,10.6 [7.3-14.5],Balkans,10.6
Male,1988,8.3 [4.3-13.5],Balkans,8.3
Female,1988,12.5 [7.6-18.6],Balkans,12.5
Both sexes,1989,11.0 [7.7-14.9],Balkans,11.0
Male,1989,8.7 [4.7-14.1],Balkans,8.7
Female,1989,12.9 [8.0-19.1],Balkans,12.9
Both sexes,1990,11.4 [8.1-15.4],Balkans,11.4
Male,1990,9.2 [5.0-14.6],Balkans,9.2
Female,1990,13.4 [8.3-19.4],Balkans,13.4
Both sexes,1991,11.9 [8.5-15.8],Balkans,11.9
Male,1991,9.7 [5.3-15.2],Balkans,9.7
Female,1991,13.8 [8.7-19.9],Balkans,13.8
