Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.4 [1.6-6.2],Southern Africa,3.4
Male,1975,0.7 [0.1-1.8],Southern Africa,0.7
Female,1975,6.0 [2.6-11.3],Southern Africa,6.0
Both sexes,1976,3.6 [1.8-6.3],Southern Africa,3.6
Male,1976,0.7 [0.2-1.8],Southern Africa,0.7
Female,1976,6.2 [2.9-11.4],Southern Africa,6.2
Both sexes,1977,3.8 [1.9-6.5],Southern Africa,3.8
Male,1977,0.7 [0.2-1.9],Southern Africa,0.7
Female,1977,6.5 [3.1-11.6],Southern Africa,6.5
Both sexes,1978,3.9 [2.1-6.7],Southern Africa,3.9
Male,1978,0.8 [0.2-2.0],Southern Africa,0.8
Female,1978,6.8 [3.3-11.9],Southern Africa,6.8
Both sexes,1979,4.1 [2.2-6.8],Southern Africa,4.1
Male,1979,0.8 [0.2-2.0],Southern Africa,0.8
Female,1979,7.1 [3.6-12.2],Southern Africa,7.1
Both sexes,1980,4.3 [2.4-7.0],Southern Africa,4.3
Male,1980,0.9 [0.3-2.1],Southern Africa,0.9
Female,1980,7.4 [3.8-12.4],Southern Africa,7.4
Both sexes,1981,4.5 [2.5-7.2],Southern Africa,4.5
Male,1981,0.9 [0.3-2.2],Southern Africa,0.9
Female,1981,7.7 [4.1-12.6],Southern Africa,7.7
Both sexes,1982,4.7 [2.7-7.4],Southern Africa,4.7
Male,1982,1.0 [0.3-2.3],Southern Africa,1.0
Female,1982,8.0 [4.4-13.0],Southern Africa,8.0
Both sexes,1983,4.9 [2.9-7.7],Southern Africa,4.9
Male,1983,1.0 [0.3-2.3],Southern Africa,1.0
Female,1983,8.3 [4.6-13.3],Southern Africa,8.3
Both sexes,1984,5.2 [3.1-7.9],Southern Africa,5.2
Male,1984,1.1 [0.4-2.4],Southern Africa,1.1
Female,1984,8.6 [4.9-13.6],Southern Africa,8.6
Both sexes,1985,5.4 [3.3-8.2],Southern Africa,5.4
Male,1985,1.2 [0.4-2.5],Southern Africa,1.2
Female,1985,9.0 [5.2-14.0],Southern Africa,9.0
