Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.5 [3.7-7.7],Western Europe,5.5
Male,1975,4.1 [2.1-7.0],Western Europe,4.1
Female,1975,6.7 [4.1-10.3],Western Europe,6.7
Both sexes,1976,5.7 [3.9-7.8],Western Europe,5.7
Male,1976,4.3 [2.3-7.1],Western Europe,4.3
Female,1976,6.8 [4.3-10.4],Western Europe,6.8
Both sexes,1977,5.8 [4.1-7.9],Western Europe,5.8
Male,1977,4.5 [2.5-7.3],Western Europe,4.5
Female,1977,7.0 [4.5-10.5],Western Europe,7.0
Both sexes,1978,6.0 [4.3-8.1],Western Europe,6.0
Male,1978,4.7 [2.7-7.4],Western Europe,4.7
Female,1978,7.2 [4.7-10.6],Western Europe,7.2
Both sexes,1979,6.2 [4.6-8.3],Western Europe,6.2
Male,1979,4.9 [2.9-7.6],Western Europe,4.9
Female,1979,7.4 [4.9-10.7],Western Europe,7.4
Both sexes,1980,6.5 [4.8-8.4],Western Europe,6.5
Male,1980,5.1 [3.1-7.8],Western Europe,5.1
Female,1980,7.6 [5.2-10.8],Western Europe,7.6
Both sexes,1981,6.7 [5.0-8.6],Western Europe,6.7
Male,1981,5.3 [3.3-8.0],Western Europe,5.3
Female,1981,7.9 [5.4-10.9],Western Europe,7.9
Both sexes,1982,6.9 [5.2-8.9],Western Europe,6.9
Male,1982,5.6 [3.5-8.2],Western Europe,5.6
Female,1982,8.1 [5.6-11.1],Western Europe,8.1
Both sexes,1983,7.2 [5.5-9.1],Western Europe,7.2
Male,1983,5.8 [3.7-8.4],Western Europe,5.8
Female,1983,8.3 [5.9-11.3],Western Europe,8.3
Both sexes,1984,7.4 [5.7-9.3],Western Europe,7.4
Male,1984,6.1 [3.9-8.7],Western Europe,6.1
Female,1984,8.6 [6.1-11.6],Western Europe,8.6
Both sexes,1985,7.7 [6.0-9.6],Western Europe,7.7
Male,1985,6.3 [4.2-9.0],Western Europe,6.3
Female,1985,8.8 [6.3-11.8],Western Europe,8.8
Both sexes,1986,7.9 [6.2-9.9],Western Europe,7.9
Male,1986,6.6 [4.4-9.3],Western Europe,6.6
Female,1986,9.1 [6.6-12.1],Western Europe,9.1
Both sexes,1987,8.2 [6.5-10.1],Western Europe,8.2
Male,1987,6.9 [4.6-9.7],Western Europe,6.9
Female,1987,9.4 [6.8-12.3],Western Europe,9.4
Both sexes,1988,8.5 [6.8-10.5],Western Europe,8.5
Male,1988,7.2 [4.9-10.0],Western Europe,7.2
Female,1988,9.6 [7.1-12.6],Western Europe,9.6
Both sexes,1989,8.8 [7.0-10.8],Western Europe,8.8
Male,1989,7.5 [5.2-10.3],Western Europe,7.5
Female,1989,9.9 [7.4-12.9],Western Europe,9.9
Both sexes,1990,9.1 [7.3-11.1],Western Europe,9.1
Male,1990,7.8 [5.4-10.6],Western Europe,7.8
Female,1990,10.2 [7.6-13.2],Western Europe,10.2
Both sexes,1991,9.4 [7.6-11.4],Western Europe,9.4
Male,1991,8.1 [5.7-11.0],Western Europe,8.1
Female,1991,10.5 [7.9-13.6],Western Europe,10.5
Both sexes,1992,9.8 [7.9-11.8],Western Europe,9.8
Male,1992,8.5 [6.0-11.4],Western Europe,8.5
Female,1992,10.9 [8.2-13.9],Western Europe,10.9
Both sexes,1993,10.1 [8.2-12.2],Western Europe,10.1
Male,1993,8.9 [6.3-11.8],Western Europe,8.9
Female,1993,11.2 [8.5-14.2],Western Europe,11.2
Both sexes,1994,10.5 [8.5-12.6],Western Europe,10.5
Male,1994,9.3 [6.7-12.3],Western Europe,9.3
Female,1994,11.6 [8.9-14.6],Western Europe,11.6
Both sexes,1995,10.9 [8.9-13.1],Western Europe,10.9
Male,1995,9.7 [7.0-12.8],Western Europe,9.7
Female,1995,12.0 [9.2-15.0],Western Europe,12.0
Both sexes,1996,11.3 [9.3-13.5],Western Europe,11.3
Male,1996,10.1 [7.4-13.3],Western Europe,10.1
Female,1996,12.3 [9.6-15.4],Western Europe,12.3
Both sexes,1997,11.7 [9.7-13.9],Western Europe,11.7
Male,1997,10.6 [7.8-13.7],Western Europe,10.6
Female,1997,12.7 [10.0-15.8],Western Europe,12.7
Both sexes,1998,12.2 [10.1-14.3],Western Europe,12.2
Male,1998,11.0 [8.2-14.2],Western Europe,11.0
Female,1998,13.1 [10.3-16.2],Western Europe,13.1
Both sexes,1999,12.6 [10.5-14.8],Western Europe,12.6
Male,1999,11.5 [8.6-14.7],Western Europe,11.5
Female,1999,13.5 [10.7-16.6],Western Europe,13.5
Both sexes,2000,13.0 [10.9-15.3],Western Europe,13.0
Male,2000,12.0 [9.1-15.3],Western Europe,12.0
Female,2000,13.9 [11.1-17.0],Western Europe,13.9
Both sexes,2001,13.5 [11.3-15.8],Western Europe,13.5
Male,2001,12.4 [9.5-15.8],Western Europe,12.4
Female,2001,14.3 [11.5-17.4],Western Europe,14.3
Both sexes,2002,13.9 [11.8-16.2],Western Europe,13.9
Male,2002,13.0 [10.0-16.3],Western Europe,13.0
Female,2002,14.7 [11.9-17.9],Western Europe,14.7
Both sexes,2003,14.4 [12.2-16.8],Western Europe,14.4
Male,2003,13.5 [10.4-16.9],Western Europe,13.5
Female,2003,15.1 [12.2-18.3],Western Europe,15.1
Both sexes,2004,14.9 [12.7-17.3],Western Europe,14.9
Male,2004,14.0 [10.9-17.5],Western Europe,14.0
Female,2004,15.5 [12.6-18.8],Western Europe,15.5
Both sexes,2005,15.4 [13.1-17.8],Western Europe,15.4
Male,2005,14.6 [11.4-18.1],Western Europe,14.6
Female,2005,16.0 [13.0-19.3],Western Europe,16.0
Both sexes,2006,15.8 [13.6-18.3],Western Europe,15.8
Male,2006,15.1 [11.9-18.7],Western Europe,15.1
Female,2006,16.4 [13.4-19.8],Western Europe,16.4
Both sexes,2007,16.3 [14.0-18.9],Western Europe,16.3
Male,2007,15.7 [12.3-19.4],Western Europe,15.7
Female,2007,16.8 [13.7-20.2],Western Europe,16.8
Both sexes,2008,16.8 [14.4-19.5],Western Europe,16.8
Male,2008,16.3 [12.8-20.0],Western Europe,16.3
Female,2008,17.2 [14.0-20.6],Western Europe,17.2
Both sexes,2009,17.3 [14.8-20.0],Western Europe,17.3
Male,2009,16.8 [13.3-20.8],Western Europe,16.8
Female,2009,17.6 [14.2-21.1],Western Europe,17.6
