Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.9 [7.9-14.2],Oceania,10.9
Male,1975,9.4 [5.7-14.1],Oceania,9.4
Female,1975,12.3 [8.1-17.5],Oceania,12.3
Both sexes,1976,11.2 [8.3-14.4],Oceania,11.2
Male,1976,9.7 [6.1-14.3],Oceania,9.7
Female,1976,12.6 [8.5-17.6],Oceania,12.6
Both sexes,1977,11.5 [8.7-14.7],Oceania,11.5
Male,1977,10.0 [6.5-14.4],Oceania,10.0
Female,1977,13.0 [8.9-17.8],Oceania,13.0
Both sexes,1978,11.9 [9.1-14.9],Oceania,11.9
Male,1978,10.3 [6.8-14.6],Oceania,10.3
Female,1978,13.3 [9.3-17.9],Oceania,13.3
Both sexes,1979,12.2 [9.4-15.2],Oceania,12.2
Male,1979,10.7 [7.1-14.8],Oceania,10.7
Female,1979,13.6 [9.7-18.1],Oceania,13.6
Both sexes,1980,12.5 [9.8-15.4],Oceania,12.5
Male,1980,11.0 [7.6-15.1],Oceania,11.0
Female,1980,14.0 [10.1-18.3],Oceania,14.0
Both sexes,1981,12.9 [10.2-15.7],Oceania,12.9
Male,1981,11.3 [7.9-15.4],Oceania,11.3
Female,1981,14.3 [10.5-18.5],Oceania,14.3
Both sexes,1982,13.2 [10.6-16.0],Oceania,13.2
Male,1982,11.7 [8.3-15.7],Oceania,11.7
Female,1982,14.6 [10.9-18.8],Oceania,14.6
Both sexes,1983,13.6 [10.9-16.3],Oceania,13.6
Male,1983,12.0 [8.6-16.0],Oceania,12.0
Female,1983,15.0 [11.3-19.1],Oceania,15.0
Both sexes,1984,13.9 [11.3-16.7],Oceania,13.9
Male,1984,12.4 [9.0-16.3],Oceania,12.4
Female,1984,15.3 [11.6-19.4],Oceania,15.3
Both sexes,1985,14.3 [11.7-17.0],Oceania,14.3
Male,1985,12.8 [9.4-16.6],Oceania,12.8
Female,1985,15.7 [12.1-19.7],Oceania,15.7
Both sexes,1986,14.7 [12.1-17.4],Oceania,14.7
Male,1986,13.2 [9.7-17.0],Oceania,13.2
Female,1986,16.1 [12.5-20.0],Oceania,16.1
Both sexes,1987,15.1 [12.5-17.8],Oceania,15.1
Male,1987,13.6 [10.1-17.5],Oceania,13.6
Female,1987,16.5 [12.9-20.4],Oceania,16.5
Both sexes,1988,15.5 [12.9-18.2],Oceania,15.5
Male,1988,14.0 [10.5-17.9],Oceania,14.0
Female,1988,16.9 [13.3-20.8],Oceania,16.9
Both sexes,1989,15.9 [13.3-18.7],Oceania,15.9
Male,1989,14.5 [10.9-18.4],Oceania,14.5
Female,1989,17.3 [13.7-21.2],Oceania,17.3
Both sexes,1990,16.4 [13.8-19.1],Oceania,16.4
Male,1990,14.9 [11.3-18.8],Oceania,14.9
Female,1990,17.8 [14.2-21.7],Oceania,17.8
