Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.0 [4.2-10.7],Central America,7.0
Male,1975,3.6 [1.3-7.8],Central America,3.6
Female,1975,10.1 [5.3-16.5],Central America,10.1
Both sexes,1976,7.3 [4.4-10.9],Central America,7.3
Male,1976,3.8 [1.4-8.0],Central America,3.8
Female,1976,10.4 [5.6-16.7],Central America,10.4
Both sexes,1977,7.5 [4.7-11.1],Central America,7.5
Male,1977,4.0 [1.6-8.2],Central America,4.0
Female,1977,10.8 [5.9-17.0],Central America,10.8
Both sexes,1978,7.8 [4.9-11.3],Central America,7.8
Male,1978,4.2 [1.7-8.3],Central America,4.2
Female,1978,11.1 [6.3-17.2],Central America,11.1
Both sexes,1979,8.1 [5.2-11.5],Central America,8.1
Male,1979,4.4 [1.9-8.5],Central America,4.4
Female,1979,11.5 [6.7-17.4],Central America,11.5
Both sexes,1980,8.3 [5.5-11.7],Central America,8.3
Male,1980,4.6 [2.0-8.6],Central America,4.6
Female,1980,11.8 [7.1-17.7],Central America,11.8
Both sexes,1981,8.6 [5.8-11.9],Central America,8.6
Male,1981,4.8 [2.2-8.9],Central America,4.8
Female,1981,12.1 [7.5-17.9],Central America,12.1
Both sexes,1982,8.9 [6.1-12.2],Central America,8.9
Male,1982,5.0 [2.3-9.2],Central America,5.0
Female,1982,12.5 [7.8-18.2],Central America,12.5
Both sexes,1983,9.2 [6.4-12.5],Central America,9.2
Male,1983,5.2 [2.5-9.4],Central America,5.2
Female,1983,12.9 [8.2-18.6],Central America,12.9
Both sexes,1984,9.5 [6.7-12.8],Central America,9.5
Male,1984,5.5 [2.7-9.7],Central America,5.5
Female,1984,13.2 [8.6-18.9],Central America,13.2
Both sexes,1985,9.8 [7.0-13.1],Central America,9.8
Male,1985,5.7 [2.9-10.0],Central America,5.7
Female,1985,13.6 [9.0-19.2],Central America,13.6
Both sexes,1986,10.1 [7.3-13.5],Central America,10.1
Male,1986,6.0 [3.0-10.3],Central America,6.0
Female,1986,14.0 [9.3-19.5],Central America,14.0
Both sexes,1987,10.5 [7.6-13.8],Central America,10.5
Male,1987,6.2 [3.2-10.6],Central America,6.2
Female,1987,14.4 [9.7-19.8],Central America,14.4
Both sexes,1988,10.8 [7.9-14.1],Central America,10.8
Male,1988,6.5 [3.4-10.9],Central America,6.5
Female,1988,14.8 [10.1-20.2],Central America,14.8
Both sexes,1989,11.1 [8.2-14.5],Central America,11.1
Male,1989,6.8 [3.6-11.3],Central America,6.8
Female,1989,15.2 [10.5-20.6],Central America,15.2
Both sexes,1990,11.5 [8.5-14.9],Central America,11.5
Male,1990,7.1 [3.8-11.6],Central America,7.1
Female,1990,15.7 [10.9-21.0],Central America,15.7
Both sexes,1991,11.9 [8.9-15.2],Central America,11.9
Male,1991,7.4 [4.0-12.0],Central America,7.4
Female,1991,16.1 [11.3-21.4],Central America,16.1
Both sexes,1992,12.3 [9.2-15.6],Central America,12.3
Male,1992,7.7 [4.2-12.3],Central America,7.7
Female,1992,16.5 [11.8-21.8],Central America,16.5
Both sexes,1993,12.6 [9.6-16.1],Central America,12.6
Male,1993,8.0 [4.4-12.8],Central America,8.0
Female,1993,17.0 [12.2-22.2],Central America,17.0
Both sexes,1994,13.0 [10.0-16.5],Central America,13.0
Male,1994,8.4 [4.7-13.1],Central America,8.4
Female,1994,17.4 [12.7-22.7],Central America,17.4
Both sexes,1995,13.4 [10.3-16.9],Central America,13.4
Male,1995,8.7 [5.0-13.6],Central America,8.7
Female,1995,17.9 [13.1-23.1],Central America,17.9
Both sexes,1996,13.8 [10.7-17.3],Central America,13.8
Male,1996,9.0 [5.2-14.0],Central America,9.0
Female,1996,18.4 [13.6-23.6],Central America,18.4
Both sexes,1997,14.3 [11.1-17.8],Central America,14.3
Male,1997,9.4 [5.5-14.4],Central America,9.4
Female,1997,18.8 [14.1-24.1],Central America,18.8
Both sexes,1998,14.7 [11.5-18.2],Central America,14.7
Male,1998,9.8 [5.8-14.7],Central America,9.8
Female,1998,19.3 [14.5-24.6],Central America,19.3
Both sexes,1999,15.1 [11.9-18.7],Central America,15.1
Male,1999,10.1 [6.1-15.2],Central America,10.1
Female,1999,19.8 [15.0-25.1],Central America,19.8
Both sexes,2000,15.6 [12.3-19.2],Central America,15.6
Male,2000,10.5 [6.4-15.6],Central America,10.5
Female,2000,20.3 [15.5-25.6],Central America,20.3
Both sexes,2001,16.0 [12.7-19.7],Central America,16.0
Male,2001,10.9 [6.8-16.0],Central America,10.9
Female,2001,20.8 [16.0-26.1],Central America,20.8
Both sexes,2002,16.5 [13.1-20.1],Central America,16.5
Male,2002,11.3 [7.1-16.5],Central America,11.3
Female,2002,21.3 [16.5-26.6],Central America,21.3
Both sexes,2003,16.9 [13.5-20.6],Central America,16.9
Male,2003,11.7 [7.4-17.0],Central America,11.7
Female,2003,21.8 [17.0-27.2],Central America,21.8
Both sexes,2004,17.4 [14.0-21.0],Central America,17.4
Male,2004,12.1 [7.7-17.5],Central America,12.1
Female,2004,22.3 [17.5-27.7],Central America,22.3
Both sexes,2005,17.9 [14.4-21.5],Central America,17.9
Male,2005,12.6 [8.1-17.9],Central America,12.6
Female,2005,22.9 [17.9-28.2],Central America,22.9
Both sexes,2006,18.4 [14.8-22.1],Central America,18.4
Male,2006,13.0 [8.4-18.5],Central America,13.0
Female,2006,23.4 [18.4-28.8],Central America,23.4
Both sexes,2007,18.9 [15.3-22.7],Central America,18.9
Male,2007,13.4 [8.7-19.1],Central America,13.4
Female,2007,23.9 [18.8-29.4],Central America,23.9
Both sexes,2008,19.4 [15.8-23.2],Central America,19.4
Male,2008,13.9 [9.0-19.6],Central America,13.9
Female,2008,24.5 [19.3-30.0],Central America,24.5
Both sexes,2009,19.9 [16.2-23.8],Central America,19.9
Male,2009,14.3 [9.4-20.1],Central America,14.3
Female,2009,25.0 [19.7-30.7],Central America,25.0
Both sexes,2010,20.4 [16.6-24.4],Central America,20.4
Male,2010,14.8 [9.7-20.7],Central America,14.8
Female,2010,25.6 [20.2-31.4],Central America,25.6
Both sexes,2011,20.9 [17.0-25.0],Central America,20.9
Male,2011,15.3 [10.0-21.4],Central America,15.3
Female,2011,26.1 [20.6-32.1],Central America,26.1
Both sexes,2012,21.5 [17.4-25.7],Central America,21.5
Male,2012,15.8 [10.3-22.1],Central America,15.8
Female,2012,26.7 [21.0-32.9],Central America,26.7
Both sexes,2013,22.0 [17.8-26.4],Central America,22.0
Male,2013,16.3 [10.6-22.7],Central America,16.3
Female,2013,27.2 [21.3-33.6],Central America,27.2
Both sexes,2014,22.5 [18.1-27.1],Central America,22.5
Male,2014,16.8 [10.9-23.6],Central America,16.8
Female,2014,27.8 [21.6-34.4],Central America,27.8
Both sexes,2015,23.1 [18.5-27.9],Central America,23.1
Male,2015,17.4 [11.2-24.5],Central America,17.4
Female,2015,28.4 [21.9-35.1],Central America,28.4
Both sexes,2016,23.7 [18.9-28.6],Central America,23.7
Male,2016,17.9 [11.6-25.3],Central America,17.9
Female,2016,29.0 [22.2-36.1],Central America,29.0
