Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.9 [0.4-1.7],West Africa,0.9
Male,1975,0.3 [0.1-0.8],West Africa,0.3
Female,1975,1.5 [0.6-3.0],West Africa,1.5
Both sexes,1976,0.9 [0.4-1.7],West Africa,0.9
Male,1976,0.3 [0.1-0.8],West Africa,0.3
Female,1976,1.5 [0.6-3.1],West Africa,1.5
Both sexes,1977,1.0 [0.5-1.8],West Africa,1.0
Male,1977,0.3 [0.1-0.8],West Africa,0.3
Female,1977,1.6 [0.7-3.1],West Africa,1.6
Both sexes,1978,1.1 [0.5-1.8],West Africa,1.1
Male,1978,0.3 [0.1-0.8],West Africa,0.3
Female,1978,1.7 [0.8-3.2],West Africa,1.7
Both sexes,1979,1.1 [0.6-1.9],West Africa,1.1
Male,1979,0.4 [0.1-0.9],West Africa,0.4
Female,1979,1.8 [0.9-3.3],West Africa,1.8
Both sexes,1980,1.2 [0.6-2.0],West Africa,1.2
Male,1980,0.4 [0.1-0.9],West Africa,0.4
Female,1980,1.9 [0.9-3.4],West Africa,1.9
Both sexes,1981,1.3 [0.7-2.0],West Africa,1.3
Male,1981,0.4 [0.2-0.9],West Africa,0.4
Female,1981,2.0 [1.0-3.6],West Africa,2.0
Both sexes,1982,1.3 [0.8-2.1],West Africa,1.3
Male,1982,0.5 [0.2-1.0],West Africa,0.5
Female,1982,2.2 [1.1-3.7],West Africa,2.2
Both sexes,1983,1.4 [0.8-2.2],West Africa,1.4
Male,1983,0.5 [0.2-1.0],West Africa,0.5
Female,1983,2.3 [1.2-3.8],West Africa,2.3
Both sexes,1984,1.5 [0.9-2.3],West Africa,1.5
Male,1984,0.5 [0.2-1.1],West Africa,0.5
Female,1984,2.5 [1.4-4.0],West Africa,2.5
Both sexes,1985,1.6 [1.0-2.4],West Africa,1.6
Male,1985,0.6 [0.3-1.1],West Africa,0.6
Female,1985,2.6 [1.5-4.1],West Africa,2.6
Both sexes,1986,1.7 [1.1-2.6],West Africa,1.7
Male,1986,0.6 [0.3-1.2],West Africa,0.6
Female,1986,2.8 [1.6-4.3],West Africa,2.8
Both sexes,1987,1.8 [1.2-2.7],West Africa,1.8
Male,1987,0.7 [0.3-1.3],West Africa,0.7
Female,1987,3.0 [1.8-4.5],West Africa,3.0
Both sexes,1988,2.0 [1.3-2.8],West Africa,2.0
Male,1988,0.7 [0.4-1.4],West Africa,0.7
Female,1988,3.2 [1.9-4.8],West Africa,3.2
Both sexes,1989,2.1 [1.4-3.0],West Africa,2.1
Male,1989,0.8 [0.4-1.4],West Africa,0.8
Female,1989,3.4 [2.1-5.0],West Africa,3.4
Both sexes,1990,2.2 [1.5-3.1],West Africa,2.2
Male,1990,0.9 [0.4-1.5],West Africa,0.9
Female,1990,3.6 [2.3-5.3],West Africa,3.6
Both sexes,1991,2.4 [1.6-3.3],West Africa,2.4
Male,1991,0.9 [0.5-1.6],West Africa,0.9
Female,1991,3.8 [2.4-5.5],West Africa,3.8
Both sexes,1992,2.5 [1.8-3.5],West Africa,2.5
Male,1992,1.0 [0.5-1.7],West Africa,1.0
Female,1992,4.0 [2.6-5.8],West Africa,4.0
Both sexes,1993,2.7 [1.9-3.6],West Africa,2.7
Male,1993,1.1 [0.6-1.8],West Africa,1.1
Female,1993,4.3 [2.8-6.1],West Africa,4.3
Both sexes,1994,2.9 [2.0-3.8],West Africa,2.9
Male,1994,1.2 [0.6-1.9],West Africa,1.2
Female,1994,4.5 [3.0-6.4],West Africa,4.5
Both sexes,1995,3.0 [2.2-4.0],West Africa,3.0
Male,1995,1.2 [0.7-2.1],West Africa,1.2
Female,1995,4.8 [3.2-6.7],West Africa,4.8
Both sexes,1996,3.2 [2.3-4.2],West Africa,3.2
Male,1996,1.3 [0.8-2.2],West Africa,1.3
Female,1996,5.0 [3.4-7.0],West Africa,5.0
Both sexes,1997,3.4 [2.5-4.4],West Africa,3.4
Male,1997,1.4 [0.8-2.3],West Africa,1.4
Female,1997,5.3 [3.7-7.3],West Africa,5.3
Both sexes,1998,3.6 [2.6-4.7],West Africa,3.6
Male,1998,1.5 [0.9-2.4],West Africa,1.5
Female,1998,5.6 [3.9-7.6],West Africa,5.6
Both sexes,1999,3.8 [2.8-4.9],West Africa,3.8
Male,1999,1.6 [1.0-2.6],West Africa,1.6
