Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.4 [5.7-9.4],Northern Europe,7.4
Male,1975,5.6 [3.6-8.2],Northern Europe,5.6
Female,1975,9.1 [6.4-12.2],Northern Europe,9.1
Both sexes,1976,7.7 [6.0-9.7],Northern Europe,7.7
Male,1976,5.9 [4.0-8.4],Northern Europe,5.9
Female,1976,9.4 [6.7-12.4],Northern Europe,9.4
Both sexes,1977,8.0 [6.3-9.9],Northern Europe,8.0
Male,1977,6.2 [4.3-8.7],Northern Europe,6.2
Female,1977,9.6 [7.1-12.6],Northern Europe,9.6
Both sexes,1978,8.3 [6.6-10.2],Northern Europe,8.3
Male,1978,6.5 [4.5-9.1],Northern Europe,6.5
Female,1978,9.9 [7.4-12.9],Northern Europe,9.9
Both sexes,1979,8.6 [6.9-10.5],Northern Europe,8.6
Male,1979,6.8 [4.8-9.3],Northern Europe,6.8
Female,1979,10.2 [7.7-13.1],Northern Europe,10.2
Both sexes,1980,8.9 [7.2-10.8],Northern Europe,8.9
Male,1980,7.2 [5.1-9.7],Northern Europe,7.2
Female,1980,10.5 [8.0-13.4],Northern Europe,10.5
Both sexes,1981,9.2 [7.5-11.1],Northern Europe,9.2
Male,1981,7.5 [5.4-10.0],Northern Europe,7.5
Female,1981,10.8 [8.3-13.6],Northern Europe,10.8
Both sexes,1982,9.5 [7.8-11.4],Northern Europe,9.5
Male,1982,7.8 [5.6-10.4],Northern Europe,7.8
Female,1982,11.0 [8.5-13.9],Northern Europe,11.0
Both sexes,1983,9.8 [8.0-11.7],Northern Europe,9.8
Male,1983,8.1 [5.9-10.7],Northern Europe,8.1
Female,1983,11.3 [8.8-14.2],Northern Europe,11.3
Both sexes,1984,10.1 [8.3-12.1],Northern Europe,10.1
Male,1984,8.4 [6.2-11.1],Northern Europe,8.4
Female,1984,11.6 [9.0-14.5],Northern Europe,11.6
Both sexes,1985,10.4 [8.5-12.4],Northern Europe,10.4
Male,1985,8.8 [6.4-11.5],Northern Europe,8.8
Female,1985,11.8 [9.2-14.7],Northern Europe,11.8
Both sexes,1986,10.7 [8.8-12.7],Northern Europe,10.7
Male,1986,9.1 [6.7-11.9],Northern Europe,9.1
Female,1986,12.1 [9.5-15.0],Northern Europe,12.1
Both sexes,1987,11.0 [9.1-13.1],Northern Europe,11.0
Male,1987,9.5 [6.9-12.3],Northern Europe,9.5
Female,1987,12.4 [9.7-15.3],Northern Europe,12.4
Both sexes,1988,11.3 [9.4-13.4],Northern Europe,11.3
Male,1988,9.8 [7.2-12.7],Northern Europe,9.8
Female,1988,12.6 [9.9-15.6],Northern Europe,12.6
Both sexes,1989,11.6 [9.6-13.8],Northern Europe,11.6
Male,1989,10.2 [7.5-13.2],Northern Europe,10.2
Female,1989,12.9 [10.2-15.9],Northern Europe,12.9
Both sexes,1990,11.9 [9.9-14.1],Northern Europe,11.9
Male,1990,10.5 [7.8-13.6],Northern Europe,10.5
Female,1990,13.2 [10.4-16.3],Northern Europe,13.2
Both sexes,1991,12.3 [10.2-14.5],Northern Europe,12.3
Male,1991,10.9 [8.2-14.0],Northern Europe,10.9
Female,1991,13.5 [10.7-16.6],Northern Europe,13.5
Both sexes,1992,12.6 [10.6-14.9],Northern Europe,12.6
Male,1992,11.3 [8.5-14.5],Northern Europe,11.3
Female,1992,13.8 [10.9-17.0],Northern Europe,13.8
Both sexes,1993,13.0 [10.9-15.3],Northern Europe,13.0
Male,1993,11.7 [8.8-14.9],Northern Europe,11.7
Female,1993,14.2 [11.2-17.4],Northern Europe,14.2
Both sexes,1994,13.4 [11.3-15.8],Northern Europe,13.4
Male,1994,12.2 [9.2-15.4],Northern Europe,12.2
Female,1994,14.5 [11.5-17.8],Northern Europe,14.5
Both sexes,1995,13.8 [11.7-16.2],Northern Europe,13.8
Male,1995,12.6 [9.6-15.9],Northern Europe,12.6
Female,1995,14.9 [11.9-18.1],Northern Europe,14.9
Both sexes,1996,14.2 [12.0-16.6],Northern Europe,14.2
Male,1996,13.1 [10.0-16.4],Northern Europe,13.1
Female,1996,15.2 [12.2-18.5],Northern Europe,15.2
Both sexes,1997,14.6 [12.4-17.1],Northern Europe,14.6
