Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.1 [2.8-8.4],Middle East,5.1
Male,1975,2.3 [0.8-5.0],Middle East,2.3
Female,1975,7.5 [3.5-13.4],Middle East,7.5
Both sexes,1976,5.4 [3.1-8.7],Middle East,5.4
Male,1976,2.5 [1.0-5.2],Middle East,2.5
Female,1976,8.1 [4.0-13.9],Middle East,8.1
Both sexes,1977,5.8 [3.4-9.0],Middle East,5.8
Male,1977,2.8 [1.1-5.5],Middle East,2.8
Female,1977,8.6 [4.5-14.4],Middle East,8.6
Both sexes,1978,6.2 [3.8-9.3],Middle East,6.2
Male,1978,3.0 [1.3-5.8],Middle East,3.0
Female,1978,9.2 [5.0-14.9],Middle East,9.2
Both sexes,1979,6.6 [4.2-9.7],Middle East,6.6
Male,1979,3.3 [1.5-6.1],Middle East,3.3
Female,1979,9.9 [5.6-15.5],Middle East,9.9
Both sexes,1980,7.1 [4.6-10.1],Middle East,7.1
Male,1980,3.6 [1.7-6.5],Middle East,3.6
Female,1980,10.5 [6.2-16.1],Middle East,10.5
Both sexes,1981,7.5 [5.1-10.5],Middle East,7.5
Male,1981,3.9 [2.0-6.8],Middle East,3.9
Female,1981,11.2 [6.8-16.8],Middle East,11.2
Both sexes,1982,8.0 [5.5-11.0],Middle East,8.0
Male,1982,4.3 [2.2-7.2],Middle East,4.3
Female,1982,11.9 [7.4-17.4],Middle East,11.9
Both sexes,1983,8.5 [6.0-11.5],Middle East,8.5
Male,1983,4.7 [2.5-7.7],Middle East,4.7
Female,1983,12.6 [8.1-18.1],Middle East,12.6
Both sexes,1984,9.0 [6.5-12.0],Middle East,9.0
Male,1984,5.1 [2.8-8.1],Middle East,5.1
Female,1984,13.4 [8.9-18.9],Middle East,13.4
Both sexes,1985,9.6 [7.0-12.6],Middle East,9.6
Male,1985,5.5 [3.1-8.7],Middle East,5.5
Female,1985,14.1 [9.6-19.6],Middle East,14.1
Both sexes,1986,10.1 [7.5-13.1],Middle East,10.1
Male,1986,6.0 [3.5-9.2],Middle East,6.0
Female,1986,14.9 [10.3-20.4],Middle East,14.9
Both sexes,1987,10.7 [8.1-13.7],Middle East,10.7
Male,1987,6.4 [3.9-9.7],Middle East,6.4
Female,1987,15.7 [11.0-21.2],Middle East,15.7
Both sexes,1988,11.3 [8.6-14.2],Middle East,11.3
Male,1988,6.9 [4.3-10.3],Middle East,6.9
Female,1988,16.5 [11.8-22.0],Middle East,16.5
Both sexes,1989,11.8 [9.1-14.8],Middle East,11.8
Male,1989,7.5 [4.7-10.9],Middle East,7.5
Female,1989,17.4 [12.6-22.8],Middle East,17.4
Both sexes,1990,12.4 [9.7-15.4],Middle East,12.4
Male,1990,8.0 [5.1-11.5],Middle East,8.0
Female,1990,18.2 [13.3-23.6],Middle East,18.2
Both sexes,1991,12.9 [10.1-15.9],Middle East,12.9
Male,1991,8.6 [5.6-12.2],Middle East,8.6
Female,1991,19.0 [14.1-24.4],Middle East,19.0
Both sexes,1992,13.3 [10.5-16.4],Middle East,13.3
Male,1992,9.1 [6.1-12.8],Middle East,9.1
Female,1992,19.8 [14.8-25.2],Middle East,19.8
Both sexes,1993,13.8 [11.0-16.8],Middle East,13.8
Male,1993,9.7 [6.5-13.5],Middle East,9.7
Female,1993,20.5 [15.6-25.9],Middle East,20.5
Both sexes,1994,14.3 [11.5-17.4],Middle East,14.3
Male,1994,10.3 [7.0-14.2],Middle East,10.3
Female,1994,21.2 [16.2-26.6],Middle East,21.2
Both sexes,1995,14.9 [12.0-18.0],Middle East,14.9
Male,1995,10.9 [7.4-14.8],Middle East,10.9
Female,1995,22.0 [16.9-27.3],Middle East,22.0
Both sexes,1996,15.5 [12.6-18.6],Middle East,15.5
Male,1996,11.4 [7.9-15.4],Middle East,11.4
Female,1996,22.6 [17.6-28.0],Middle East,22.6
Both sexes,1997,16.2 [13.2-19.4],Middle East,16.2
Male,1997,11.9 [8.3-16.0],Middle East,11.9
Female,1997,23.2 [18.1-28.5],Middle East,23.2
Both sexes,1998,16.8 [13.8-20.0],Middle East,16.8
Male,1998,12.4 [8.7-16.6],Middle East,12.4
Female,1998,23.7 [18.6-29.1],Middle East,23.7
Both sexes,1999,17.5 [14.4-20.7],Middle East,17.5
Male,1999,12.9 [9.1-17.1],Middle East,12.9
Female,1999,24.3 [19.1-29.6],Middle East,24.3
Both sexes,2000,18.0 [14.9-21.3],Middle East,18.0
