Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,28.3 [21.3-35.7],Oceania,28.3
Male,1975,21.7 [12.9-32.5],Oceania,21.7
Female,1975,35.4 [24.9-46.5],Oceania,35.4
Both sexes,1976,28.9 [22.1-36.1],Oceania,28.9
Male,1976,22.3 [13.6-32.7],Oceania,22.3
Female,1976,36.0 [25.7-46.8],Oceania,36.0
Both sexes,1977,29.6 [22.8-36.4],Oceania,29.6
Male,1977,22.9 [14.3-33.1],Oceania,22.9
Female,1977,36.6 [26.6-47.0],Oceania,36.6
Both sexes,1978,30.2 [23.6-36.9],Oceania,30.2
Male,1978,23.5 [15.0-33.4],Oceania,23.5
Female,1978,37.2 [27.4-47.4],Oceania,37.2
Both sexes,1979,30.8 [24.3-37.4],Oceania,30.8
Male,1979,24.1 [15.7-33.8],Oceania,24.1
Female,1979,37.9 [28.2-47.8],Oceania,37.9
Both sexes,1980,31.5 [25.1-37.9],Oceania,31.5
Male,1980,24.7 [16.4-34.3],Oceania,24.7
Female,1980,38.5 [29.0-48.2],Oceania,38.5
Both sexes,1981,32.1 [25.9-38.4],Oceania,32.1
Male,1981,25.3 [17.0-34.7],Oceania,25.3
Female,1981,39.1 [29.8-48.6],Oceania,39.1
Both sexes,1982,32.8 [26.6-39.1],Oceania,32.8
Male,1982,26.1 [17.7-35.2],Oceania,26.1
Female,1982,39.8 [30.6-49.0],Oceania,39.8
Both sexes,1983,33.5 [27.4-39.7],Oceania,33.5
Male,1983,26.8 [18.5-35.8],Oceania,26.8
Female,1983,40.5 [31.4-49.6],Oceania,40.5
Both sexes,1984,34.3 [28.2-40.3],Oceania,34.3
Male,1984,27.6 [19.4-36.5],Oceania,27.6
Female,1984,41.3 [32.2-50.2],Oceania,41.3
Both sexes,1985,35.1 [29.0-41.1],Oceania,35.1
Male,1985,28.4 [20.2-37.4],Oceania,28.4
Female,1985,42.1 [33.1-50.9],Oceania,42.1
Both sexes,1986,35.8 [29.8-41.9],Oceania,35.8
