Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.0 [3.4-9.5],Central America,6.0
Male,1975,3.2 [1.1-6.7],Central America,3.2
Female,1975,8.9 [4.3-15.1],Central America,8.9
Both sexes,1976,6.2 [3.6-9.6],Central America,6.2
Male,1976,3.3 [1.2-6.8],Central America,3.3
Female,1976,9.2 [4.6-15.3],Central America,9.2
Both sexes,1977,6.4 [3.8-9.8],Central America,6.4
Male,1977,3.5 [1.4-7.0],Central America,3.5
Female,1977,9.5 [4.9-15.5],Central America,9.5
Both sexes,1978,6.7 [4.1-10.0],Central America,6.7
Male,1978,3.7 [1.5-7.1],Central America,3.7
Female,1978,9.7 [5.1-15.8],Central America,9.7
Both sexes,1979,6.9 [4.3-10.2],Central America,6.9
Male,1979,3.8 [1.7-7.3],Central America,3.8
Female,1979,10.0 [5.4-16.1],Central America,10.0
Both sexes,1980,7.1 [4.5-10.5],Central America,7.1
Male,1980,4.0 [1.8-7.5],Central America,4.0
Female,1980,10.4 [5.7-16.3],Central America,10.4
Both sexes,1981,7.4 [4.8-10.7],Central America,7.4
Male,1981,4.2 [1.9-7.8],Central America,4.2
Female,1981,10.7 [6.0-16.6],Central America,10.7
Both sexes,1982,7.7 [5.0-11.0],Central America,7.7
Male,1982,4.4 [2.1-8.0],Central America,4.4
Female,1982,11.0 [6.3-16.9],Central America,11.0
Both sexes,1983,7.9 [5.3-11.3],Central America,7.9
Male,1983,4.6 [2.2-8.3],Central America,4.6
Female,1983,11.3 [6.7-17.2],Central America,11.3
Both sexes,1984,8.2 [5.5-11.6],Central America,8.2
Male,1984,4.8 [2.4-8.5],Central America,4.8
Female,1984,11.7 [7.0-17.5],Central America,11.7
Both sexes,1985,8.5 [5.8-11.9],Central America,8.5
Male,1985,5.1 [2.6-8.8],Central America,5.1
Female,1985,12.0 [7.4-17.8],Central America,12.0
Both sexes,1986,8.8 [6.1-12.2],Central America,8.8
Male,1986,5.3 [2.8-9.1],Central America,5.3
Female,1986,12.4 [7.7-18.2],Central America,12.4
Both sexes,1987,9.2 [6.4-12.5],Central America,9.2
Male,1987,5.6 [2.9-9.4],Central America,5.6
Female,1987,12.8 [8.1-18.6],Central America,12.8
Both sexes,1988,9.5 [6.7-12.8],Central America,9.5
Male,1988,5.8 [3.1-9.7],Central America,5.8
Female,1988,13.2 [8.4-18.9],Central America,13.2
Both sexes,1989,9.8 [7.0-13.2],Central America,9.8
Male,1989,6.1 [3.3-10.0],Central America,6.1
Female,1989,13.6 [8.8-19.3],Central America,13.6
Both sexes,1990,10.2 [7.3-13.6],Central America,10.2
Male,1990,6.4 [3.5-10.4],Central America,6.4
Female,1990,14.0 [9.1-19.7],Central America,14.0
Both sexes,1991,10.5 [7.6-13.9],Central America,10.5
Male,1991,6.7 [3.8-10.7],Central America,6.7
Female,1991,14.4 [9.5-20.1],Central America,14.4
