Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.0 [2.3-9.2],Oceania,5.0
Male,1975,3.2 [0.8-8.2],Oceania,3.2
Female,1975,6.9 [2.5-13.7],Oceania,6.9
Both sexes,1976,5.3 [2.5-9.4],Oceania,5.3
Male,1976,3.4 [0.9-8.4],Oceania,3.4
Female,1976,7.2 [2.7-14.0],Oceania,7.2
Both sexes,1977,5.5 [2.7-9.6],Oceania,5.5
Male,1977,3.6 [1.0-8.5],Oceania,3.6
Female,1977,7.5 [3.0-14.3],Oceania,7.5
Both sexes,1978,5.8 [3.0-9.8],Oceania,5.8
Male,1978,3.7 [1.1-8.7],Oceania,3.7
Female,1978,7.9 [3.3-14.6],Oceania,7.9
Both sexes,1979,6.0 [3.2-10.1],Oceania,6.0
Male,1979,3.9 [1.2-8.9],Oceania,3.9
Female,1979,8.2 [3.5-14.9],Oceania,8.2
Both sexes,1980,6.3 [3.4-10.4],Oceania,6.3
Male,1980,4.1 [1.3-9.0],Oceania,4.1
Female,1980,8.5 [3.8-15.3],Oceania,8.5
Both sexes,1981,6.6 [3.7-10.6],Oceania,6.6
Male,1981,4.3 [1.4-9.2],Oceania,4.3
Female,1981,8.9 [4.1-15.7],Oceania,8.9
Both sexes,1982,6.9 [3.9-10.9],Oceania,6.9
Male,1982,4.5 [1.6-9.4],Oceania,4.5
Female,1982,9.3 [4.4-16.0],Oceania,9.3
Both sexes,1983,7.2 [4.1-11.2],Oceania,7.2
Male,1983,4.7 [1.7-9.7],Oceania,4.7
Female,1983,9.6 [4.7-16.4],Oceania,9.6
Both sexes,1984,7.5 [4.4-11.5],Oceania,7.5
Male,1984,4.9 [1.8-9.9],Oceania,4.9
Female,1984,10.0 [5.0-16.8],Oceania,10.0
Both sexes,1985,7.8 [4.6-11.9],Oceania,7.8
Male,1985,5.2 [2.0-10.2],Oceania,5.2
Female,1985,10.4 [5.3-17.3],Oceania,10.4
Both sexes,1986,8.1 [4.9-12.2],Oceania,8.1
Male,1986,5.4 [2.1-10.6],Oceania,5.4
Female,1986,10.8 [5.6-17.6],Oceania,10.8
Both sexes,1987,8.5 [5.2-12.5],Oceania,8.5
Male,1987,5.6 [2.3-10.8],Oceania,5.6
Female,1987,11.3 [5.9-18.1],Oceania,11.3
Both sexes,1988,8.8 [5.5-12.9],Oceania,8.8
Male,1988,5.9 [2.5-11.2],Oceania,5.9
Female,1988,11.7 [6.2-18.5],Oceania,11.7
Both sexes,1989,9.2 [5.8-13.3],Oceania,9.2
Male,1989,6.2 [2.7-11.5],Oceania,6.2
Female,1989,12.1 [6.7-19.0],Oceania,12.1
Both sexes,1990,9.6 [6.1-13.7],Oceania,9.6
Male,1990,6.5 [2.8-11.9],Oceania,6.5
Female,1990,12.6 [7.0-19.5],Oceania,12.6
Both sexes,1991,9.9 [6.4-14.1],Oceania,9.9
Male,1991,6.7 [3.0-12.2],Oceania,6.7
Female,1991,13.0 [7.4-19.9],Oceania,13.0
Both sexes,1992,10.3 [6.7-14.5],Oceania,10.3
Male,1992,7.0 [3.2-12.5],Oceania,7.0
Female,1992,13.5 [7.8-20.4],Oceania,13.5
