Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.2 [2.1-7.3],South America,4.2
Male,1975,2.6 [0.8-5.9],South America,2.6
Female,1975,5.6 [2.2-10.9],South America,5.6
Both sexes,1976,4.3 [2.2-7.4],South America,4.3
Male,1976,2.8 [0.9-6.1],South America,2.8
Female,1976,5.8 [2.4-11.1],South America,5.8
Both sexes,1977,4.5 [2.4-7.6],South America,4.5
Male,1977,2.9 [1.0-6.2],South America,2.9
Female,1977,6.0 [2.6-11.3],South America,6.0
Both sexes,1978,4.7 [2.5-7.7],South America,4.7
Male,1978,3.1 [1.1-6.3],South America,3.1
Female,1978,6.3 [2.8-11.5],South America,6.3
Both sexes,1979,4.9 [2.7-7.9],South America,4.9
Male,1979,3.2 [1.2-6.6],South America,3.2
Female,1979,6.5 [3.0-11.8],South America,6.5
Both sexes,1980,5.2 [2.9-8.2],South America,5.2
Male,1980,3.4 [1.3-6.9],South America,3.4
Female,1980,6.8 [3.2-12.0],South America,6.8
Both sexes,1981,5.4 [3.1-8.4],South America,5.4
Male,1981,3.6 [1.4-7.1],South America,3.6
Female,1981,7.1 [3.4-12.3],South America,7.1
Both sexes,1982,5.6 [3.3-8.7],South America,5.6
Male,1982,3.8 [1.5-7.4],South America,3.8
Female,1982,7.4 [3.6-12.6],South America,7.4
Both sexes,1983,5.9 [3.5-9.0],South America,5.9
Male,1983,4.0 [1.7-7.6],South America,4.0
Female,1983,7.7 [3.9-12.9],South America,7.7
Both sexes,1984,6.2 [3.8-9.3],South America,6.2
Male,1984,4.2 [1.8-7.9],South America,4.2
Female,1984,8.1 [4.1-13.4],South America,8.1
Both sexes,1985,6.5 [4.0-9.6],South America,6.5
Male,1985,4.5 [2.0-8.3],South America,4.5
Female,1985,8.4 [4.4-13.8],South America,8.4
Both sexes,1986,6.8 [4.2-10.0],South America,6.8
Male,1986,4.7 [2.1-8.6],South America,4.7
Female,1986,8.8 [4.7-14.2],South America,8.8
Both sexes,1987,7.1 [4.5-10.4],South America,7.1
Male,1987,5.0 [2.3-9.0],South America,5.0
Female,1987,9.1 [5.0-14.7],South America,9.1
Both sexes,1988,7.4 [4.8-10.7],South America,7.4
Male,1988,5.3 [2.4-9.4],South America,5.3
Female,1988,9.5 [5.3-15.2],South America,9.5
Both sexes,1989,7.8 [5.0-11.1],South America,7.8
Male,1989,5.6 [2.6-9.8],South America,5.6
Female,1989,9.9 [5.6-15.6],South America,9.9
Both sexes,1990,8.1 [5.3-11.5],South America,8.1
Male,1990,5.9 [2.8-10.3],South America,5.9
Female,1990,10.4 [5.9-16.1],South America,10.4
Both sexes,1991,8.5 [5.6-12.0],South America,8.5
Male,1991,6.2 [3.0-10.7],South America,6.2
Female,1991,10.8 [6.3-16.6],South America,10.8
Both sexes,1992,8.9 [5.9-12.4],South America,8.9
Male,1992,6.5 [3.2-11.2],South America,6.5
Female,1992,11.2 [6.6-17.1],South America,11.2
Both sexes,1993,9.3 [6.3-12.9],South America,9.3
Male,1993,6.9 [3.5-11.7],South America,6.9
Female,1993,11.7 [7.0-17.6],South America,11.7
Both sexes,1994,9.7 [6.6-13.3],South America,9.7
Male,1994,7.2 [3.7-12.1],South America,7.2
Female,1994,12.1 [7.4-18.1],South America,12.1
Both sexes,1995,10.1 [6.9-13.8],South America,10.1
Male,1995,7.6 [4.0-12.7],South America,7.6
Female,1995,12.6 [7.7-18.6],South America,12.6
Both sexes,1996,10.5 [7.3-14.2],South America,10.5
Male,1996,8.0 [4.2-13.2],South America,8.0
Female,1996,13.1 [8.1-19.1],South America,13.1
Both sexes,1997,11.0 [7.7-14.7],South America,11.0
Male,1997,8.4 [4.5-13.7],South America,8.4
Female,1997,13.6 [8.5-19.6],South America,13.6
Both sexes,1998,11.4 [8.1-15.2],South America,11.4
Male,1998,8.8 [4.7-14.2],South America,8.8
Female,1998,14.1 [8.9-20.2],South America,14.1
Both sexes,1999,11.9 [8.4-15.8],South America,11.9
Male,1999,9.2 [5.0-14.7],South America,9.2
Female,1999,14.6 [9.3-20.8],South America,14.6
Both sexes,2000,12.3 [8.8-16.3],South America,12.3
Male,2000,9.6 [5.3-15.3],South America,9.6
Female,2000,15.1 [9.7-21.4],South America,15.1
Both sexes,2001,12.8 [9.2-16.8],South America,12.8
Male,2001,10.0 [5.6-15.8],South America,10.0
Female,2001,15.6 [10.1-21.9],South America,15.6
Both sexes,2002,13.3 [9.6-17.3],South America,13.3
Male,2002,10.5 [6.0-16.4],South America,10.5
Female,2002,16.1 [10.5-22.5],South America,16.1
Both sexes,2003,13.8 [10.0-17.9],South America,13.8
Male,2003,10.9 [6.3-16.9],South America,10.9
Female,2003,16.6 [11.0-23.0],South America,16.6
Both sexes,2004,14.2 [10.4-18.5],South America,14.2
Male,2004,11.3 [6.6-17.4],South America,11.3
Female,2004,17.1 [11.4-23.6],South America,17.1
Both sexes,2005,14.7 [10.8-19.0],South America,14.7
Male,2005,11.8 [7.0-18.0],South America,11.8
Female,2005,17.6 [11.8-24.2],South America,17.6
Both sexes,2006,15.2 [11.2-19.6],South America,15.2
Male,2006,12.3 [7.3-18.5],South America,12.3
