Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.3 [3.7-9.8],South America,6.3
Male,1975,3.2 [1.2-6.6],South America,3.2
Female,1975,9.3 [4.7-15.6],South America,9.3
Both sexes,1976,6.6 [3.9-9.9],South America,6.6
Male,1976,3.4 [1.4-6.7],South America,3.4
Female,1976,9.6 [5.1-15.7],South America,9.6
Both sexes,1977,6.8 [4.2-10.1],South America,6.8
Male,1977,3.5 [1.5-6.9],South America,3.5
Female,1977,10.0 [5.4-16.0],South America,10.0
Both sexes,1978,7.1 [4.5-10.3],South America,7.1
Male,1978,3.7 [1.7-7.1],South America,3.7
Female,1978,10.3 [5.8-16.2],South America,10.3
Both sexes,1979,7.3 [4.7-10.5],South America,7.3
Male,1979,3.9 [1.8-7.2],South America,3.9
Female,1979,10.6 [6.1-16.5],South America,10.6
Both sexes,1980,7.6 [5.0-10.8],South America,7.6
Male,1980,4.1 [2.0-7.4],South America,4.1
Female,1980,10.9 [6.5-16.6],South America,10.9
Both sexes,1981,7.9 [5.3-11.0],South America,7.9
Male,1981,4.3 [2.1-7.6],South America,4.3
Female,1981,11.3 [6.8-16.9],South America,11.3
Both sexes,1982,8.1 [5.6-11.2],South America,8.1
Male,1982,4.5 [2.3-7.8],South America,4.5
Female,1982,11.6 [7.2-17.1],South America,11.6
Both sexes,1983,8.4 [5.8-11.5],South America,8.4
Male,1983,4.8 [2.4-8.0],South America,4.8
Female,1983,11.9 [7.6-17.3],South America,11.9
Both sexes,1984,8.7 [6.1-11.7],South America,8.7
Male,1984,5.0 [2.6-8.3],South America,5.0
Female,1984,12.2 [7.9-17.6],South America,12.2
Both sexes,1985,9.0 [6.4-11.9],South America,9.0
Male,1985,5.2 [2.8-8.6],South America,5.2
Female,1985,12.5 [8.3-17.8],South America,12.5
Both sexes,1986,9.2 [6.6-12.2],South America,9.2
Male,1986,5.4 [3.0-8.8],South America,5.4
Female,1986,12.9 [8.7-18.0],South America,12.9
Both sexes,1987,9.5 [6.9-12.5],South America,9.5
Male,1987,5.7 [3.1-9.1],South America,5.7
