Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.7 [0.3-1.3],Southeast Asia,0.7
Male,1975,0.4 [0.1-0.9],Southeast Asia,0.4
Female,1975,1.0 [0.4-2.0],Southeast Asia,1.0
Both sexes,1976,0.7 [0.4-1.3],Southeast Asia,0.7
Male,1976,0.4 [0.1-0.9],Southeast Asia,0.4
Female,1976,1.1 [0.5-2.1],Southeast Asia,1.1
Both sexes,1977,0.8 [0.4-1.3],Southeast Asia,0.8
Male,1977,0.4 [0.1-1.0],Southeast Asia,0.4
Female,1977,1.1 [0.5-2.1],Southeast Asia,1.1
Both sexes,1978,0.8 [0.5-1.4],Southeast Asia,0.8
Male,1978,0.4 [0.1-1.0],Southeast Asia,0.4
Female,1978,1.2 [0.6-2.2],Southeast Asia,1.2
Both sexes,1979,0.9 [0.5-1.4],Southeast Asia,0.9
Male,1979,0.5 [0.2-1.0],Southeast Asia,0.5
Female,1979,1.3 [0.6-2.3],Southeast Asia,1.3
Both sexes,1980,0.9 [0.5-1.5],Southeast Asia,0.9
Male,1980,0.5 [0.2-1.1],Southeast Asia,0.5
Female,1980,1.3 [0.7-2.3],Southeast Asia,1.3
Both sexes,1981,1.0 [0.6-1.6],Southeast Asia,1.0
Male,1981,0.5 [0.2-1.1],Southeast Asia,0.5
Female,1981,1.4 [0.7-2.4],Southeast Asia,1.4
Both sexes,1982,1.1 [0.7-1.6],Southeast Asia,1.1
Male,1982,0.6 [0.2-1.2],Southeast Asia,0.6
Female,1982,1.5 [0.8-2.5],Southeast Asia,1.5
Both sexes,1983,1.1 [0.7-1.7],Southeast Asia,1.1
Male,1983,0.6 [0.3-1.3],Southeast Asia,0.6
Female,1983,1.6 [0.9-2.6],Southeast Asia,1.6
Both sexes,1984,1.2 [0.8-1.8],Southeast Asia,1.2
Male,1984,0.7 [0.3-1.3],Southeast Asia,0.7
Female,1984,1.7 [1.0-2.7],Southeast Asia,1.7
Both sexes,1985,1.3 [0.9-2.0],Southeast Asia,1.3
Male,1985,0.8 [0.3-1.4],Southeast Asia,0.8
Female,1985,1.8 [1.1-2.9],Southeast Asia,1.8
Both sexes,1986,1.4 [0.9-2.1],Southeast Asia,1.4
Male,1986,0.8 [0.4-1.6],Southeast Asia,0.8
Female,1986,2.0 [1.2-3.0],Southeast Asia,2.0
Both sexes,1987,1.5 [1.0-2.2],Southeast Asia,1.5
Male,1987,0.9 [0.4-1.7],Southeast Asia,0.9
Female,1987,2.1 [1.3-3.2],Southeast Asia,2.1
Both sexes,1988,1.7 [1.1-2.4],Southeast Asia,1.7
Male,1988,1.0 [0.5-1.8],Southeast Asia,1.0
Female,1988,2.3 [1.4-3.4],Southeast Asia,2.3
Both sexes,1989,1.8 [1.2-2.5],Southeast Asia,1.8
Male,1989,1.1 [0.5-2.0],Southeast Asia,1.1
Female,1989,2.5 [1.6-3.6],Southeast Asia,2.5
Both sexes,1990,1.9 [1.3-2.7],Southeast Asia,1.9
Male,1990,1.2 [0.6-2.1],Southeast Asia,1.2
Female,1990,2.6 [1.7-3.9],Southeast Asia,2.6
Both sexes,1991,2.1 [1.5-2.9],Southeast Asia,2.1
Male,1991,1.3 [0.7-2.3],Southeast Asia,1.3
Female,1991,2.8 [1.8-4.1],Southeast Asia,2.8
Both sexes,1992,2.2 [1.6-3.0],Southeast Asia,2.2
Male,1992,1.4 [0.7-2.4],Southeast Asia,1.4
Female,1992,3.0 [1.9-4.3],Southeast Asia,3.0
Both sexes,1993,2.4 [1.7-3.2],Southeast Asia,2.4
Male,1993,1.5 [0.8-2.6],Southeast Asia,1.5
Female,1993,3.1 [2.1-4.5],Southeast Asia,3.1
Both sexes,1994,2.5 [1.8-3.4],Southeast Asia,2.5
Male,1994,1.6 [0.9-2.7],Southeast Asia,1.6
Female,1994,3.3 [2.2-4.7],Southeast Asia,3.3
Both sexes,1995,2.6 [1.9-3.5],Southeast Asia,2.6
Male,1995,1.7 [0.9-2.9],Southeast Asia,1.7
Female,1995,3.4 [2.3-4.9],Southeast Asia,3.4
Both sexes,1996,2.7 [2.0-3.7],Southeast Asia,2.7
Male,1996,1.8 [1.0-3.0],Southeast Asia,1.8
Female,1996,3.6 [2.4-5.1],Southeast Asia,3.6
Both sexes,1997,2.9 [2.1-3.8],Southeast Asia,2.9
Male,1997,1.9 [1.1-3.2],Southeast Asia,1.9
Female,1997,3.7 [2.6-5.2],Southeast Asia,3.7
Both sexes,1998,3.0 [2.2-4.0],Southeast Asia,3.0
Male,1998,2.1 [1.1-3.3],Southeast Asia,2.1
Female,1998,3.9 [2.7-5.4],Southeast Asia,3.9
Both sexes,1999,3.1 [2.3-4.2],Southeast Asia,3.1
Male,1999,2.2 [1.2-3.5],Southeast Asia,2.2
Female,1999,4.0 [2.8-5.6],Southeast Asia,4.0
Both sexes,2000,3.3 [2.4-4.3],Southeast Asia,3.3
Male,2000,2.3 [1.3-3.7],Southeast Asia,2.3
Female,2000,4.2 [2.9-5.8],Southeast Asia,4.2
Both sexes,2001,3.4 [2.6-4.5],Southeast Asia,3.4
Male,2001,2.4 [1.4-3.9],Southeast Asia,2.4
Female,2001,4.4 [3.0-6.0],Southeast Asia,4.4
Both sexes,2002,3.6 [2.7-4.7],Southeast Asia,3.6
Male,2002,2.6 [1.5-4.0],Southeast Asia,2.6
Female,2002,4.5 [3.2-6.2],Southeast Asia,4.5
Both sexes,2003,3.7 [2.8-4.9],Southeast Asia,3.7
Male,2003,2.7 [1.6-4.2],Southeast Asia,2.7
Female,2003,4.7 [3.3-6.4],Southeast Asia,4.7
Both sexes,2004,3.9 [2.9-5.0],Southeast Asia,3.9
Male,2004,2.8 [1.7-4.4],Southeast Asia,2.8
Female,2004,4.9 [3.4-6.6],Southeast Asia,4.9
Both sexes,2005,4.1 [3.1-5.2],Southeast Asia,4.1
Male,2005,3.0 [1.8-4.6],Southeast Asia,3.0
Female,2005,5.0 [3.5-6.9],Southeast Asia,5.0
Both sexes,2006,4.2 [3.2-5.5],Southeast Asia,4.2
Male,2006,3.1 [1.9-4.9],Southeast Asia,3.1
Female,2006,5.2 [3.6-7.1],Southeast Asia,5.2
Both sexes,2007,4.4 [3.3-5.7],Southeast Asia,4.4
Male,2007,3.3 [2.0-5.1],Southeast Asia,3.3
Female,2007,5.4 [3.8-7.4],Southeast Asia,5.4
Both sexes,2008,4.6 [3.5-5.9],Southeast Asia,4.6
Male,2008,3.5 [2.1-5.3],Southeast Asia,3.5
Female,2008,5.6 [3.9-7.7],Southeast Asia,5.6
Both sexes,2009,4.8 [3.6-6.2],Southeast Asia,4.8
Male,2009,3.7 [2.2-5.6],Southeast Asia,3.7
Female,2009,5.8 [4.0-8.0],Southeast Asia,5.8
Both sexes,2010,5.0 [3.8-6.5],Southeast Asia,5.0
Male,2010,3.8 [2.3-5.9],Southeast Asia,3.8
Female,2010,6.0 [4.1-8.3],Southeast Asia,6.0
Both sexes,2011,5.2 [3.9-6.8],Southeast Asia,5.2
Male,2011,4.0 [2.4-6.2],Southeast Asia,4.0
Female,2011,6.2 [4.3-8.7],Southeast Asia,6.2
Both sexes,2012,5.4 [4.0-7.1],Southeast Asia,5.4
Male,2012,4.3 [2.5-6.6],Southeast Asia,4.3
Female,2012,6.5 [4.4-9.1],Southeast Asia,6.5
Both sexes,2013,5.7 [4.2-7.4],Southeast Asia,5.7
Male,2013,4.5 [2.6-7.0],Southeast Asia,4.5
Female,2013,6.7 [4.5-9.5],Southeast Asia,6.7
Both sexes,2014,5.9 [4.3-7.8],Southeast Asia,5.9
Male,2014,4.7 [2.7-7.4],Southeast Asia,4.7
Female,2014,7.0 [4.6-9.9],Southeast Asia,7.0
Both sexes,2015,6.2 [4.5-8.2],Southeast Asia,6.2
Male,2015,5.0 [2.8-7.9],Southeast Asia,5.0
Female,2015,7.2 [4.7-10.4],Southeast Asia,7.2
Both sexes,2016,6.4 [4.6-8.7],Southeast Asia,6.4
Male,2016,5.2 [2.9-8.4],Southeast Asia,5.2
Female,2016,7.5 [4.8-11.0],Southeast Asia,7.5
