Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.7 [7.4-14.8],Eastern Europe,10.7
Male,1975,7.4 [4.0-12.2],Eastern Europe,7.4
Female,1975,13.3 [8.1-20.0],Eastern Europe,13.3
Both sexes,1976,10.9 [7.7-14.9],Eastern Europe,10.9
Male,1976,7.7 [4.4-12.3],Eastern Europe,7.7
Female,1976,13.5 [8.5-19.9],Eastern Europe,13.5
Both sexes,1977,11.2 [8.1-15.0],Eastern Europe,11.2
Male,1977,8.0 [4.7-12.4],Eastern Europe,8.0
Female,1977,13.8 [8.9-19.9],Eastern Europe,13.8
Both sexes,1978,11.5 [8.4-15.2],Eastern Europe,11.5
Male,1978,8.3 [5.0-12.5],Eastern Europe,8.3
Female,1978,14.0 [9.3-19.8],Eastern Europe,14.0
Both sexes,1979,11.8 [8.8-15.3],Eastern Europe,11.8
Male,1979,8.6 [5.4-12.7],Eastern Europe,8.6
Female,1979,14.3 [9.7-19.8],Eastern Europe,14.3
Both sexes,1980,12.1 [9.2-15.4],Eastern Europe,12.1
Male,1980,8.9 [5.7-12.9],Eastern Europe,8.9
Female,1980,14.6 [10.2-19.9],Eastern Europe,14.6
Both sexes,1981,12.4 [9.5-15.6],Eastern Europe,12.4
Male,1981,9.2 [6.1-13.1],Eastern Europe,9.2
Female,1981,14.9 [10.6-19.9],Eastern Europe,14.9
Both sexes,1982,12.6 [9.9-15.7],Eastern Europe,12.6
Male,1982,9.6 [6.5-13.4],Eastern Europe,9.6
Female,1982,15.1 [11.0-20.0],Eastern Europe,15.1
Both sexes,1983,12.9 [10.2-16.0],Eastern Europe,12.9
Male,1983,9.9 [6.8-13.6],Eastern Europe,9.9
Female,1983,15.4 [11.3-20.0],Eastern Europe,15.4
Both sexes,1984,13.2 [10.6-16.1],Eastern Europe,13.2
Male,1984,10.2 [7.2-13.9],Eastern Europe,10.2
Female,1984,15.6 [11.7-20.1],Eastern Europe,15.6
Both sexes,1985,13.5 [10.9-16.3],Eastern Europe,13.5
Male,1985,10.6 [7.6-14.1],Eastern Europe,10.6
Female,1985,15.8 [12.0-20.2],Eastern Europe,15.8
Both sexes,1986,13.8 [11.2-16.5],Eastern Europe,13.8
Male,1986,10.9 [7.9-14.4],Eastern Europe,10.9
Female,1986,16.1 [12.3-20.3],Eastern Europe,16.1
Both sexes,1987,14.0 [11.6-16.7],Eastern Europe,14.0
Male,1987,11.2 [8.3-14.8],Eastern Europe,11.2
Female,1987,16.3 [12.6-20.4],Eastern Europe,16.3
Both sexes,1988,14.3 [11.9-16.9],Eastern Europe,14.3
Male,1988,11.6 [8.6-15.1],Eastern Europe,11.6
Female,1988,16.5 [12.9-20.5],Eastern Europe,16.5
Both sexes,1989,14.6 [12.2-17.1],Eastern Europe,14.6
Male,1989,11.9 [9.0-15.4],Eastern Europe,11.9
Female,1989,16.7 [13.2-20.6],Eastern Europe,16.7
Both sexes,1990,14.9 [12.5-17.3],Eastern Europe,14.9
Male,1990,12.3 [9.3-15.7],Eastern Europe,12.3
Female,1990,16.9 [13.4-20.7],Eastern Europe,16.9
Both sexes,1991,15.1 [12.8-17.6],Eastern Europe,15.1
Male,1991,12.6 [9.7-16.1],Eastern Europe,12.6
Female,1991,17.1 [13.7-20.9],Eastern Europe,17.1
Both sexes,1992,15.4 [13.1-17.8],Eastern Europe,15.4
Male,1992,13.0 [10.0-16.4],Eastern Europe,13.0
