Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.4 [3.2-8.3],Southern Europe,5.4
Male,1975,3.8 [1.7-6.9],Southern Europe,3.8
Female,1975,6.8 [3.4-11.5],Southern Europe,6.8
Both sexes,1976,5.6 [3.4-8.5],Southern Europe,5.6
Male,1976,3.9 [1.9-7.0],Southern Europe,3.9
Female,1976,7.0 [3.6-11.7],Southern Europe,7.0
Both sexes,1977,5.8 [3.7-8.6],Southern Europe,5.8
Male,1977,4.1 [2.0-7.2],Southern Europe,4.1
Female,1977,7.2 [3.9-11.8],Southern Europe,7.2
Both sexes,1978,6.1 [3.9-8.8],Southern Europe,6.1
Male,1978,4.4 [2.2-7.4],Southern Europe,4.4
Female,1978,7.5 [4.2-12.0],Southern Europe,7.5
Both sexes,1979,6.3 [4.1-9.0],Southern Europe,6.3
Male,1979,4.6 [2.4-7.6],Southern Europe,4.6
Female,1979,7.8 [4.4-12.2],Southern Europe,7.8
Both sexes,1980,6.6 [4.4-9.2],Southern Europe,6.6
Male,1980,4.8 [2.6-7.8],Southern Europe,4.8
Female,1980,8.0 [4.7-12.4],Southern Europe,8.0
Both sexes,1981,6.8 [4.6-9.4],Southern Europe,6.8
Male,1981,5.0 [2.8-8.0],Southern Europe,5.0
Female,1981,8.3 [4.9-12.6],Southern Europe,8.3
Both sexes,1982,7.1 [4.9-9.6],Southern Europe,7.1
Male,1982,5.3 [3.1-8.2],Southern Europe,5.3
Female,1982,8.6 [5.2-12.9],Southern Europe,8.6
Both sexes,1983,7.4 [5.2-10.0],Southern Europe,7.4
Male,1983,5.6 [3.3-8.5],Southern Europe,5.6
Female,1983,8.9 [5.5-13.2],Southern Europe,8.9
Both sexes,1984,7.7 [5.5-10.2],Southern Europe,7.7
Male,1984,5.8 [3.6-8.7],Southern Europe,5.8
Female,1984,9.2 [5.8-13.4],Southern Europe,9.2
Both sexes,1985,8.0 [5.8-10.5],Southern Europe,8.0
Male,1985,6.1 [3.8-9.1],Southern Europe,6.1
Female,1985,9.5 [6.1-13.7],Southern Europe,9.5
Both sexes,1986,8.3 [6.0-10.9],Southern Europe,8.3
Male,1986,6.4 [4.1-9.4],Southern Europe,6.4
Female,1986,9.8 [6.4-14.0],Southern Europe,9.8
Both sexes,1987,8.6 [6.4-11.2],Southern Europe,8.6
Male,1987,6.7 [4.4-9.7],Southern Europe,6.7
Female,1987,10.2 [6.7-14.4],Southern Europe,10.2
Both sexes,1988,8.9 [6.7-11.5],Southern Europe,8.9
Male,1988,7.1 [4.6-10.1],Southern Europe,7.1
Female,1988,10.5 [7.0-14.7],Southern Europe,10.5
Both sexes,1989,9.3 [7.0-11.8],Southern Europe,9.3
Male,1989,7.4 [4.9-10.5],Southern Europe,7.4
Female,1989,10.9 [7.4-15.0],Southern Europe,10.9
Both sexes,1990,9.6 [7.3-12.2],Southern Europe,9.6
Male,1990,7.8 [5.2-10.8],Southern Europe,7.8
Female,1990,11.2 [7.6-15.4],Southern Europe,11.2
Both sexes,1991,10.0 [7.6-12.6],Southern Europe,10.0
Male,1991,8.1 [5.5-11.2],Southern Europe,8.1
Female,1991,11.6 [8.0-15.8],Southern Europe,11.6
Both sexes,1992,10.4 [8.0-13.0],Southern Europe,10.4
Male,1992,8.5 [5.8-11.7],Southern Europe,8.5
Female,1992,12.0 [8.3-16.2],Southern Europe,12.0
Both sexes,1993,10.8 [8.4-13.4],Southern Europe,10.8
Male,1993,8.9 [6.2-12.1],Southern Europe,8.9
Female,1993,12.3 [8.7-16.6],Southern Europe,12.3
Both sexes,1994,11.2 [8.7-13.8],Southern Europe,11.2
Male,1994,9.3 [6.5-12.6],Southern Europe,9.3
Female,1994,12.7 [9.0-17.0],Southern Europe,12.7
Both sexes,1995,11.6 [9.1-14.2],Southern Europe,11.6
Male,1995,9.7 [6.9-13.0],Southern Europe,9.7
Female,1995,13.1 [9.4-17.4],Southern Europe,13.1
Both sexes,1996,12.0 [9.5-14.6],Southern Europe,12.0
Male,1996,10.2 [7.2-13.5],Southern Europe,10.2
Female,1996,13.5 [9.7-17.9],Southern Europe,13.5
Both sexes,1997,12.4 [9.9-15.0],Southern Europe,12.4
Male,1997,10.6 [7.6-14.0],Southern Europe,10.6
Female,1997,13.9 [10.1-18.3],Southern Europe,13.9
Both sexes,1998,12.8 [10.3-15.5],Southern Europe,12.8
Male,1998,11.1 [8.0-14.5],Southern Europe,11.1
Female,1998,14.3 [10.5-18.7],Southern Europe,14.3
Both sexes,1999,13.3 [10.7-16.0],Southern Europe,13.3
Male,1999,11.5 [8.4-15.0],Southern Europe,11.5
Female,1999,14.7 [10.9-19.1],Southern Europe,14.7
Both sexes,2000,13.7 [11.2-16.5],Southern Europe,13.7
Male,2000,12.0 [8.8-15.5],Southern Europe,12.0
Female,2000,15.1 [11.3-19.5],Southern Europe,15.1
Both sexes,2001,14.1 [11.5-16.9],Southern Europe,14.1
Male,2001,12.5 [9.2-16.0],Southern Europe,12.5
Female,2001,15.6 [11.7-19.9],Southern Europe,15.6
Both sexes,2002,14.6 [12.0-17.4],Southern Europe,14.6
Male,2002,13.0 [9.7-16.5],Southern Europe,13.0
Female,2002,16.0 [12.1-20.4],Southern Europe,16.0
Both sexes,2003,15.0 [12.4-17.8],Southern Europe,15.0
Male,2003,13.4 [10.1-17.1],Southern Europe,13.4
Female,2003,16.4 [12.5-20.8],Southern Europe,16.4
Both sexes,2004,15.4 [12.8-18.3],Southern Europe,15.4
Male,2004,13.9 [10.6-17.6],Southern Europe,13.9
Female,2004,16.7 [12.8-21.1],Southern Europe,16.7
Both sexes,2005,15.9 [13.2-18.8],Southern Europe,15.9
Male,2005,14.4 [11.0-18.2],Southern Europe,14.4
