Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.6 [0.3-1.0],East Asia,0.6
Male,1975,0.3 [0.1-0.6],East Asia,0.3
Female,1975,0.8 [0.3-1.6],East Asia,0.8
Both sexes,1976,0.6 [0.3-1.1],East Asia,0.6
Male,1976,0.3 [0.1-0.6],East Asia,0.3
Female,1976,0.9 [0.4-1.7],East Asia,0.9
Both sexes,1977,0.6 [0.3-1.1],East Asia,0.6
Male,1977,0.3 [0.1-0.7],East Asia,0.3
Female,1977,0.9 [0.4-1.8],East Asia,0.9
Both sexes,1978,0.7 [0.4-1.2],East Asia,0.7
Male,1978,0.4 [0.2-0.7],East Asia,0.4
Female,1978,1.0 [0.5-1.8],East Asia,1.0
Both sexes,1979,0.8 [0.4-1.2],East Asia,0.8
Male,1979,0.4 [0.2-0.8],East Asia,0.4
Female,1979,1.1 [0.5-2.0],East Asia,1.1
Both sexes,1980,0.8 [0.5-1.3],East Asia,0.8
Male,1980,0.4 [0.2-0.8],East Asia,0.4
Female,1980,1.2 [0.6-2.0],East Asia,1.2
Both sexes,1981,0.9 [0.6-1.4],East Asia,0.9
Male,1981,0.5 [0.2-0.9],East Asia,0.5
Female,1981,1.2 [0.7-2.1],East Asia,1.2
Both sexes,1982,1.0 [0.6-1.5],East Asia,1.0
Male,1982,0.5 [0.3-1.0],East Asia,0.5
Female,1982,1.3 [0.7-2.2],East Asia,1.3
Both sexes,1983,1.1 [0.7-1.6],East Asia,1.1
Male,1983,0.6 [0.3-1.0],East Asia,0.6
Female,1983,1.4 [0.8-2.4],East Asia,1.4
Both sexes,1984,1.1 [0.7-1.7],East Asia,1.1
Male,1984,0.7 [0.3-1.1],East Asia,0.7
Female,1984,1.5 [0.9-2.5],East Asia,1.5
Both sexes,1985,1.2 [0.8-1.8],East Asia,1.2
Male,1985,0.7 [0.4-1.2],East Asia,0.7
Female,1985,1.6 [1.0-2.6],East Asia,1.6
Both sexes,1986,1.3 [0.9-1.9],East Asia,1.3
Male,1986,0.8 [0.4-1.3],East Asia,0.8
Female,1986,1.8 [1.1-2.7],East Asia,1.8
Both sexes,1987,1.4 [1.0-2.0],East Asia,1.4
Male,1987,0.9 [0.5-1.4],East Asia,0.9
Female,1987,1.9 [1.1-2.8],East Asia,1.9
Both sexes,1988,1.5 [1.1-2.1],East Asia,1.5
Male,1988,1.0 [0.6-1.6],East Asia,1.0
Female,1988,2.0 [1.2-3.0],East Asia,2.0
Both sexes,1989,1.6 [1.2-2.2],East Asia,1.6
Male,1989,1.1 [0.6-1.7],East Asia,1.1
Female,1989,2.1 [1.3-3.1],East Asia,2.1
Both sexes,1990,1.8 [1.2-2.4],East Asia,1.8
Male,1990,1.2 [0.7-1.8],East Asia,1.2
Female,1990,2.3 [1.4-3.3],East Asia,2.3
Both sexes,1991,1.9 [1.3-2.5],East Asia,1.9
Male,1991,1.3 [0.8-2.0],East Asia,1.3
Female,1991,2.4 [1.6-3.5],East Asia,2.4
Both sexes,1992,2.0 [1.4-2.7],East Asia,2.0
Male,1992,1.4 [0.8-2.1],East Asia,1.4
Female,1992,2.5 [1.7-3.6],East Asia,2.5
Both sexes,1993,2.1 [1.5-2.8],East Asia,2.1
Male,1993,1.5 [0.9-2.3],East Asia,1.5
Female,1993,2.6 [1.8-3.8],East Asia,2.6
Both sexes,1994,2.2 [1.6-2.9],East Asia,2.2
Male,1994,1.6 [1.0-2.4],East Asia,1.6
Female,1994,2.8 [1.9-3.9],East Asia,2.8
Both sexes,1995,2.4 [1.7-3.1],East Asia,2.4
Male,1995,1.7 [1.1-2.6],East Asia,1.7
Female,1995,2.9 [2.0-4.0],East Asia,2.9
Both sexes,1996,2.5 [1.8-3.2],East Asia,2.5
Male,1996,1.8 [1.1-2.7],East Asia,1.8
Female,1996,3.0 [2.1-4.2],East Asia,3.0
Both sexes,1997,2.6 [1.9-3.3],East Asia,2.6
Male,1997,1.9 [1.2-2.8],East Asia,1.9
Female,1997,3.1 [2.1-4.3],East Asia,3.1
Both sexes,1998,2.7 [2.0-3.4],East Asia,2.7
Male,1998,2.0 [1.3-3.0],East Asia,2.0
Female,1998,3.2 [2.2-4.4],East Asia,3.2
Both sexes,1999,2.8 [2.1-3.5],East Asia,2.8
Male,1999,2.2 [1.4-3.1],East Asia,2.2
Female,1999,3.3 [2.3-4.5],East Asia,3.3
Both sexes,2000,2.9 [2.2-3.6],East Asia,2.9
Male,2000,2.3 [1.5-3.2],East Asia,2.3
Female,2000,3.4 [2.4-4.5],East Asia,3.4
Both sexes,2001,3.0 [2.3-3.7],East Asia,3.0
Male,2001,2.4 [1.6-3.4],East Asia,2.4
Female,2001,3.5 [2.5-4.6],East Asia,3.5
Both sexes,2002,3.1 [2.4-3.8],East Asia,3.1
Male,2002,2.5 [1.7-3.5],East Asia,2.5
Female,2002,3.5 [2.6-4.7],East Asia,3.5
Both sexes,2003,3.2 [2.5-3.9],East Asia,3.2
Male,2003,2.6 [1.8-3.6],East Asia,2.6
Female,2003,3.6 [2.7-4.8],East Asia,3.6
Both sexes,2004,3.3 [2.6-4.0],East Asia,3.3
Male,2004,2.7 [1.9-3.8],East Asia,2.7
Female,2004,3.7 [2.7-4.9],East Asia,3.7
Both sexes,2005,3.4 [2.7-4.1],East Asia,3.4
Male,2005,2.8 [2.0-3.9],East Asia,2.8
Female,2005,3.8 [2.8-5.0],East Asia,3.8
Both sexes,2006,3.5 [2.8-4.3],East Asia,3.5
Male,2006,3.0 [2.1-4.0],East Asia,3.0
Female,2006,3.9 [2.9-5.1],East Asia,3.9
Both sexes,2007,3.6 [2.9-4.4],East Asia,3.6
Male,2007,3.1 [2.2-4.2],East Asia,3.1
Female,2007,4.0 [3.0-5.2],East Asia,4.0
Both sexes,2008,3.7 [2.9-4.5],East Asia,3.7
Male,2008,3.2 [2.3-4.4],East Asia,3.2
Female,2008,4.1 [3.0-5.3],East Asia,4.1
Both sexes,2009,3.8 [3.0-4.6],East Asia,3.8
Male,2009,3.4 [2.4-4.5],East Asia,3.4
Female,2009,4.2 [3.1-5.4],East Asia,4.2
Both sexes,2010,3.9 [3.1-4.8],East Asia,3.9
Male,2010,3.5 [2.5-4.7],East Asia,3.5
Female,2010,4.2 [3.2-5.5],East Asia,4.2
Both sexes,2011,4.0 [3.2-4.9],East Asia,4.0
Male,2011,3.6 [2.6-4.9],East Asia,3.6
Female,2011,4.3 [3.2-5.7],East Asia,4.3
Both sexes,2012,4.1 [3.3-5.1],East Asia,4.1
Male,2012,3.8 [2.7-5.1],East Asia,3.8
Female,2012,4.4 [3.3-5.8],East Asia,4.4
Both sexes,2013,4.3 [3.4-5.3],East Asia,4.3
Male,2013,3.9 [2.8-5.4],East Asia,3.9
Female,2013,4.5 [3.3-6.0],East Asia,4.5
Both sexes,2014,4.4 [3.4-5.5],East Asia,4.4
Male,2014,4.1 [2.9-5.7],East Asia,4.1
Female,2014,4.6 [3.3-6.2],East Asia,4.6
Both sexes,2015,4.5 [3.5-5.7],East Asia,4.5
Male,2015,4.3 [2.9-6.0],East Asia,4.3
Female,2015,4.7 [3.4-6.4],East Asia,4.7
Both sexes,2016,4.7 [3.6-5.9],East Asia,4.7
Male,2016,4.4 [3.0-6.3],East Asia,4.4
Female,2016,4.8 [3.4-6.6],East Asia,4.8
