Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.5 [4.1-12.6],Eastern Europe,7.5
Male,1975,3.5 [1.2-7.5],Eastern Europe,3.5
Female,1975,10.6 [4.9-19.1],Eastern Europe,10.6
Both sexes,1976,7.8 [4.3-12.7],Eastern Europe,7.8
Male,1976,3.7 [1.3-7.7],Eastern Europe,3.7
Female,1976,10.9 [5.3-19.2],Eastern Europe,10.9
Both sexes,1977,8.1 [4.6-12.8],Eastern Europe,8.1
Male,1977,3.9 [1.5-7.9],Eastern Europe,3.9
Female,1977,11.3 [5.7-19.3],Eastern Europe,11.3
Both sexes,1978,8.3 [4.9-13.0],Eastern Europe,8.3
Male,1978,4.1 [1.6-8.1],Eastern Europe,4.1
Female,1978,11.6 [6.0-19.4],Eastern Europe,11.6
Both sexes,1979,8.6 [5.2-13.2],Eastern Europe,8.6
Male,1979,4.3 [1.8-8.3],Eastern Europe,4.3
Female,1979,11.9 [6.4-19.7],Eastern Europe,11.9
Both sexes,1980,8.9 [5.5-13.4],Eastern Europe,8.9
Male,1980,4.5 [2.0-8.5],Eastern Europe,4.5
Female,1980,12.3 [6.8-19.8],Eastern Europe,12.3
Both sexes,1981,9.2 [5.8-13.6],Eastern Europe,9.2
Male,1981,4.8 [2.2-8.8],Eastern Europe,4.8
Female,1981,12.6 [7.1-19.9],Eastern Europe,12.6
Both sexes,1982,9.5 [6.1-13.7],Eastern Europe,9.5
Male,1982,5.1 [2.3-9.1],Eastern Europe,5.1
Female,1982,12.9 [7.5-20.1],Eastern Europe,12.9
Both sexes,1983,9.8 [6.4-14.0],Eastern Europe,9.8
Male,1983,5.3 [2.5-9.4],Eastern Europe,5.3
Female,1983,13.3 [7.9-20.3],Eastern Europe,13.3
Both sexes,1984,10.1 [6.8-14.2],Eastern Europe,10.1
Male,1984,5.6 [2.7-9.7],Eastern Europe,5.6
Female,1984,13.6 [8.2-20.5],Eastern Europe,13.6
Both sexes,1985,10.4 [7.1-14.5],Eastern Europe,10.4
Male,1985,5.9 [3.0-10.1],Eastern Europe,5.9
Female,1985,14.0 [8.6-20.6],Eastern Europe,14.0
Both sexes,1986,10.7 [7.4-14.8],Eastern Europe,10.7
Male,1986,6.2 [3.2-10.5],Eastern Europe,6.2
Female,1986,14.3 [9.0-20.9],Eastern Europe,14.3
Both sexes,1987,11.0 [7.7-15.1],Eastern Europe,11.0
Male,1987,6.5 [3.3-10.8],Eastern Europe,6.5
Female,1987,14.6 [9.3-21.1],Eastern Europe,14.6
Both sexes,1988,11.3 [8.0-15.3],Eastern Europe,11.3
Male,1988,6.8 [3.6-11.1],Eastern Europe,6.8
Female,1988,14.9 [9.6-21.4],Eastern Europe,14.9
Both sexes,1989,11.6 [8.3-15.6],Eastern Europe,11.6
Male,1989,7.1 [3.8-11.6],Eastern Europe,7.1
Female,1989,15.2 [10.0-21.6],Eastern Europe,15.2
Both sexes,1990,11.9 [8.6-15.9],Eastern Europe,11.9
Male,1990,7.4 [4.0-12.0],Eastern Europe,7.4
Female,1990,15.5 [10.3-21.8],Eastern Europe,15.5
Both sexes,1991,12.2 [8.9-16.1],Eastern Europe,12.2
Male,1991,7.7 [4.2-12.4],Eastern Europe,7.7
Female,1991,15.8 [10.5-22.0],Eastern Europe,15.8
Both sexes,1992,12.5 [9.1-16.4],Eastern Europe,12.5
Male,1992,8.0 [4.4-12.8],Eastern Europe,8.0
Female,1992,16.0 [10.7-22.2],Eastern Europe,16.0
Both sexes,1993,12.7 [9.4-16.6],Eastern Europe,12.7
Male,1993,8.3 [4.7-13.1],Eastern Europe,8.3
Female,1993,16.2 [11.0-22.3],Eastern Europe,16.2
Both sexes,1994,12.9 [9.6-16.9],Eastern Europe,12.9
Male,1994,8.6 [4.9-13.4],Eastern Europe,8.6
Female,1994,16.4 [11.2-22.4],Eastern Europe,16.4
