Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.2 [5.5-14.1],Balkans,9.2
Male,1975,6.6 [2.8-12.3],Balkans,6.6
Female,1975,11.8 [6.1-19.9],Balkans,11.8
Both sexes,1976,9.6 [5.8-14.3],Balkans,9.6
Male,1976,6.9 [3.0-12.7],Balkans,6.9
Female,1976,12.1 [6.4-20.0],Balkans,12.1
Both sexes,1977,9.9 [6.2-14.6],Balkans,9.9
Male,1977,7.2 [3.3-12.9],Balkans,7.2
Female,1977,12.5 [6.8-20.1],Balkans,12.5
Both sexes,1978,10.2 [6.5-14.8],Balkans,10.2
Male,1978,7.5 [3.5-13.2],Balkans,7.5
Female,1978,12.8 [7.1-20.3],Balkans,12.8
Both sexes,1979,10.5 [6.8-15.0],Balkans,10.5
Male,1979,7.8 [3.8-13.4],Balkans,7.8
Female,1979,13.0 [7.5-20.4],Balkans,13.0
Both sexes,1980,10.8 [7.2-15.2],Balkans,10.8
Male,1980,8.2 [4.0-13.7],Balkans,8.2
Female,1980,13.3 [7.8-20.5],Balkans,13.3
Both sexes,1981,11.1 [7.5-15.5],Balkans,11.1
Male,1981,8.5 [4.3-14.1],Balkans,8.5
Female,1981,13.6 [8.1-20.7],Balkans,13.6
Both sexes,1982,11.4 [7.8-15.7],Balkans,11.4
Male,1982,8.8 [4.6-14.4],Balkans,8.8
Female,1982,13.9 [8.4-20.7],Balkans,13.9
Both sexes,1983,11.7 [8.1-16.0],Balkans,11.7
Male,1983,9.2 [4.9-14.7],Balkans,9.2
Female,1983,14.2 [8.8-20.9],Balkans,14.2
Both sexes,1984,12.0 [8.4-16.3],Balkans,12.0
Male,1984,9.5 [5.2-15.0],Balkans,9.5
Female,1984,14.5 [9.1-21.1],Balkans,14.5
Both sexes,1985,12.3 [8.7-16.6],Balkans,12.3
Male,1985,9.9 [5.5-15.5],Balkans,9.9
Female,1985,14.7 [9.5-21.3],Balkans,14.7
Both sexes,1986,12.7 [9.0-16.9],Balkans,12.7
Male,1986,10.2 [5.8-15.9],Balkans,10.2
Female,1986,15.0 [9.8-21.5],Balkans,15.0
Both sexes,1987,13.0 [9.3-17.2],Balkans,13.0
Male,1987,10.6 [6.1-16.3],Balkans,10.6
Female,1987,15.3 [10.0-21.7],Balkans,15.3
Both sexes,1988,13.3 [9.6-17.6],Balkans,13.3
Male,1988,11.0 [6.4-16.7],Balkans,11.0
Female,1988,15.5 [10.3-21.9],Balkans,15.5
Both sexes,1989,13.6 [9.9-17.9],Balkans,13.6
Male,1989,11.4 [6.7-17.1],Balkans,11.4
Female,1989,15.8 [10.6-22.2],Balkans,15.8
Both sexes,1990,13.9 [10.2-18.2],Balkans,13.9
Male,1990,11.7 [7.0-17.5],Balkans,11.7
Female,1990,16.0 [10.8-22.4],Balkans,16.0
Both sexes,1991,14.3 [10.5-18.5],Balkans,14.3
Male,1991,12.1 [7.3-18.0],Balkans,12.1
Female,1991,16.3 [11.1-22.6],Balkans,16.3
Both sexes,1992,14.6 [10.8-18.9],Balkans,14.6
Male,1992,12.5 [7.6-18.5],Balkans,12.5
Female,1992,16.6 [11.4-22.8],Balkans,16.6
Both sexes,1993,14.9 [11.1-19.3],Balkans,14.9
Male,1993,12.9 [7.9-19.1],Balkans,12.9
Female,1993,16.8 [11.6-23.0],Balkans,16.8
Both sexes,1994,15.3 [11.4-19.6],Balkans,15.3
Male,1994,13.4 [8.2-19.6],Balkans,13.4
Female,1994,17.1 [11.8-23.3],Balkans,17.1
