Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.3 [5.1-12.6],Eastern Europe,8.3
Male,1975,5.9 [2.5-11.0],Eastern Europe,5.9
Female,1975,10.4 [5.3-17.6],Eastern Europe,10.4
Both sexes,1976,8.5 [5.3-12.8],Eastern Europe,8.5
Male,1976,6.1 [2.7-11.1],Eastern Europe,6.1
Female,1976,10.6 [5.7-17.7],Eastern Europe,10.6
Both sexes,1977,8.8 [5.6-12.9],Eastern Europe,8.8
Male,1977,6.4 [3.0-11.3],Eastern Europe,6.4
Female,1977,10.9 [6.0-17.8],Eastern Europe,10.9
Both sexes,1978,9.0 [5.9-13.1],Eastern Europe,9.0
Male,1978,6.6 [3.2-11.5],Eastern Europe,6.6
Female,1978,11.1 [6.4-17.8],Eastern Europe,11.1
Both sexes,1979,9.3 [6.2-13.3],Eastern Europe,9.3
Male,1979,6.9 [3.5-11.8],Eastern Europe,6.9
Female,1979,11.4 [6.7-17.8],Eastern Europe,11.4
Both sexes,1980,9.6 [6.5-13.4],Eastern Europe,9.6
Male,1980,7.2 [3.8-12.0],Eastern Europe,7.2
Female,1980,11.7 [7.0-17.9],Eastern Europe,11.7
Both sexes,1981,9.9 [6.9-13.7],Eastern Europe,9.9
Male,1981,7.5 [4.1-12.3],Eastern Europe,7.5
Female,1981,12.0 [7.3-18.1],Eastern Europe,12.0
Both sexes,1982,10.2 [7.2-13.9],Eastern Europe,10.2
Male,1982,7.9 [4.4-12.6],Eastern Europe,7.9
Female,1982,12.3 [7.6-18.2],Eastern Europe,12.3
Both sexes,1983,10.5 [7.5-14.2],Eastern Europe,10.5
Male,1983,8.2 [4.7-12.9],Eastern Europe,8.2
Female,1983,12.6 [8.0-18.4],Eastern Europe,12.6
Both sexes,1984,10.9 [7.8-14.4],Eastern Europe,10.9
Male,1984,8.6 [5.0-13.3],Eastern Europe,8.6
Female,1984,12.9 [8.3-18.6],Eastern Europe,12.9
Both sexes,1985,11.2 [8.1-14.7],Eastern Europe,11.2
Male,1985,8.9 [5.4-13.6],Eastern Europe,8.9
Female,1985,13.2 [8.7-18.9],Eastern Europe,13.2
