Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,13.9 [10.1-18.7],Eastern Europe,13.9
Male,1975,5.4 [2.8-9.2],Eastern Europe,5.4
Female,1975,19.6 [13.4-27.4],Eastern Europe,19.6
Both sexes,1976,14.2 [10.5-18.7],Eastern Europe,14.2
Male,1976,5.6 [3.1-9.3],Eastern Europe,5.6
Female,1976,20.0 [14.0-27.3],Eastern Europe,20.0
Both sexes,1977,14.4 [10.9-18.7],Eastern Europe,14.4
Male,1977,5.8 [3.4-9.4],Eastern Europe,5.8
Female,1977,20.3 [14.6-27.3],Eastern Europe,20.3
Both sexes,1978,14.7 [11.3-18.7],Eastern Europe,14.7
Male,1978,6.1 [3.7-9.5],Eastern Europe,6.1
Female,1978,20.6 [15.2-27.2],Eastern Europe,20.6
Both sexes,1979,15.0 [11.7-18.8],Eastern Europe,15.0
Male,1979,6.3 [4.0-9.6],Eastern Europe,6.3
Female,1979,20.9 [15.7-27.1],Eastern Europe,20.9
Both sexes,1980,15.2 [12.1-18.8],Eastern Europe,15.2
Male,1980,6.6 [4.3-9.7],Eastern Europe,6.6
Female,1980,21.2 [16.3-27.1],Eastern Europe,21.2
Both sexes,1981,15.4 [12.5-18.8],Eastern Europe,15.4
Male,1981,6.8 [4.6-9.8],Eastern Europe,6.8
Female,1981,21.5 [16.8-27.0],Eastern Europe,21.5
Both sexes,1982,15.7 [12.9-18.9],Eastern Europe,15.7
Male,1982,7.1 [4.9-10.0],Eastern Europe,7.1
Female,1982,21.8 [17.3-26.9],Eastern Europe,21.8
Both sexes,1983,15.9 [13.2-18.9],Eastern Europe,15.9
Male,1983,7.4 [5.2-10.1],Eastern Europe,7.4
Female,1983,22.1 [17.7-26.9],Eastern Europe,22.1
Both sexes,1984,16.1 [13.6-19.0],Eastern Europe,16.1
Male,1984,7.6 [5.5-10.3],Eastern Europe,7.6
Female,1984,22.3 [18.2-27.0],Eastern Europe,22.3
