Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,6.4 [3.6-10.2],Caribbean,6.4
Male,1975,2.7 [0.9-5.9],Caribbean,2.7
Female,1975,9.9 [5.0-17.1],Caribbean,9.9
Both sexes,1976,6.6 [3.8-10.4],Caribbean,6.6
Male,1976,2.9 [1.1-6.1],Caribbean,2.9
Female,1976,10.3 [5.3-17.3],Caribbean,10.3
Both sexes,1977,6.9 [4.1-10.7],Caribbean,6.9
Male,1977,3.0 [1.2-6.2],Caribbean,3.0
Female,1977,10.6 [5.6-17.6],Caribbean,10.6
Both sexes,1978,7.2 [4.3-10.9],Caribbean,7.2
Male,1978,3.2 [1.3-6.4],Caribbean,3.2
Female,1978,11.0 [6.0-17.8],Caribbean,11.0
Both sexes,1979,7.4 [4.6-11.1],Caribbean,7.4
Male,1979,3.4 [1.4-6.6],Caribbean,3.4
Female,1979,11.4 [6.3-18.1],Caribbean,11.4
Both sexes,1980,7.7 [4.8-11.4],Caribbean,7.7
Male,1980,3.5 [1.5-6.8],Caribbean,3.5
Female,1980,11.7 [6.7-18.4],Caribbean,11.7
Both sexes,1981,8.0 [5.1-11.6],Caribbean,8.0
Male,1981,3.7 [1.6-7.0],Caribbean,3.7
Female,1981,12.1 [7.0-18.7],Caribbean,12.1
Both sexes,1982,8.3 [5.3-11.9],Caribbean,8.3
Male,1982,3.9 [1.7-7.3],Caribbean,3.9
Female,1982,12.5 [7.4-19.0],Caribbean,12.5
Both sexes,1983,8.6 [5.6-12.1],Caribbean,8.6
Male,1983,4.0 [1.9-7.5],Caribbean,4.0
Female,1983,12.9 [7.8-19.5],Caribbean,12.9
Both sexes,1984,8.8 [5.9-12.4],Caribbean,8.8
Male,1984,4.2 [2.0-7.7],Caribbean,4.2
Female,1984,13.3 [8.1-19.7],Caribbean,13.3
Both sexes,1985,9.1 [6.1-12.7],Caribbean,9.1
Male,1985,4.4 [2.1-8.0],Caribbean,4.4
Female,1985,13.7 [8.5-20.1],Caribbean,13.7
Both sexes,1986,9.4 [6.4-13.0],Caribbean,9.4
Male,1986,4.6 [2.3-8.3],Caribbean,4.6
Female,1986,14.0 [8.9-20.5],Caribbean,14.0
Both sexes,1987,9.7 [6.7-13.4],Caribbean,9.7
Male,1987,4.8 [2.4-8.5],Caribbean,4.8
Female,1987,14.4 [9.2-20.9],Caribbean,14.4
Both sexes,1988,10.0 [7.0-13.6],Caribbean,10.0
Male,1988,5.0 [2.6-8.7],Caribbean,5.0
Female,1988,14.8 [9.5-21.3],Caribbean,14.8
Both sexes,1989,10.3 [7.3-14.0],Caribbean,10.3
Male,1989,5.2 [2.7-9.1],Caribbean,5.2
Female,1989,15.3 [9.9-21.7],Caribbean,15.3
Both sexes,1990,10.7 [7.6-14.3],Caribbean,10.7
Male,1990,5.4 [2.8-9.3],Caribbean,5.4
Female,1990,15.7 [10.3-22.3],Caribbean,15.7
Both sexes,1991,11.0 [7.8-14.7],Caribbean,11.0
Male,1991,5.7 [3.0-9.5],Caribbean,5.7
Female,1991,16.1 [10.7-22.7],Caribbean,16.1
Both sexes,1992,11.3 [8.2-15.1],Caribbean,11.3
Male,1992,5.9 [3.2-9.8],Caribbean,5.9
Female,1992,16.5 [11.1-23.1],Caribbean,16.5
Both sexes,1993,11.7 [8.5-15.4],Caribbean,11.7
Male,1993,6.1 [3.3-10.2],Caribbean,6.1
Female,1993,17.0 [11.5-23.5],Caribbean,17.0
Both sexes,1994,12.0 [8.8-15.8],Caribbean,12.0
Male,1994,6.4 [3.5-10.5],Caribbean,6.4
Female,1994,17.4 [11.9-24.0],Caribbean,17.4
Both sexes,1995,12.4 [9.1-16.2],Caribbean,12.4
Male,1995,6.7 [3.7-10.9],Caribbean,6.7
Female,1995,17.9 [12.3-24.5],Caribbean,17.9
Both sexes,1996,12.8 [9.5-16.6],Caribbean,12.8
Male,1996,6.9 [3.9-11.3],Caribbean,6.9
Female,1996,18.4 [12.7-25.0],Caribbean,18.4
Both sexes,1997,13.2 [9.8-17.0],Caribbean,13.2
Male,1997,7.2 [4.1-11.6],Caribbean,7.2
Female,1997,18.9 [13.2-25.5],Caribbean,18.9
Both sexes,1998,13.6 [10.1-17.5],Caribbean,13.6
Male,1998,7.5 [4.3-12.0],Caribbean,7.5
Female,1998,19.4 [13.6-26.1],Caribbean,19.4
Both sexes,1999,14.0 [10.5-17.9],Caribbean,14.0
Male,1999,7.8 [4.5-12.4],Caribbean,7.8
Female,1999,19.9 [14.0-26.7],Caribbean,19.9
Both sexes,2000,14.4 [10.9-18.4],Caribbean,14.4
Male,2000,8.1 [4.7-12.8],Caribbean,8.1
Female,2000,20.4 [14.5-27.1],Caribbean,20.4
Both sexes,2001,14.8 [11.2-18.9],Caribbean,14.8
Male,2001,8.5 [4.9-13.2],Caribbean,8.5
Female,2001,20.9 [14.9-27.8],Caribbean,20.9
Both sexes,2002,15.3 [11.6-19.4],Caribbean,15.3
Male,2002,8.8 [5.2-13.7],Caribbean,8.8
Female,2002,21.4 [15.4-28.3],Caribbean,21.4
Both sexes,2003,15.7 [12.0-19.9],Caribbean,15.7
Male,2003,9.2 [5.5-14.1],Caribbean,9.2
Female,2003,22.0 [15.9-28.9],Caribbean,22.0
Both sexes,2004,16.2 [12.5-20.4],Caribbean,16.2
Male,2004,9.5 [5.8-14.6],Caribbean,9.5
Female,2004,22.5 [16.4-29.5],Caribbean,22.5
Both sexes,2005,16.7 [12.9-20.9],Caribbean,16.7
Male,2005,9.9 [6.0-15.0],Caribbean,9.9
Female,2005,23.1 [16.9-30.1],Caribbean,23.1
Both sexes,2006,17.2 [13.3-21.5],Caribbean,17.2
Male,2006,10.3 [6.3-15.5],Caribbean,10.3
Female,2006,23.7 [17.4-30.7],Caribbean,23.7
Both sexes,2007,17.7 [13.7-22.1],Caribbean,17.7
Male,2007,10.7 [6.6-16.1],Caribbean,10.7
Female,2007,24.3 [17.9-31.4],Caribbean,24.3
Both sexes,2008,18.2 [14.1-22.7],Caribbean,18.2
Male,2008,11.2 [6.9-16.7],Caribbean,11.2
Female,2008,24.9 [18.4-32.1],Caribbean,24.9
Both sexes,2009,18.7 [14.5-23.4],Caribbean,18.7
Male,2009,11.6 [7.2-17.3],Caribbean,11.6
Female,2009,25.5 [18.8-32.9],Caribbean,25.5
Both sexes,2010,19.3 [15.0-24.1],Caribbean,19.3
Male,2010,12.1 [7.5-17.9],Caribbean,12.1
Female,2010,26.1 [19.3-33.6],Caribbean,26.1
Both sexes,2011,19.8 [15.4-24.8],Caribbean,19.8
Male,2011,12.6 [7.8-18.6],Caribbean,12.6
Female,2011,26.8 [19.8-34.4],Caribbean,26.8
Both sexes,2012,20.4 [15.8-25.5],Caribbean,20.4
Male,2012,13.1 [8.1-19.3],Caribbean,13.1
Female,2012,27.4 [20.2-35.4],Caribbean,27.4
Both sexes,2013,21.0 [16.3-26.4],Caribbean,21.0
Male,2013,13.6 [8.4-20.1],Caribbean,13.6
Female,2013,28.1 [20.6-36.3],Caribbean,28.1
Both sexes,2014,21.6 [16.7-27.1],Caribbean,21.6
Male,2014,14.1 [8.7-20.9],Caribbean,14.1
Female,2014,28.7 [21.0-37.2],Caribbean,28.7
Both sexes,2015,22.3 [17.1-28.0],Caribbean,22.3
Male,2015,14.7 [9.1-21.8],Caribbean,14.7
Female,2015,29.4 [21.4-38.1],Caribbean,29.4
Both sexes,2016,22.9 [17.6-28.9],Caribbean,22.9
Male,2016,15.3 [9.3-22.9],Caribbean,15.3
Female,2016,30.1 [21.8-39.2],Caribbean,30.1
