Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.1 [2.7-8.3],Caribbean,5.1
Male,1975,2.0 [0.7-4.4],Caribbean,2.0
Female,1975,7.7 [3.6-13.4],Caribbean,7.7
Both sexes,1976,5.3 [2.9-8.5],Caribbean,5.3
Male,1976,2.1 [0.7-4.5],Caribbean,2.1
Female,1976,8.0 [3.9-13.7],Caribbean,8.0
Both sexes,1977,5.5 [3.1-8.7],Caribbean,5.5
Male,1977,2.2 [0.8-4.6],Caribbean,2.2
Female,1977,8.4 [4.3-13.9],Caribbean,8.4
Both sexes,1978,5.8 [3.4-8.9],Caribbean,5.8
Male,1978,2.3 [0.9-4.7],Caribbean,2.3
Female,1978,8.7 [4.6-14.1],Caribbean,8.7
Both sexes,1979,6.0 [3.6-9.1],Caribbean,6.0
Male,1979,2.4 [1.0-4.9],Caribbean,2.4
Female,1979,9.0 [4.9-14.3],Caribbean,9.0
Both sexes,1980,6.2 [3.8-9.3],Caribbean,6.2
Male,1980,2.5 [1.1-5.0],Caribbean,2.5
Female,1980,9.4 [5.2-14.7],Caribbean,9.4
Both sexes,1981,6.5 [4.1-9.5],Caribbean,6.5
Male,1981,2.7 [1.2-5.1],Caribbean,2.7
Female,1981,9.8 [5.6-15.0],Caribbean,9.8
Both sexes,1982,6.8 [4.3-9.8],Caribbean,6.8
Male,1982,2.8 [1.3-5.3],Caribbean,2.8
Female,1982,10.2 [6.0-15.3],Caribbean,10.2
Both sexes,1983,7.1 [4.6-10.0],Caribbean,7.1
Male,1983,3.0 [1.4-5.4],Caribbean,3.0
Female,1983,10.6 [6.3-15.7],Caribbean,10.6
Both sexes,1984,7.3 [4.9-10.3],Caribbean,7.3
Male,1984,3.1 [1.5-5.7],Caribbean,3.1
Female,1984,11.0 [6.7-16.1],Caribbean,11.0
Both sexes,1985,7.6 [5.2-10.6],Caribbean,7.6
Male,1985,3.3 [1.6-5.9],Caribbean,3.3
Female,1985,11.4 [7.1-16.5],Caribbean,11.4
Both sexes,1986,7.9 [5.4-10.8],Caribbean,7.9
Male,1986,3.5 [1.7-6.2],Caribbean,3.5
Female,1986,11.8 [7.6-16.9],Caribbean,11.8
Both sexes,1987,8.2 [5.7-11.1],Caribbean,8.2
Male,1987,3.7 [1.8-6.4],Caribbean,3.7
Female,1987,12.3 [8.0-17.4],Caribbean,12.3
Both sexes,1988,8.5 [6.0-11.4],Caribbean,8.5
Male,1988,3.9 [2.0-6.7],Caribbean,3.9
Female,1988,12.8 [8.4-17.9],Caribbean,12.8
Both sexes,1989,8.8 [6.3-11.8],Caribbean,8.8
Male,1989,4.1 [2.1-7.0],Caribbean,4.1
Female,1989,13.2 [8.8-18.4],Caribbean,13.2
Both sexes,1990,9.2 [6.6-12.1],Caribbean,9.2
Male,1990,4.3 [2.3-7.3],Caribbean,4.3
Female,1990,13.7 [9.2-18.9],Caribbean,13.7
Both sexes,1991,9.5 [6.9-12.5],Caribbean,9.5
Male,1991,4.6 [2.4-7.6],Caribbean,4.6
Female,1991,14.2 [9.7-19.5],Caribbean,14.2
Both sexes,1992,9.9 [7.2-12.9],Caribbean,9.9
Male,1992,4.8 [2.6-7.9],Caribbean,4.8
Female,1992,14.7 [10.1-19.9],Caribbean,14.7
Both sexes,1993,10.2 [7.5-13.3],Caribbean,10.2
Male,1993,5.0 [2.8-8.1],Caribbean,5.0
Female,1993,15.2 [10.6-20.5],Caribbean,15.2
Both sexes,1994,10.6 [7.9-13.7],Caribbean,10.6
Male,1994,5.3 [2.9-8.4],Caribbean,5.3
Female,1994,15.7 [11.0-20.9],Caribbean,15.7
Both sexes,1995,11.0 [8.2-14.1],Caribbean,11.0
Male,1995,5.5 [3.1-8.8],Caribbean,5.5
Female,1995,16.2 [11.5-21.5],Caribbean,16.2
Both sexes,1996,11.4 [8.5-14.6],Caribbean,11.4
Male,1996,5.8 [3.3-9.1],Caribbean,5.8
Female,1996,16.7 [11.9-22.0],Caribbean,16.7
Both sexes,1997,11.8 [8.8-15.0],Caribbean,11.8
Male,1997,6.0 [3.5-9.4],Caribbean,6.0
Female,1997,17.2 [12.3-22.5],Caribbean,17.2
Both sexes,1998,12.1 [9.2-15.4],Caribbean,12.1
Male,1998,6.3 [3.6-9.8],Caribbean,6.3
Female,1998,17.7 [12.8-23.0],Caribbean,17.7
Both sexes,1999,12.5 [9.5-15.9],Caribbean,12.5
Male,1999,6.6 [3.8-10.1],Caribbean,6.6
Female,1999,18.2 [13.2-23.6],Caribbean,18.2
Both sexes,2000,12.9 [9.9-16.3],Caribbean,12.9
Male,2000,6.9 [4.0-10.5],Caribbean,6.9
Female,2000,18.7 [13.7-24.3],Caribbean,18.7
Both sexes,2001,13.3 [10.2-16.7],Caribbean,13.3
Male,2001,7.1 [4.2-10.8],Caribbean,7.1
Female,2001,19.2 [14.1-24.8],Caribbean,19.2
Both sexes,2002,13.7 [10.5-17.1],Caribbean,13.7
Male,2002,7.4 [4.4-11.2],Caribbean,7.4
Female,2002,19.6 [14.5-25.3],Caribbean,19.6
Both sexes,2003,14.1 [10.9-17.5],Caribbean,14.1
Male,2003,7.7 [4.6-11.5],Caribbean,7.7
Female,2003,20.1 [14.9-25.8],Caribbean,20.1
Both sexes,2004,14.4 [11.2-17.9],Caribbean,14.4
Male,2004,7.9 [4.8-11.9],Caribbean,7.9
Female,2004,20.5 [15.2-26.3],Caribbean,20.5
Both sexes,2005,14.8 [11.5-18.3],Caribbean,14.8
Male,2005,8.2 [5.0-12.2],Caribbean,8.2
Female,2005,21.0 [15.7-26.8],Caribbean,21.0
Both sexes,2006,15.1 [11.8-18.8],Caribbean,15.1
Male,2006,8.4 [5.2-12.6],Caribbean,8.4
Female,2006,21.4 [16.1-27.3],Caribbean,21.4
Both sexes,2007,15.5 [12.0-19.2],Caribbean,15.5
Male,2007,8.7 [5.3-12.9],Caribbean,8.7
Female,2007,21.9 [16.4-27.8],Caribbean,21.9
Both sexes,2008,15.8 [12.3-19.7],Caribbean,15.8
Male,2008,8.9 [5.4-13.3],Caribbean,8.9
Female,2008,22.3 [16.7-28.4],Caribbean,22.3
Both sexes,2009,16.2 [12.6-20.1],Caribbean,16.2
Male,2009,9.2 [5.6-13.7],Caribbean,9.2
Female,2009,22.8 [17.0-29.1],Caribbean,22.8
Both sexes,2010,16.5 [12.8-20.6],Caribbean,16.5
Male,2010,9.5 [5.7-14.2],Caribbean,9.5
