Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.7 [2.9-9.6],Caribbean,5.7
Male,1975,2.1 [0.7-4.8],Caribbean,2.1
Female,1975,8.2 [3.8-14.6],Caribbean,8.2
Both sexes,1976,5.9 [3.1-9.8],Caribbean,5.9
Male,1976,2.3 [0.7-5.0],Caribbean,2.3
Female,1976,8.6 [4.0-15.0],Caribbean,8.6
Both sexes,1977,6.2 [3.4-9.9],Caribbean,6.2
Male,1977,2.4 [0.8-5.1],Caribbean,2.4
Female,1977,9.0 [4.4-15.3],Caribbean,9.0
Both sexes,1978,6.4 [3.6-10.1],Caribbean,6.4
Male,1978,2.5 [0.9-5.3],Caribbean,2.5
Female,1978,9.4 [4.7-15.7],Caribbean,9.4
Both sexes,1979,6.7 [3.9-10.3],Caribbean,6.7
Male,1979,2.7 [1.0-5.5],Caribbean,2.7
Female,1979,9.8 [5.1-16.1],Caribbean,9.8
Both sexes,1980,6.9 [4.1-10.5],Caribbean,6.9
Male,1980,2.9 [1.1-5.7],Caribbean,2.9
Female,1980,10.2 [5.4-16.5],Caribbean,10.2
Both sexes,1981,7.2 [4.4-10.8],Caribbean,7.2
Male,1981,3.0 [1.2-6.0],Caribbean,3.0
Female,1981,10.6 [5.8-16.9],Caribbean,10.6
Both sexes,1982,7.5 [4.6-11.1],Caribbean,7.5
Male,1982,3.2 [1.3-6.2],Caribbean,3.2
Female,1982,11.1 [6.1-17.4],Caribbean,11.1
Both sexes,1983,7.8 [4.9-11.3],Caribbean,7.8
Male,1983,3.4 [1.5-6.5],Caribbean,3.4
Female,1983,11.5 [6.5-17.8],Caribbean,11.5
Both sexes,1984,8.1 [5.2-11.7],Caribbean,8.1
Male,1984,3.6 [1.6-6.7],Caribbean,3.6
Female,1984,12.0 [6.9-18.3],Caribbean,12.0
Both sexes,1985,8.4 [5.5-12.0],Caribbean,8.4
Male,1985,3.8 [1.7-7.0],Caribbean,3.8
Female,1985,12.5 [7.4-18.8],Caribbean,12.5
Both sexes,1986,8.8 [5.8-12.3],Caribbean,8.8
Male,1986,4.1 [1.9-7.3],Caribbean,4.1
Female,1986,13.0 [7.8-19.4],Caribbean,13.0
Both sexes,1987,9.1 [6.1-12.7],Caribbean,9.1
Male,1987,4.3 [2.0-7.6],Caribbean,4.3
Female,1987,13.5 [8.3-19.9],Caribbean,13.5
Both sexes,1988,9.5 [6.4-13.1],Caribbean,9.5
Male,1988,4.6 [2.2-8.0],Caribbean,4.6
Female,1988,14.0 [8.7-20.5],Caribbean,14.0
Both sexes,1989,9.9 [6.8-13.5],Caribbean,9.9
Male,1989,4.8 [2.3-8.3],Caribbean,4.8
Female,1989,14.5 [9.2-21.0],Caribbean,14.5
Both sexes,1990,10.3 [7.1-13.9],Caribbean,10.3
Male,1990,5.1 [2.5-8.7],Caribbean,5.1
Female,1990,15.1 [9.7-21.6],Caribbean,15.1
Both sexes,1991,10.7 [7.5-14.4],Caribbean,10.7
Male,1991,5.4 [2.6-9.0],Caribbean,5.4
Female,1991,15.6 [10.2-22.1],Caribbean,15.6
Both sexes,1992,11.1 [7.8-14.8],Caribbean,11.1
Male,1992,5.7 [2.8-9.5],Caribbean,5.7
Female,1992,16.2 [10.6-22.7],Caribbean,16.2
Both sexes,1993,11.5 [8.2-15.3],Caribbean,11.5
Male,1993,6.0 [3.0-9.9],Caribbean,6.0
Female,1993,16.7 [11.1-23.3],Caribbean,16.7
Both sexes,1994,11.9 [8.6-15.7],Caribbean,11.9
Male,1994,6.3 [3.2-10.3],Caribbean,6.3
Female,1994,17.3 [11.5-23.9],Caribbean,17.3
Both sexes,1995,12.3 [8.9-16.1],Caribbean,12.3
Male,1995,6.6 [3.5-10.8],Caribbean,6.6
Female,1995,17.9 [12.0-24.5],Caribbean,17.9
Both sexes,1996,12.8 [9.3-16.6],Caribbean,12.8
Male,1996,7.0 [3.7-11.3],Caribbean,7.0
Female,1996,18.5 [12.5-25.2],Caribbean,18.5
Both sexes,1997,13.2 [9.7-17.1],Caribbean,13.2
Male,1997,7.3 [3.9-11.7],Caribbean,7.3
Female,1997,19.0 [13.0-25.8],Caribbean,19.0
Both sexes,1998,13.7 [10.1-17.6],Caribbean,13.7
Male,1998,7.7 [4.2-12.2],Caribbean,7.7
Female,1998,19.6 [13.5-26.5],Caribbean,19.6
Both sexes,1999,14.1 [10.5-18.1],Caribbean,14.1
Male,1999,8.0 [4.4-12.7],Caribbean,8.0
Female,1999,20.2 [14.0-27.0],Caribbean,20.2
Both sexes,2000,14.6 [10.9-18.6],Caribbean,14.6
Male,2000,8.4 [4.7-13.2],Caribbean,8.4
Female,2000,20.8 [14.5-27.7],Caribbean,20.8
Both sexes,2001,15.1 [11.3-19.1],Caribbean,15.1
Male,2001,8.8 [5.0-13.7],Caribbean,8.8
Female,2001,21.4 [15.0-28.3],Caribbean,21.4
Both sexes,2002,15.6 [11.8-19.6],Caribbean,15.6
Male,2002,9.2 [5.3-14.3],Caribbean,9.2
Female,2002,22.0 [15.6-28.9],Caribbean,22.0
Both sexes,2003,16.1 [12.2-20.2],Caribbean,16.1
Male,2003,9.7 [5.6-14.8],Caribbean,9.7
Female,2003,22.6 [16.1-29.6],Caribbean,22.6
Both sexes,2004,16.6 [12.7-20.8],Caribbean,16.6
Male,2004,10.1 [5.9-15.3],Caribbean,10.1
