Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.5 [0.6-2.8],Central Africa,1.5
Male,1975,0.5 [0.1-1.4],Central Africa,0.5
Female,1975,2.4 [0.9-4.9],Central Africa,2.4
Both sexes,1976,1.5 [0.7-2.9],Central Africa,1.5
Male,1976,0.5 [0.1-1.4],Central Africa,0.5
Female,1976,2.5 [1.0-5.0],Central Africa,2.5
Both sexes,1977,1.6 [0.7-3.0],Central Africa,1.6
Male,1977,0.6 [0.1-1.5],Central Africa,0.6
Female,1977,2.6 [1.1-5.1],Central Africa,2.6
Both sexes,1978,1.7 [0.8-3.0],Central Africa,1.7
Male,1978,0.6 [0.2-1.5],Central Africa,0.6
Female,1978,2.8 [1.2-5.3],Central Africa,2.8
Both sexes,1979,1.8 [0.9-3.1],Central Africa,1.8
Male,1979,0.6 [0.2-1.6],Central Africa,0.6
Female,1979,2.9 [1.3-5.4],Central Africa,2.9
Both sexes,1980,1.9 [0.9-3.2],Central Africa,1.9
Male,1980,0.7 [0.2-1.6],Central Africa,0.7
Female,1980,3.0 [1.4-5.6],Central Africa,3.0
Both sexes,1981,2.0 [1.0-3.3],Central Africa,2.0
Male,1981,0.7 [0.2-1.7],Central Africa,0.7
Female,1981,3.2 [1.5-5.7],Central Africa,3.2
Both sexes,1982,2.1 [1.1-3.5],Central Africa,2.1
Male,1982,0.8 [0.3-1.8],Central Africa,0.8
Female,1982,3.4 [1.6-5.9],Central Africa,3.4
Both sexes,1983,2.2 [1.2-3.6],Central Africa,2.2
Male,1983,0.8 [0.3-1.8],Central Africa,0.8
Female,1983,3.6 [1.7-6.2],Central Africa,3.6
Both sexes,1984,2.4 [1.3-3.8],Central Africa,2.4
Male,1984,0.9 [0.3-1.9],Central Africa,0.9
Female,1984,3.8 [1.9-6.4],Central Africa,3.8
Both sexes,1985,2.5 [1.4-4.0],Central Africa,2.5
Male,1985,1.0 [0.4-2.0],Central Africa,1.0
Female,1985,4.0 [2.1-6.7],Central Africa,4.0
Both sexes,1986,2.7 [1.5-4.2],Central Africa,2.7
Male,1986,1.0 [0.4-2.1],Central Africa,1.0
Female,1986,4.2 [2.2-7.0],Central Africa,4.2
Both sexes,1987,2.9 [1.7-4.4],Central Africa,2.9
Male,1987,1.1 [0.5-2.3],Central Africa,1.1
Female,1987,4.5 [2.4-7.3],Central Africa,4.5
Both sexes,1988,3.1 [1.8-4.6],Central Africa,3.1
Male,1988,1.2 [0.5-2.4],Central Africa,1.2
Female,1988,4.8 [2.6-7.6],Central Africa,4.8
Both sexes,1989,3.3 [2.0-4.9],Central Africa,3.3
Male,1989,1.3 [0.6-2.6],Central Africa,1.3
Female,1989,5.1 [2.8-8.0],Central Africa,5.1
Both sexes,1990,3.5 [2.1-5.2],Central Africa,3.5
Male,1990,1.4 [0.6-2.8],Central Africa,1.4
Female,1990,5.4 [3.0-8.4],Central Africa,5.4
Both sexes,1991,3.7 [2.3-5.4],Central Africa,3.7
Male,1991,1.5 [0.7-2.9],Central Africa,1.5
Female,1991,5.7 [3.3-8.8],Central Africa,5.7
Both sexes,1992,3.9 [2.5-5.7],Central Africa,3.9
Male,1992,1.7 [0.8-3.1],Central Africa,1.7
Female,1992,6.0 [3.5-9.2],Central Africa,6.0
Both sexes,1993,4.2 [2.7-6.0],Central Africa,4.2
Male,1993,1.8 [0.8-3.3],Central Africa,1.8
Female,1993,6.4 [3.8-9.7],Central Africa,6.4
Both sexes,1994,4.4 [2.9-6.4],Central Africa,4.4
Male,1994,1.9 [0.9-3.5],Central Africa,1.9
Female,1994,6.7 [4.0-10.1],Central Africa,6.7
Both sexes,1995,4.7 [3.1-6.7],Central Africa,4.7
Male,1995,2.1 [1.0-3.8],Central Africa,2.1
Female,1995,7.1 [4.3-10.6],Central Africa,7.1
Both sexes,1996,5.0 [3.3-7.0],Central Africa,5.0
Male,1996,2.2 [1.1-4.0],Central Africa,2.2
Female,1996,7.5 [4.6-11.0],Central Africa,7.5
Both sexes,1997,5.3 [3.6-7.4],Central Africa,5.3
Male,1997,2.4 [1.2-4.2],Central Africa,2.4
Female,1997,7.9 [4.9-11.5],Central Africa,7.9
Both sexes,1998,5.6 [3.8-7.8],Central Africa,5.6
Male,1998,2.6 [1.3-4.5],Central Africa,2.6
Female,1998,8.3 [5.3-12.0],Central Africa,8.3
Both sexes,1999,5.9 [4.1-8.2],Central Africa,5.9
Male,1999,2.7 [1.4-4.8],Central Africa,2.7
Female,1999,8.7 [5.6-12.5],Central Africa,8.7
Both sexes,2000,6.3 [4.4-8.6],Central Africa,6.3
Male,2000,2.9 [1.5-5.0],Central Africa,2.9
Female,2000,9.1 [5.9-13.1],Central Africa,9.1
Both sexes,2001,6.6 [4.6-9.0],Central Africa,6.6
Male,2001,3.1 [1.7-5.3],Central Africa,3.1
Female,2001,9.6 [6.3-13.6],Central Africa,9.6
Both sexes,2002,6.9 [4.9-9.4],Central Africa,6.9
Male,2002,3.3 [1.8-5.6],Central Africa,3.3
Female,2002,10.0 [6.6-14.2],Central Africa,10.0
Both sexes,2003,7.3 [5.3-9.8],Central Africa,7.3
Male,2003,3.6 [2.0-5.9],Central Africa,3.6
Female,2003,10.5 [7.0-14.8],Central Africa,10.5
Both sexes,2004,7.7 [5.6-10.2],Central Africa,7.7
Male,2004,3.8 [2.1-6.2],Central Africa,3.8
Female,2004,11.0 [7.4-15.3],Central Africa,11.0
Both sexes,2005,8.0 [5.9-10.7],Central Africa,8.0
Male,2005,4.0 [2.3-6.6],Central Africa,4.0
Female,2005,11.5 [7.8-15.8],Central Africa,11.5
Both sexes,2006,8.4 [6.2-11.1],Central Africa,8.4
Male,2006,4.3 [2.4-6.9],Central Africa,4.3
Female,2006,11.9 [8.2-16.4],Central Africa,11.9
Both sexes,2007,8.8 [6.5-11.6],Central Africa,8.8
Male,2007,4.5 [2.6-7.3],Central Africa,4.5
Female,2007,12.4 [8.6-17.0],Central Africa,12.4
Both sexes,2008,9.2 [6.8-12.0],Central Africa,9.2
Male,2008,4.8 [2.8-7.6],Central Africa,4.8
Female,2008,12.9 [9.0-17.6],Central Africa,12.9
Both sexes,2009,9.6 [7.1-12.5],Central Africa,9.6
Male,2009,5.1 [2.9-8.1],Central Africa,5.1
Female,2009,13.4 [9.4-18.2],Central Africa,13.4
Both sexes,2010,10.0 [7.4-13.0],Central Africa,10.0
Male,2010,5.3 [3.1-8.5],Central Africa,5.3
Female,2010,13.9 [9.7-18.9],Central Africa,13.9
Both sexes,2011,10.3 [7.7-13.5],Central Africa,10.3
Male,2011,5.6 [3.3-8.9],Central Africa,5.6
Female,2011,14.4 [10.1-19.5],Central Africa,14.4
Both sexes,2012,10.7 [8.0-14.0],Central Africa,10.7
Male,2012,5.9 [3.4-9.5],Central Africa,5.9
Female,2012,14.9 [10.4-20.2],Central Africa,14.9
Both sexes,2013,11.2 [8.3-14.5],Central Africa,11.2
Male,2013,6.2 [3.6-10.0],Central Africa,6.2
Female,2013,15.4 [10.7-21.0],Central Africa,15.4
Both sexes,2014,11.6 [8.6-15.1],Central Africa,11.6
Male,2014,6.5 [3.8-10.5],Central Africa,6.5
Female,2014,15.9 [11.1-21.7],Central Africa,15.9
Both sexes,2015,12.0 [8.8-15.7],Central Africa,12.0
Male,2015,6.9 [3.9-11.1],Central Africa,6.9
Female,2015,16.4 [11.3-22.4],Central Africa,16.4
Both sexes,2016,12.4 [9.1-16.3],Central Africa,12.4
Male,2016,7.2 [4.0-11.6],Central Africa,7.2
Female,2016,16.9 [11.6-23.2],Central Africa,16.9
