Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.8 [7.3-15.0],Middle East,10.8
Male,1975,5.9 [2.8-10.2],Middle East,5.9
Female,1975,16.2 [9.9-23.6],Middle East,16.2
Both sexes,1976,11.4 [7.9-15.6],Middle East,11.4
Male,1976,6.3 [3.2-10.7],Middle East,6.3
Female,1976,17.1 [10.9-24.3],Middle East,17.1
Both sexes,1977,12.1 [8.6-16.1],Middle East,12.1
Male,1977,6.8 [3.6-11.1],Middle East,6.8
Female,1977,17.9 [11.9-25.0],Middle East,17.9
Both sexes,1978,12.7 [9.3-16.6],Middle East,12.7
Male,1978,7.3 [4.1-11.5],Middle East,7.3
Female,1978,18.8 [12.9-25.7],Middle East,18.8
Both sexes,1979,13.3 [10.0-17.1],Middle East,13.3
Male,1979,7.9 [4.6-12.0],Middle East,7.9
Female,1979,19.7 [13.9-26.3],Middle East,19.7
Both sexes,1980,14.0 [10.7-17.6],Middle East,14.0
Male,1980,8.4 [5.1-12.5],Middle East,8.4
Female,1980,20.6 [14.9-27.0],Middle East,20.6
Both sexes,1981,14.6 [11.4-18.2],Middle East,14.6
Male,1981,9.0 [5.7-13.2],Middle East,9.0
Female,1981,21.4 [15.8-27.6],Middle East,21.4
Both sexes,1982,15.2 [12.1-18.8],Middle East,15.2
Male,1982,9.6 [6.2-13.7],Middle East,9.6
Female,1982,22.3 [16.8-28.3],Middle East,22.3
Both sexes,1983,15.8 [12.7-19.3],Middle East,15.8
Male,1983,10.2 [6.8-14.3],Middle East,10.2
Female,1983,23.1 [17.8-29.0],Middle East,23.1
Both sexes,1984,16.5 [13.4-19.9],Middle East,16.5
Male,1984,10.8 [7.4-14.9],Middle East,10.8
Female,1984,24.0 [18.7-29.6],Middle East,24.0
Both sexes,1985,17.1 [14.1-20.5],Middle East,17.1
Male,1985,11.4 [8.0-15.5],Middle East,11.4
Female,1985,24.8 [19.6-30.2],Middle East,24.8
Both sexes,1986,17.7 [14.7-21.0],Middle East,17.7
Male,1986,12.0 [8.6-16.1],Middle East,12.0
Female,1986,25.6 [20.5-30.9],Middle East,25.6
Both sexes,1987,18.3 [15.3-21.6],Middle East,18.3
Male,1987,12.6 [9.1-16.7],Middle East,12.6
Female,1987,26.3 [21.3-31.6],Middle East,26.3
Both sexes,1988,18.9 [15.9-22.1],Middle East,18.9
Male,1988,13.2 [9.7-17.3],Middle East,13.2
Female,1988,27.1 [22.1-32.3],Middle East,27.1
Both sexes,1989,19.5 [16.5-22.7],Middle East,19.5
Male,1989,13.8 [10.2-17.9],Middle East,13.8
Female,1989,27.8 [22.9-32.9],Middle East,27.8
Both sexes,1990,20.0 [17.1-23.3],Middle East,20.0
Male,1990,14.4 [10.8-18.6],Middle East,14.4
Female,1990,28.5 [23.7-33.4],Middle East,28.5
Both sexes,1991,20.6 [17.7-23.8],Middle East,20.6
Male,1991,15.0 [11.3-19.2],Middle East,15.0
Female,1991,29.1 [24.4-34.0],Middle East,29.1
Both sexes,1992,21.1 [18.2-24.3],Middle East,21.1
Male,1992,15.6 [11.9-19.8],Middle East,15.6
Female,1992,29.7 [25.1-34.6],Middle East,29.7
Both sexes,1993,21.7 [18.7-24.9],Middle East,21.7
Male,1993,16.2 [12.4-20.4],Middle East,16.2
Female,1993,30.3 [25.7-35.1],Middle East,30.3
Both sexes,1994,22.2 [19.3-25.4],Middle East,22.2
Male,1994,16.8 [13.0-20.9],Middle East,16.8
Female,1994,30.9 [26.3-35.6],Middle East,30.9
Both sexes,1995,22.9 [19.9-26.0],Middle East,22.9
Male,1995,17.3 [13.5-21.5],Middle East,17.3
Female,1995,31.5 [27.0-36.2],Middle East,31.5
Both sexes,1996,23.5 [20.6-26.7],Middle East,23.5
Male,1996,17.9 [14.1-22.1],Middle East,17.9
Female,1996,32.0 [27.6-36.6],Middle East,32.0
Both sexes,1997,24.2 [21.3-27.4],Middle East,24.2
Male,1997,18.5 [14.6-22.6],Middle East,18.5
Female,1997,32.5 [28.1-37.1],Middle East,32.5
Both sexes,1998,25.0 [22.1-28.1],Middle East,25.0
Male,1998,19.0 [15.1-23.2],Middle East,19.0
Female,1998,33.0 [28.6-37.6],Middle East,33.0
Both sexes,1999,25.6 [22.7-28.7],Middle East,25.6
Male,1999,19.6 [15.7-23.8],Middle East,19.6
Female,1999,33.5 [29.2-38.1],Middle East,33.5
Both sexes,2000,26.2 [23.3-29.2],Middle East,26.2
Male,2000,20.1 [16.2-24.3],Middle East,20.1
Female,2000,34.0 [29.7-38.4],Middle East,34.0
Both sexes,2001,26.7 [23.8-29.7],Middle East,26.7
Male,2001,20.7 [16.8-24.9],Middle East,20.7
Female,2001,34.5 [30.2-38.9],Middle East,34.5
Both sexes,2002,27.1 [24.2-30.1],Middle East,27.1
Male,2002,21.3 [17.4-25.4],Middle East,21.3
Female,2002,35.0 [30.7-39.4],Middle East,35.0
Both sexes,2003,27.5 [24.6-30.5],Middle East,27.5
Male,2003,21.9 [18.0-26.1],Middle East,21.9
Female,2003,35.5 [31.3-40.0],Middle East,35.5
Both sexes,2004,27.9 [25.0-31.0],Middle East,27.9
Male,2004,22.5 [18.5-26.6],Middle East,22.5
Female,2004,36.0 [31.7-40.4],Middle East,36.0
Both sexes,2005,28.4 [25.5-31.5],Middle East,28.4
Male,2005,23.1 [19.1-27.3],Middle East,23.1
Female,2005,36.5 [32.2-40.9],Middle East,36.5
Both sexes,2006,29.0 [26.0-32.1],Middle East,29.0
Male,2006,23.7 [19.7-27.9],Middle East,23.7
Female,2006,37.0 [32.6-41.4],Middle East,37.0
Both sexes,2007,29.6 [26.6-32.6],Middle East,29.6
Male,2007,24.4 [20.3-28.7],Middle East,24.4
Female,2007,37.5 [33.1-42.0],Middle East,37.5
Both sexes,2008,30.2 [27.1-33.3],Middle East,30.2
Male,2008,25.0 [20.8-29.4],Middle East,25.0
Female,2008,38.0 [33.5-42.5],Middle East,38.0
Both sexes,2009,30.8 [27.6-34.0],Middle East,30.8
Male,2009,25.7 [21.4-30.2],Middle East,25.7
Female,2009,38.6 [33.9-43.2],Middle East,38.6
Both sexes,2010,31.5 [28.2-34.8],Middle East,31.5
Male,2010,26.4 [21.9-31.0],Middle East,26.4
Female,2010,39.1 [34.3-43.8],Middle East,39.1
Both sexes,2011,32.1 [28.7-35.5],Middle East,32.1
Male,2011,27.1 [22.5-31.9],Middle East,27.1
Female,2011,39.6 [34.6-44.6],Middle East,39.6
Both sexes,2012,32.8 [29.2-36.3],Middle East,32.8
Male,2012,27.8 [23.0-32.8],Middle East,27.8
Female,2012,40.1 [34.9-45.3],Middle East,40.1
Both sexes,2013,33.4 [29.7-37.1],Middle East,33.4
Male,2013,28.5 [23.4-33.8],Middle East,28.5
Female,2013,40.7 [35.1-46.0],Middle East,40.7
Both sexes,2014,34.1 [30.1-38.0],Middle East,34.1
Male,2014,29.3 [23.9-34.8],Middle East,29.3
Female,2014,41.2 [35.4-46.8],Middle East,41.2
Both sexes,2015,34.7 [30.5-38.8],Middle East,34.7
Male,2015,30.0 [24.3-35.9],Middle East,30.0
Female,2015,41.7 [35.6-47.7],Middle East,41.7
Both sexes,2016,35.4 [31.0-39.8],Middle East,35.4
Male,2016,30.8 [24.8-37.0],Middle East,30.8
Female,2016,42.3 [35.8-48.6],Middle East,42.3
