Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.4 [0.6-2.6],West Africa,1.4
Male,1975,0.4 [0.1-1.2],West Africa,0.4
Female,1975,2.3 [0.9-4.7],West Africa,2.3
Both sexes,1976,1.5 [0.7-2.7],West Africa,1.5
Male,1976,0.5 [0.1-1.3],West Africa,0.5
Female,1976,2.5 [1.0-4.8],West Africa,2.5
Both sexes,1977,1.6 [0.8-2.8],West Africa,1.6
Male,1977,0.5 [0.1-1.3],West Africa,0.5
Female,1977,2.6 [1.1-4.9],West Africa,2.6
Both sexes,1978,1.7 [0.8-2.9],West Africa,1.7
Male,1978,0.5 [0.1-1.4],West Africa,0.5
Female,1978,2.8 [1.3-5.1],West Africa,2.8
Both sexes,1979,1.8 [0.9-3.0],West Africa,1.8
Male,1979,0.6 [0.2-1.4],West Africa,0.6
Female,1979,2.9 [1.4-5.3],West Africa,2.9
Both sexes,1980,1.8 [1.0-3.1],West Africa,1.8
Male,1980,0.6 [0.2-1.5],West Africa,0.6
Female,1980,3.1 [1.5-5.4],West Africa,3.1
Both sexes,1981,2.0 [1.1-3.2],West Africa,2.0
Male,1981,0.6 [0.2-1.5],West Africa,0.6
Female,1981,3.2 [1.6-5.5],West Africa,3.2
Both sexes,1982,2.1 [1.2-3.3],West Africa,2.1
Male,1982,0.7 [0.2-1.6],West Africa,0.7
Female,1982,3.4 [1.8-5.7],West Africa,3.4
Both sexes,1983,2.2 [1.3-3.4],West Africa,2.2
Male,1983,0.7 [0.3-1.7],West Africa,0.7
Female,1983,3.5 [1.9-5.9],West Africa,3.5
Both sexes,1984,2.3 [1.3-3.5],West Africa,2.3
Male,1984,0.8 [0.3-1.7],West Africa,0.8
Female,1984,3.7 [2.0-6.1],West Africa,3.7
Both sexes,1985,2.4 [1.4-3.7],West Africa,2.4
Male,1985,0.8 [0.3-1.8],West Africa,0.8
Female,1985,3.9 [2.2-6.3],West Africa,3.9
Both sexes,1986,2.5 [1.5-3.8],West Africa,2.5
Male,1986,0.9 [0.3-1.9],West Africa,0.9
Female,1986,4.0 [2.3-6.5],West Africa,4.0
