Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.9 [4.9-11.9],Balkans,7.9
Male,1975,5.2 [2.4-9.6],Balkans,5.2
Female,1975,10.3 [5.4-16.9],Balkans,10.3
Both sexes,1976,8.2 [5.2-12.0],Balkans,8.2
Male,1976,5.5 [2.6-9.8],Balkans,5.5
Female,1976,10.6 [5.8-17.0],Balkans,10.6
Both sexes,1977,8.5 [5.5-12.2],Balkans,8.5
Male,1977,5.8 [2.9-10.0],Balkans,5.8
Female,1977,10.9 [6.2-17.1],Balkans,10.9
Both sexes,1978,8.8 [5.8-12.4],Balkans,8.8
Male,1978,6.0 [3.1-10.3],Balkans,6.0
Female,1978,11.2 [6.5-17.2],Balkans,11.2
Both sexes,1979,9.0 [6.1-12.6],Balkans,9.0
Male,1979,6.3 [3.4-10.5],Balkans,6.3
Female,1979,11.5 [6.9-17.3],Balkans,11.5
Both sexes,1980,9.3 [6.5-12.8],Balkans,9.3
Male,1980,6.6 [3.7-10.7],Balkans,6.6
Female,1980,11.8 [7.2-17.4],Balkans,11.8
Both sexes,1981,9.6 [6.8-13.0],Balkans,9.6
Male,1981,6.9 [3.9-10.9],Balkans,6.9
Female,1981,12.1 [7.6-17.6],Balkans,12.1
Both sexes,1982,9.9 [7.1-13.2],Balkans,9.9
Male,1982,7.2 [4.2-11.2],Balkans,7.2
Female,1982,12.3 [7.9-17.7],Balkans,12.3
Both sexes,1983,10.2 [7.4-13.4],Balkans,10.2
Male,1983,7.5 [4.5-11.5],Balkans,7.5
Female,1983,12.6 [8.3-17.8],Balkans,12.6
Both sexes,1984,10.5 [7.7-13.6],Balkans,10.5
Male,1984,7.8 [4.8-11.8],Balkans,7.8
Female,1984,12.9 [8.6-18.0],Balkans,12.9
Both sexes,1985,10.8 [8.1-13.9],Balkans,10.8
Male,1985,8.1 [5.1-12.1],Balkans,8.1
Female,1985,13.2 [8.9-18.2],Balkans,13.2
Both sexes,1986,11.1 [8.4-14.1],Balkans,11.1
Male,1986,8.5 [5.4-12.4],Balkans,8.5
Female,1986,13.5 [9.3-18.4],Balkans,13.5
Both sexes,1987,11.4 [8.7-14.4],Balkans,11.4
Male,1987,8.8 [5.7-12.8],Balkans,8.8
Female,1987,13.7 [9.6-18.6],Balkans,13.7
Both sexes,1988,11.7 [9.0-14.7],Balkans,11.7
Male,1988,9.1 [6.0-13.1],Balkans,9.1
Female,1988,14.0 [9.9-18.8],Balkans,14.0
Both sexes,1989,12.0 [9.3-15.0],Balkans,12.0
Male,1989,9.5 [6.3-13.5],Balkans,9.5
Female,1989,14.3 [10.1-19.0],Balkans,14.3
Both sexes,1990,12.3 [9.6-15.3],Balkans,12.3
Male,1990,9.8 [6.6-13.9],Balkans,9.8
Female,1990,14.5 [10.4-19.2],Balkans,14.5
Both sexes,1991,12.6 [9.9-15.6],Balkans,12.6
Male,1991,10.2 [6.9-14.4],Balkans,10.2
Female,1991,14.8 [10.7-19.4],Balkans,14.8
Both sexes,1992,12.9 [10.2-15.9],Balkans,12.9
Male,1992,10.5 [7.2-14.7],Balkans,10.5
Female,1992,15.0 [11.0-19.6],Balkans,15.0
Both sexes,1993,13.2 [10.5-16.2],Balkans,13.2
Male,1993,10.9 [7.5-15.1],Balkans,10.9
Female,1993,15.3 [11.3-19.9],Balkans,15.3
Both sexes,1994,13.6 [10.8-16.5],Balkans,13.6
Male,1994,11.3 [7.9-15.5],Balkans,11.3
Female,1994,15.6 [11.5-20.1],Balkans,15.6
Both sexes,1995,13.9 [11.1-16.8],Balkans,13.9
Male,1995,11.7 [8.1-15.9],Balkans,11.7
Female,1995,15.8 [11.8-20.4],Balkans,15.8
Both sexes,1996,14.2 [11.4-17.1],Balkans,14.2
Male,1996,12.0 [8.5-16.2],Balkans,12.0
Female,1996,16.1 [12.1-20.6],Balkans,16.1
Both sexes,1997,14.5 [11.7-17.5],Balkans,14.5
Male,1997,12.4 [8.8-16.6],Balkans,12.4
Female,1997,16.3 [12.4-20.8],Balkans,16.3
Both sexes,1998,14.8 [12.0-17.8],Balkans,14.8
Male,1998,12.8 [9.2-17.0],Balkans,12.8
Female,1998,16.6 [12.6-21.0],Balkans,16.6
Both sexes,1999,15.2 [12.3-18.1],Balkans,15.2
Male,1999,13.2 [9.6-17.4],Balkans,13.2
Female,1999,16.8 [12.9-21.3],Balkans,16.8
Both sexes,2000,15.5 [12.7-18.5],Balkans,15.5
Male,2000,13.7 [9.9-17.9],Balkans,13.7
Female,2000,17.1 [13.1-21.6],Balkans,17.1
Both sexes,2001,15.8 [13.0-18.8],Balkans,15.8
Male,2001,14.1 [10.3-18.3],Balkans,14.1
Female,2001,17.4 [13.4-21.8],Balkans,17.4
Both sexes,2002,16.2 [13.3-19.2],Balkans,16.2
Male,2002,14.5 [10.7-18.8],Balkans,14.5
Female,2002,17.7 [13.7-22.2],Balkans,17.7
Both sexes,2003,16.6 [13.7-19.6],Balkans,16.6
Male,2003,15.0 [11.1-19.3],Balkans,15.0
Female,2003,17.9 [13.9-22.5],Balkans,17.9
Both sexes,2004,16.9 [14.0-19.9],Balkans,16.9
Male,2004,15.4 [11.5-19.8],Balkans,15.4
Female,2004,18.2 [14.1-22.8],Balkans,18.2
Both sexes,2005,17.3 [14.4-20.3],Balkans,17.3
Male,2005,15.9 [11.9-20.3],Balkans,15.9
Female,2005,18.5 [14.4-23.2],Balkans,18.5
Both sexes,2006,17.7 [14.7-20.7],Balkans,17.7
Male,2006,16.3 [12.3-20.8],Balkans,16.3
Female,2006,18.8 [14.6-23.5],Balkans,18.8
Both sexes,2007,18.0 [15.1-21.1],Balkans,18.0
Male,2007,16.8 [12.8-21.2],Balkans,16.8
Female,2007,19.1 [14.8-23.9],Balkans,19.1
Both sexes,2008,18.4 [15.4-21.6],Balkans,18.4
Male,2008,17.2 [13.2-21.7],Balkans,17.2
Female,2008,19.4 [15.1-24.3],Balkans,19.4
Both sexes,2009,18.8 [15.7-22.0],Balkans,18.8
Male,2009,17.7 [13.5-22.3],Balkans,17.7
Female,2009,19.7 [15.2-24.6],Balkans,19.7
Both sexes,2010,19.2 [15.9-22.5],Balkans,19.2
Male,2010,18.2 [13.9-22.8],Balkans,18.2
Female,2010,20.0 [15.4-25.1],Balkans,20.0
Both sexes,2011,19.6 [16.2-23.0],Balkans,19.6
Male,2011,18.6 [14.2-23.5],Balkans,18.6
Female,2011,20.3 [15.6-25.5],Balkans,20.3
Both sexes,2012,20.0 [16.5-23.5],Balkans,20.0
Male,2012,19.1 [14.6-24.1],Balkans,19.1
Female,2012,20.6 [15.7-25.9],Balkans,20.6
Both sexes,2013,20.3 [16.8-24.0],Balkans,20.3
Male,2013,19.6 [14.9-24.9],Balkans,19.6
Female,2013,20.9 [15.8-26.4],Balkans,20.9
Both sexes,2014,20.7 [17.1-24.6],Balkans,20.7
Male,2014,20.1 [15.1-25.6],Balkans,20.1
Female,2014,21.2 [15.9-26.9],Balkans,21.2
Both sexes,2015,21.1 [17.2-25.2],Balkans,21.1
Male,2015,20.6 [15.3-26.3],Balkans,20.6
Female,2015,21.5 [16.0-27.4],Balkans,21.5
Both sexes,2016,21.5 [17.4-25.9],Balkans,21.5
Male,2016,21.1 [15.5-27.2],Balkans,21.1
Female,2016,21.8 [16.1-28.1],Balkans,21.8
