Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.3 [1.7-5.8],Southern Africa,3.3
Male,1975,1.1 [0.4-2.9],Southern Africa,1.1
Female,1975,5.3 [2.5-9.9],Southern Africa,5.3
Both sexes,1976,3.5 [1.9-6.1],Southern Africa,3.5
Male,1976,1.2 [0.4-3.0],Southern Africa,1.2
Female,1976,5.7 [2.8-10.3],Southern Africa,5.7
Both sexes,1977,3.8 [2.1-6.3],Southern Africa,3.8
Male,1977,1.3 [0.5-3.2],Southern Africa,1.3
Female,1977,6.0 [3.1-10.6],Southern Africa,6.0
Both sexes,1978,4.0 [2.3-6.5],Southern Africa,4.0
Male,1978,1.4 [0.5-3.3],Southern Africa,1.4
Female,1978,6.4 [3.3-10.8],Southern Africa,6.4
Both sexes,1979,4.2 [2.5-6.7],Southern Africa,4.2
Male,1979,1.5 [0.6-3.4],Southern Africa,1.5
Female,1979,6.7 [3.6-11.2],Southern Africa,6.7
Both sexes,1980,4.4 [2.7-6.9],Southern Africa,4.4
Male,1980,1.7 [0.6-3.5],Southern Africa,1.7
Female,1980,7.1 [3.9-11.5],Southern Africa,7.1
Both sexes,1981,4.7 [2.9-7.1],Southern Africa,4.7
Male,1981,1.8 [0.7-3.6],Southern Africa,1.8
Female,1981,7.4 [4.2-11.8],Southern Africa,7.4
Both sexes,1982,4.9 [3.0-7.3],Southern Africa,4.9
Male,1982,1.9 [0.8-3.8],Southern Africa,1.9
Female,1982,7.7 [4.4-12.1],Southern Africa,7.7
Both sexes,1983,5.0 [3.2-7.5],Southern Africa,5.0
Male,1983,2.0 [0.9-3.9],Southern Africa,2.0
Female,1983,8.0 [4.7-12.4],Southern Africa,8.0
Both sexes,1984,5.2 [3.4-7.7],Southern Africa,5.2
Male,1984,2.1 [0.9-4.0],Southern Africa,2.1
Female,1984,8.2 [4.9-12.6],Southern Africa,8.2
Both sexes,1985,5.4 [3.5-7.8],Southern Africa,5.4
Male,1985,2.1 [1.0-4.1],Southern Africa,2.1
Female,1985,8.5 [5.2-12.9],Southern Africa,8.5
Both sexes,1986,5.6 [3.7-8.0],Southern Africa,5.6
Male,1986,2.2 [1.0-4.2],Southern Africa,2.2
Female,1986,8.8 [5.4-13.2],Southern Africa,8.8
Both sexes,1987,5.8 [3.9-8.2],Southern Africa,5.8
Male,1987,2.3 [1.1-4.3],Southern Africa,2.3
Female,1987,9.0 [5.7-13.4],Southern Africa,9.0
Both sexes,1988,6.0 [4.1-8.4],Southern Africa,6.0
Male,1988,2.4 [1.2-4.4],Southern Africa,2.4
Female,1988,9.3 [5.9-13.7],Southern Africa,9.3
Both sexes,1989,6.2 [4.2-8.6],Southern Africa,6.2
Male,1989,2.5 [1.3-4.6],Southern Africa,2.5
Female,1989,9.6 [6.1-14.0],Southern Africa,9.6
Both sexes,1990,6.3 [4.4-8.8],Southern Africa,6.3
Male,1990,2.7 [1.3-4.7],Southern Africa,2.7
Female,1990,9.8 [6.3-14.2],Southern Africa,9.8
Both sexes,1991,6.5 [4.6-9.0],Southern Africa,6.5
Male,1991,2.8 [1.4-4.8],Southern Africa,2.8
Female,1991,10.1 [6.6-14.5],Southern Africa,10.1
Both sexes,1992,6.7 [4.7-9.2],Southern Africa,6.7
Male,1992,2.9 [1.5-5.0],Southern Africa,2.9
Female,1992,10.4 [6.9-14.8],Southern Africa,10.4
Both sexes,1993,7.0 [4.9-9.4],Southern Africa,7.0
Male,1993,3.0 [1.5-5.1],Southern Africa,3.0
Female,1993,10.7 [7.1-15.1],Southern Africa,10.7
Both sexes,1994,7.2 [5.1-9.7],Southern Africa,7.2
Male,1994,3.1 [1.6-5.3],Southern Africa,3.1
Female,1994,11.0 [7.3-15.4],Southern Africa,11.0
Both sexes,1995,7.4 [5.3-9.9],Southern Africa,7.4
Male,1995,3.3 [1.7-5.5],Southern Africa,3.3
Female,1995,11.3 [7.6-15.7],Southern Africa,11.3
Both sexes,1996,7.6 [5.5-10.2],Southern Africa,7.6
Male,1996,3.4 [1.8-5.6],Southern Africa,3.4
Female,1996,11.6 [7.9-16.1],Southern Africa,11.6
Both sexes,1997,7.9 [5.7-10.4],Southern Africa,7.9
Male,1997,3.5 [1.9-5.8],Southern Africa,3.5
Female,1997,12.0 [8.2-16.4],Southern Africa,12.0
Both sexes,1998,8.1 [5.9-10.7],Southern Africa,8.1
Male,1998,3.7 [2.0-6.0],Southern Africa,3.7
Female,1998,12.3 [8.5-16.8],Southern Africa,12.3
Both sexes,1999,8.4 [6.1-11.0],Southern Africa,8.4
Male,1999,3.8 [2.1-6.2],Southern Africa,3.8
Female,1999,12.7 [8.9-17.3],Southern Africa,12.7
Both sexes,2000,8.6 [6.4-11.4],Southern Africa,8.6
Male,2000,4.0 [2.2-6.4],Southern Africa,4.0
Female,2000,13.0 [9.2-17.7],Southern Africa,13.0
Both sexes,2001,8.9 [6.6-11.7],Southern Africa,8.9
Male,2001,4.1 [2.3-6.7],Southern Africa,4.1
Female,2001,13.4 [9.5-18.1],Southern Africa,13.4
Both sexes,2002,9.2 [6.8-12.0],Southern Africa,9.2
