Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.2 [0.5-2.5],West Africa,1.2
Male,1975,0.3 [0.1-1.0],West Africa,0.3
Female,1975,2.1 [0.8-4.5],West Africa,2.1
Both sexes,1976,1.3 [0.6-2.5],West Africa,1.3
Male,1976,0.4 [0.1-1.0],West Africa,0.4
Female,1976,2.2 [0.8-4.7],West Africa,2.2
Both sexes,1977,1.4 [0.6-2.6],West Africa,1.4
Male,1977,0.4 [0.1-1.1],West Africa,0.4
Female,1977,2.4 [0.9-4.8],West Africa,2.4
Both sexes,1978,1.5 [0.7-2.7],West Africa,1.5
Male,1978,0.4 [0.1-1.1],West Africa,0.4
Female,1978,2.5 [1.0-5.0],West Africa,2.5
Both sexes,1979,1.6 [0.7-2.8],West Africa,1.6
Male,1979,0.4 [0.1-1.2],West Africa,0.4
Female,1979,2.6 [1.1-5.1],West Africa,2.6
Both sexes,1980,1.6 [0.8-2.9],West Africa,1.6
Male,1980,0.5 [0.1-1.2],West Africa,0.5
Female,1980,2.8 [1.2-5.3],West Africa,2.8
Both sexes,1981,1.7 [0.9-3.0],West Africa,1.7
Male,1981,0.5 [0.2-1.3],West Africa,0.5
Female,1981,2.9 [1.4-5.4],West Africa,2.9
Both sexes,1982,1.8 [1.0-3.1],West Africa,1.8
Male,1982,0.6 [0.2-1.3],West Africa,0.6
Female,1982,3.1 [1.5-5.6],West Africa,3.1
Both sexes,1983,1.9 [1.0-3.2],West Africa,1.9
Male,1983,0.6 [0.2-1.4],West Africa,0.6
Female,1983,3.3 [1.6-5.8],West Africa,3.3
Both sexes,1984,2.0 [1.1-3.4],West Africa,2.0
Male,1984,0.6 [0.2-1.4],West Africa,0.6
Female,1984,3.4 [1.7-6.0],West Africa,3.4
Both sexes,1985,2.2 [1.2-3.5],West Africa,2.2
Male,1985,0.7 [0.2-1.5],West Africa,0.7
Female,1985,3.6 [1.9-6.2],West Africa,3.6
Both sexes,1986,2.3 [1.3-3.6],West Africa,2.3
Male,1986,0.7 [0.3-1.6],West Africa,0.7
Female,1986,3.8 [2.0-6.4],West Africa,3.8
Both sexes,1987,2.4 [1.4-3.8],West Africa,2.4
Male,1987,0.8 [0.3-1.7],West Africa,0.8
Female,1987,4.0 [2.2-6.6],West Africa,4.0
Both sexes,1988,2.5 [1.5-3.9],West Africa,2.5
Male,1988,0.8 [0.3-1.8],West Africa,0.8
Female,1988,4.2 [2.3-6.8],West Africa,4.2
Both sexes,1989,2.6 [1.6-4.0],West Africa,2.6
Male,1989,0.9 [0.3-1.8],West Africa,0.9
Female,1989,4.4 [2.5-7.1],West Africa,4.4
Both sexes,1990,2.8 [1.7-4.2],West Africa,2.8
Male,1990,0.9 [0.4-1.9],West Africa,0.9
Female,1990,4.6 [2.6-7.3],West Africa,4.6
Both sexes,1991,2.9 [1.8-4.3],West Africa,2.9
Male,1991,1.0 [0.4-2.0],West Africa,1.0
Female,1991,4.8 [2.8-7.5],West Africa,4.8
Both sexes,1992,3.1 [1.9-4.5],West Africa,3.1
Male,1992,1.1 [0.4-2.1],West Africa,1.1
Female,1992,5.0 [3.0-7.8],West Africa,5.0
Both sexes,1993,3.2 [2.1-4.7],West Africa,3.2
Male,1993,1.1 [0.5-2.2],West Africa,1.1
Female,1993,5.2 [3.1-8.1],West Africa,5.2
Both sexes,1994,3.4 [2.2-4.9],West Africa,3.4
Male,1994,1.2 [0.5-2.3],West Africa,1.2
Female,1994,5.5 [3.3-8.3],West Africa,5.5
Both sexes,1995,3.5 [2.3-5.1],West Africa,3.5
Male,1995,1.3 [0.6-2.4],West Africa,1.3
Female,1995,5.7 [3.5-8.6],West Africa,5.7
Both sexes,1996,3.7 [2.4-5.3],West Africa,3.7
Male,1996,1.3 [0.6-2.5],West Africa,1.3
Female,1996,6.0 [3.7-9.0],West Africa,6.0
Both sexes,1997,3.9 [2.6-5.5],West Africa,3.9
Male,1997,1.4 [0.6-2.6],West Africa,1.4
Female,1997,6.2 [3.9-9.3],West Africa,6.2
Both sexes,1998,4.0 [2.7-5.7],West Africa,4.0
Male,1998,1.5 [0.7-2.7],West Africa,1.5
Female,1998,6.5 [4.1-9.6],West Africa,6.5
Both sexes,1999,4.2 [2.9-5.9],West Africa,4.2
Male,1999,1.6 [0.7-2.9],West Africa,1.6
Female,1999,6.8 [4.3-10.0],West Africa,6.8
Both sexes,2000,4.4 [3.0-6.1],West Africa,4.4
Male,2000,1.7 [0.8-3.0],West Africa,1.7
Female,2000,7.1 [4.6-10.3],West Africa,7.1
Both sexes,2001,4.6 [3.2-6.4],West Africa,4.6
Male,2001,1.7 [0.9-3.1],West Africa,1.7
Female,2001,7.4 [4.8-10.7],West Africa,7.4
Both sexes,2002,4.9 [3.4-6.6],West Africa,4.9
Male,2002,1.8 [0.9-3.3],West Africa,1.8
Female,2002,7.7 [5.0-11.1],West Africa,7.7
Both sexes,2003,5.1 [3.6-6.9],West Africa,5.1
Male,2003,1.9 [1.0-3.4],West Africa,1.9
Female,2003,8.1 [5.3-11.5],West Africa,8.1
Both sexes,2004,5.3 [3.8-7.2],West Africa,5.3
Male,2004,2.0 [1.1-3.5],West Africa,2.0
Female,2004,8.4 [5.6-11.9],West Africa,8.4
Both sexes,2005,5.5 [4.0-7.5],West Africa,5.5
Male,2005,2.2 [1.1-3.7],West Africa,2.2
Female,2005,8.7 [5.9-12.3],West Africa,8.7
Both sexes,2006,5.8 [4.2-7.8],West Africa,5.8
Male,2006,2.3 [1.2-3.8],West Africa,2.3
Female,2006,9.1 [6.2-12.7],West Africa,9.1
Both sexes,2007,6.0 [4.4-8.0],West Africa,6.0
Male,2007,2.4 [1.3-4.0],West Africa,2.4
Female,2007,9.5 [6.4-13.2],West Africa,9.5
Both sexes,2008,6.3 [4.5-8.4],West Africa,6.3
Male,2008,2.5 [1.4-4.2],West Africa,2.5
Female,2008,9.8 [6.7-13.7],West Africa,9.8
Both sexes,2009,6.5 [4.7-8.7],West Africa,6.5
Male,2009,2.6 [1.4-4.4],West Africa,2.6
Female,2009,10.2 [7.0-14.1],West Africa,10.2
Both sexes,2010,6.8 [4.9-9.0],West Africa,6.8
Male,2010,2.8 [1.5-4.6],West Africa,2.8
Female,2010,10.6 [7.3-14.6],West Africa,10.6
Both sexes,2011,7.1 [5.2-9.4],West Africa,7.1
Male,2011,2.9 [1.6-4.8],West Africa,2.9
Female,2011,11.0 [7.6-15.1],West Africa,11.0
Both sexes,2012,7.4 [5.4-9.7],West Africa,7.4
Male,2012,3.1 [1.6-5.1],West Africa,3.1
Female,2012,11.5 [7.9-15.7],West Africa,11.5
Both sexes,2013,7.7 [5.6-10.1],West Africa,7.7
Male,2013,3.2 [1.7-5.4],West Africa,3.2
Female,2013,11.9 [8.1-16.3],West Africa,11.9
Both sexes,2014,8.0 [5.8-10.5],West Africa,8.0
Male,2014,3.4 [1.8-5.7],West Africa,3.4
Female,2014,12.3 [8.3-17.0],West Africa,12.3
Both sexes,2015,8.3 [6.0-11.0],West Africa,8.3
Male,2015,3.6 [1.9-6.1],West Africa,3.6
Female,2015,12.8 [8.6-17.7],West Africa,12.8
Both sexes,2016,8.7 [6.2-11.5],West Africa,8.7
Male,2016,3.8 [1.9-6.5],West Africa,3.8
Female,2016,13.3 [8.9-18.4],West Africa,13.3
