Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.0 [1.8-4.7],Southeast Asia,3.0
Male,1975,1.5 [0.6-3.0],Southeast Asia,1.5
Female,1975,4.5 [2.3-7.7],Southeast Asia,4.5
Both sexes,1976,3.0 [1.8-4.7],Southeast Asia,3.0
Male,1976,1.6 [0.6-3.1],Southeast Asia,1.6
Female,1976,4.5 [2.3-7.6],Southeast Asia,4.5
Both sexes,1977,3.1 [1.9-4.7],Southeast Asia,3.1
Male,1977,1.6 [0.7-3.1],Southeast Asia,1.6
Female,1977,4.5 [2.4-7.6],Southeast Asia,4.5
Both sexes,1978,3.1 [1.9-4.7],Southeast Asia,3.1
Male,1978,1.7 [0.7-3.2],Southeast Asia,1.7
Female,1978,4.6 [2.5-7.4],Southeast Asia,4.6
Both sexes,1979,3.2 [2.0-4.7],Southeast Asia,3.2
Male,1979,1.7 [0.8-3.2],Southeast Asia,1.7
Female,1979,4.6 [2.5-7.4],Southeast Asia,4.6
Both sexes,1980,3.2 [2.1-4.7],Southeast Asia,3.2
Male,1980,1.8 [0.8-3.2],Southeast Asia,1.8
Female,1980,4.6 [2.6-7.3],Southeast Asia,4.6
Both sexes,1981,3.2 [2.1-4.7],Southeast Asia,3.2
Male,1981,1.9 [0.9-3.3],Southeast Asia,1.9
Female,1981,4.6 [2.7-7.3],Southeast Asia,4.6
Both sexes,1982,3.3 [2.2-4.7],Southeast Asia,3.3
Male,1982,1.9 [0.9-3.3],Southeast Asia,1.9
Female,1982,4.6 [2.7-7.2],Southeast Asia,4.6
Both sexes,1983,3.3 [2.2-4.7],Southeast Asia,3.3
Male,1983,2.0 [1.0-3.4],Southeast Asia,2.0
Female,1983,4.7 [2.8-7.2],Southeast Asia,4.7
Both sexes,1984,3.4 [2.3-4.8],Southeast Asia,3.4
Male,1984,2.0 [1.0-3.5],Southeast Asia,2.0
Female,1984,4.7 [2.8-7.1],Southeast Asia,4.7
Both sexes,1985,3.4 [2.3-4.8],Southeast Asia,3.4
Male,1985,2.1 [1.1-3.5],Southeast Asia,2.1
Female,1985,4.7 [2.9-7.1],Southeast Asia,4.7
Both sexes,1986,3.5 [2.4-4.9],Southeast Asia,3.5
Male,1986,2.2 [1.1-3.6],Southeast Asia,2.2
Female,1986,4.8 [2.9-7.2],Southeast Asia,4.8
Both sexes,1987,3.5 [2.4-4.9],Southeast Asia,3.5
Male,1987,2.2 [1.2-3.7],Southeast Asia,2.2
Female,1987,4.8 [2.9-7.2],Southeast Asia,4.8
Both sexes,1988,3.6 [2.5-5.0],Southeast Asia,3.6
Male,1988,2.3 [1.3-3.8],Southeast Asia,2.3
Female,1988,4.8 [3.0-7.2],Southeast Asia,4.8
Both sexes,1989,3.6 [2.5-5.0],Southeast Asia,3.6
Male,1989,2.4 [1.3-3.9],Southeast Asia,2.4
Female,1989,4.9 [3.0-7.2],Southeast Asia,4.9
Both sexes,1990,3.7 [2.6-5.1],Southeast Asia,3.7
Male,1990,2.5 [1.4-4.0],Southeast Asia,2.5
Female,1990,4.9 [3.1-7.3],Southeast Asia,4.9
Both sexes,1991,3.8 [2.7-5.1],Southeast Asia,3.8
Male,1991,2.6 [1.4-4.1],Southeast Asia,2.6
Female,1991,4.9 [3.1-7.3],Southeast Asia,4.9
Both sexes,1992,3.8 [2.7-5.2],Southeast Asia,3.8
Male,1992,2.6 [1.5-4.2],Southeast Asia,2.6
Female,1992,5.0 [3.2-7.3],Southeast Asia,5.0
Both sexes,1993,3.9 [2.8-5.2],Southeast Asia,3.9
Male,1993,2.7 [1.5-4.3],Southeast Asia,2.7
Female,1993,5.0 [3.2-7.3],Southeast Asia,5.0
Both sexes,1994,4.0 [2.8-5.3],Southeast Asia,4.0
Male,1994,2.8 [1.6-4.4],Southeast Asia,2.8
Female,1994,5.1 [3.3-7.3],Southeast Asia,5.1
Both sexes,1995,4.0 [2.9-5.4],Southeast Asia,4.0
Male,1995,2.9 [1.7-4.5],Southeast Asia,2.9
Female,1995,5.1 [3.3-7.4],Southeast Asia,5.1
Both sexes,1996,4.1 [2.9-5.4],Southeast Asia,4.1
Male,1996,3.0 [1.7-4.7],Southeast Asia,3.0
Female,1996,5.1 [3.3-7.4],Southeast Asia,5.1
Both sexes,1997,4.2 [3.0-5.5],Southeast Asia,4.2
Male,1997,3.1 [1.8-4.8],Southeast Asia,3.1
Female,1997,5.2 [3.4-7.5],Southeast Asia,5.2
Both sexes,1998,4.3 [3.1-5.6],Southeast Asia,4.3
Male,1998,3.2 [1.9-5.0],Southeast Asia,3.2
Female,1998,5.2 [3.4-7.5],Southeast Asia,5.2
Both sexes,1999,4.3 [3.1-5.7],Southeast Asia,4.3
Male,1999,3.3 [2.0-5.1],Southeast Asia,3.3
Female,1999,5.3 [3.5-7.6],Southeast Asia,5.3
Both sexes,2000,4.4 [3.2-5.8],Southeast Asia,4.4
Male,2000,3.4 [2.0-5.3],Southeast Asia,3.4
Female,2000,5.3 [3.5-7.6],Southeast Asia,5.3
Both sexes,2001,4.5 [3.3-5.9],Southeast Asia,4.5
Male,2001,3.6 [2.1-5.4],Southeast Asia,3.6
