Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.9 [4.8-12.1],Eastern Europe,7.9
Male,1975,5.7 [2.6-10.8],Eastern Europe,5.7
Female,1975,9.9 [5.1-16.8],Eastern Europe,9.9
Both sexes,1976,8.2 [5.2-12.3],Eastern Europe,8.2
Male,1976,6.0 [2.9-10.9],Eastern Europe,6.0
Female,1976,10.2 [5.5-16.9],Eastern Europe,10.2
Both sexes,1977,8.6 [5.5-12.6],Eastern Europe,8.6
Male,1977,6.4 [3.1-11.2],Eastern Europe,6.4
Female,1977,10.5 [5.9-17.1],Eastern Europe,10.5
Both sexes,1978,8.9 [5.9-12.8],Eastern Europe,8.9
Male,1978,6.7 [3.4-11.4],Eastern Europe,6.7
Female,1978,10.9 [6.2-17.2],Eastern Europe,10.9
Both sexes,1979,9.3 [6.3-13.1],Eastern Europe,9.3
Male,1979,7.0 [3.7-11.7],Eastern Europe,7.0
Female,1979,11.2 [6.7-17.3],Eastern Europe,11.2
Both sexes,1980,9.6 [6.6-13.4],Eastern Europe,9.6
Male,1980,7.4 [4.0-12.1],Eastern Europe,7.4
Female,1980,11.6 [7.0-17.6],Eastern Europe,11.6
Both sexes,1981,10.0 [7.0-13.7],Eastern Europe,10.0
Male,1981,7.7 [4.3-12.3],Eastern Europe,7.7
Female,1981,11.9 [7.4-17.7],Eastern Europe,11.9
Both sexes,1982,10.3 [7.3-13.9],Eastern Europe,10.3
Male,1982,8.1 [4.6-12.7],Eastern Europe,8.1
Female,1982,12.2 [7.8-17.8],Eastern Europe,12.2
Both sexes,1983,10.6 [7.7-14.2],Eastern Europe,10.6
Male,1983,8.4 [5.0-13.0],Eastern Europe,8.4
Female,1983,12.5 [8.1-18.0],Eastern Europe,12.5
Both sexes,1984,11.0 [8.0-14.4],Eastern Europe,11.0
Male,1984,8.8 [5.3-13.4],Eastern Europe,8.8
Female,1984,12.8 [8.4-18.1],Eastern Europe,12.8
Both sexes,1985,11.3 [8.3-14.7],Eastern Europe,11.3
Male,1985,9.1 [5.6-13.8],Eastern Europe,9.1
Female,1985,13.1 [8.7-18.3],Eastern Europe,13.1
Both sexes,1986,11.6 [8.7-15.0],Eastern Europe,11.6
Male,1986,9.5 [5.9-14.1],Eastern Europe,9.5
Female,1986,13.4 [9.0-18.5],Eastern Europe,13.4
Both sexes,1987,11.9 [9.0-15.3],Eastern Europe,11.9
Male,1987,9.8 [6.2-14.4],Eastern Europe,9.8
Female,1987,13.7 [9.3-18.7],Eastern Europe,13.7
Both sexes,1988,12.2 [9.2-15.6],Eastern Europe,12.2
Male,1988,10.2 [6.5-14.8],Eastern Europe,10.2
Female,1988,13.9 [9.6-18.9],Eastern Europe,13.9
Both sexes,1989,12.5 [9.5-15.9],Eastern Europe,12.5
Male,1989,10.6 [6.8-15.2],Eastern Europe,10.6
Female,1989,14.2 [9.9-19.1],Eastern Europe,14.2
Both sexes,1990,12.8 [9.8-16.2],Eastern Europe,12.8
Male,1990,10.9 [7.1-15.6],Eastern Europe,10.9
Female,1990,14.4 [10.2-19.3],Eastern Europe,14.4
Both sexes,1991,13.1 [10.1-16.5],Eastern Europe,13.1
Male,1991,11.3 [7.4-16.0],Eastern Europe,11.3
Female,1991,14.7 [10.4-19.5],Eastern Europe,14.7
