Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.8 [4.5-12.4],Balkans,7.8
Male,1975,5.0 [1.9-10.1],Balkans,5.0
Female,1975,10.1 [4.7-18.0],Balkans,10.1
Both sexes,1976,8.1 [4.8-12.7],Balkans,8.1
Male,1976,5.3 [2.1-10.3],Balkans,5.3
Female,1976,10.5 [5.1-18.0],Balkans,10.5
Both sexes,1977,8.5 [5.1-12.9],Balkans,8.5
Male,1977,5.6 [2.3-10.6],Balkans,5.6
Female,1977,10.9 [5.5-18.2],Balkans,10.9
Both sexes,1978,8.8 [5.4-13.2],Balkans,8.8
Male,1978,5.9 [2.5-10.9],Balkans,5.9
Female,1978,11.2 [5.9-18.4],Balkans,11.2
Both sexes,1979,9.2 [5.8-13.5],Balkans,9.2
Male,1979,6.2 [2.8-11.3],Balkans,6.2
Female,1979,11.6 [6.3-18.6],Balkans,11.6
Both sexes,1980,9.5 [6.2-13.8],Balkans,9.5
Male,1980,6.5 [3.0-11.6],Balkans,6.5
Female,1980,12.0 [6.6-18.9],Balkans,12.0
Both sexes,1981,9.9 [6.5-14.1],Balkans,9.9
Male,1981,6.9 [3.3-12.0],Balkans,6.9
Female,1981,12.4 [7.0-19.2],Balkans,12.4
Both sexes,1982,10.2 [6.9-14.4],Balkans,10.2
Male,1982,7.2 [3.5-12.4],Balkans,7.2
Female,1982,12.7 [7.4-19.5],Balkans,12.7
Both sexes,1983,10.6 [7.2-14.7],Balkans,10.6
Male,1983,7.6 [3.8-12.8],Balkans,7.6
Female,1983,13.1 [7.7-19.7],Balkans,13.1
Both sexes,1984,10.9 [7.5-14.9],Balkans,10.9
Male,1984,7.9 [4.0-13.1],Balkans,7.9
Female,1984,13.4 [8.0-19.9],Balkans,13.4
Both sexes,1985,11.2 [7.7-15.2],Balkans,11.2
Male,1985,8.2 [4.3-13.5],Balkans,8.2
Female,1985,13.7 [8.4-20.2],Balkans,13.7
Both sexes,1986,11.4 [8.0-15.5],Balkans,11.4
Male,1986,8.5 [4.5-13.8],Balkans,8.5
Female,1986,13.9 [8.6-20.3],Balkans,13.9
Both sexes,1987,11.7 [8.3-15.7],Balkans,11.7
Male,1987,8.8 [4.7-14.1],Balkans,8.8
Female,1987,14.2 [8.9-20.5],Balkans,14.2
Both sexes,1988,12.0 [8.6-16.0],Balkans,12.0
Male,1988,9.1 [5.0-14.4],Balkans,9.1
Female,1988,14.4 [9.2-20.7],Balkans,14.4
Both sexes,1989,12.2 [8.8-16.2],Balkans,12.2
Male,1989,9.4 [5.2-14.8],Balkans,9.4
Female,1989,14.6 [9.4-20.9],Balkans,14.6
Both sexes,1990,12.5 [9.1-16.5],Balkans,12.5
Male,1990,9.7 [5.4-15.1],Balkans,9.7
Female,1990,14.9 [9.6-21.0],Balkans,14.9
Both sexes,1991,12.7 [9.3-16.8],Balkans,12.7
Male,1991,10.0 [5.7-15.4],Balkans,10.0
