Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.8 [2.2-8.7],Oceania,4.8
Male,1975,3.0 [0.8-7.5],Oceania,3.0
Female,1975,7.0 [2.5-14.0],Oceania,7.0
Both sexes,1976,5.0 [2.4-8.8],Oceania,5.0
Male,1976,3.1 [0.9-7.7],Oceania,3.1
Female,1976,7.2 [2.7-14.2],Oceania,7.2
Both sexes,1977,5.2 [2.5-9.0],Oceania,5.2
Male,1977,3.3 [0.9-7.8],Oceania,3.3
Female,1977,7.5 [2.9-14.4],Oceania,7.5
Both sexes,1978,5.4 [2.7-9.2],Oceania,5.4
Male,1978,3.4 [1.0-7.9],Oceania,3.4
Female,1978,7.8 [3.2-14.7],Oceania,7.8
Both sexes,1979,5.7 [2.9-9.4],Oceania,5.7
Male,1979,3.6 [1.1-8.0],Oceania,3.6
Female,1979,8.2 [3.4-15.1],Oceania,8.2
Both sexes,1980,5.9 [3.2-9.7],Oceania,5.9
Male,1980,3.7 [1.2-8.2],Oceania,3.7
Female,1980,8.5 [3.7-15.3],Oceania,8.5
Both sexes,1981,6.2 [3.4-10.0],Oceania,6.2
Male,1981,3.9 [1.4-8.4],Oceania,3.9
Female,1981,8.9 [4.0-15.7],Oceania,8.9
Both sexes,1982,6.5 [3.6-10.3],Oceania,6.5
Male,1982,4.1 [1.5-8.7],Oceania,4.1
Female,1982,9.2 [4.3-16.0],Oceania,9.2
Both sexes,1983,6.8 [3.9-10.7],Oceania,6.8
Male,1983,4.3 [1.6-8.9],Oceania,4.3
Female,1983,9.6 [4.6-16.4],Oceania,9.6
Both sexes,1984,7.1 [4.2-11.0],Oceania,7.1
Male,1984,4.5 [1.8-9.2],Oceania,4.5
Female,1984,10.0 [5.0-16.8],Oceania,10.0
Both sexes,1985,7.5 [4.4-11.4],Oceania,7.5
Male,1985,4.8 [1.9-9.5],Oceania,4.8
Female,1985,10.5 [5.4-17.2],Oceania,10.5
Both sexes,1986,7.8 [4.8-11.8],Oceania,7.8
Male,1986,5.0 [2.1-9.8],Oceania,5.0
Female,1986,10.9 [5.7-17.6],Oceania,10.9
Both sexes,1987,8.2 [5.1-12.1],Oceania,8.2
Male,1987,5.3 [2.2-10.1],Oceania,5.3
Female,1987,11.3 [6.1-18.2],Oceania,11.3
Both sexes,1988,8.5 [5.3-12.5],Oceania,8.5
Male,1988,5.5 [2.4-10.4],Oceania,5.5
Female,1988,11.8 [6.5-18.6],Oceania,11.8
Both sexes,1989,8.9 [5.7-12.9],Oceania,8.9
Male,1989,5.8 [2.5-10.8],Oceania,5.8
Female,1989,12.3 [6.9-19.1],Oceania,12.3
Both sexes,1990,9.3 [6.0-13.3],Oceania,9.3
Male,1990,6.1 [2.7-11.1],Oceania,6.1
Female,1990,12.7 [7.3-19.6],Oceania,12.7
Both sexes,1991,9.7 [6.3-13.7],Oceania,9.7
Male,1991,6.4 [2.9-11.4],Oceania,6.4
Female,1991,13.2 [7.7-20.1],Oceania,13.2
Both sexes,1992,10.1 [6.7-14.1],Oceania,10.1
Male,1992,6.7 [3.1-11.8],Oceania,6.7
Female,1992,13.7 [8.1-20.5],Oceania,13.7
Both sexes,1993,10.5 [7.1-14.5],Oceania,10.5
Male,1993,7.0 [3.3-12.2],Oceania,7.0
Female,1993,14.1 [8.5-20.9],Oceania,14.1
Both sexes,1994,10.9 [7.4-15.0],Oceania,10.9
Male,1994,7.3 [3.6-12.6],Oceania,7.3
Female,1994,14.6 [9.0-21.4],Oceania,14.6
Both sexes,1995,11.3 [7.8-15.4],Oceania,11.3
Male,1995,7.6 [3.8-12.9],Oceania,7.6
Female,1995,15.1 [9.4-21.9],Oceania,15.1
Both sexes,1996,11.7 [8.2-15.8],Oceania,11.7
Male,1996,8.0 [4.0-13.3],Oceania,8.0
Female,1996,15.6 [9.9-22.4],Oceania,15.6
Both sexes,1997,12.2 [8.6-16.3],Oceania,12.2
Male,1997,8.3 [4.3-13.7],Oceania,8.3
Female,1997,16.1 [10.4-22.9],Oceania,16.1
Both sexes,1998,12.6 [9.0-16.8],Oceania,12.6
Male,1998,8.7 [4.6-14.1],Oceania,8.7
Female,1998,16.6 [10.9-23.3],Oceania,16.6
Both sexes,1999,13.1 [9.4-17.2],Oceania,13.1
Male,1999,9.0 [4.9-14.5],Oceania,9.0
Female,1999,17.1 [11.4-23.8],Oceania,17.1
Both sexes,2000,13.5 [9.8-17.6],Oceania,13.5
Male,2000,9.4 [5.2-14.9],Oceania,9.4
Female,2000,17.7 [12.0-24.3],Oceania,17.7
Both sexes,2001,14.0 [10.2-18.1],Oceania,14.0
Male,2001,9.8 [5.5-15.3],Oceania,9.8
Female,2001,18.2 [12.5-24.8],Oceania,18.2
Both sexes,2002,14.4 [10.7-18.7],Oceania,14.4
Male,2002,10.2 [5.9-15.8],Oceania,10.2
Female,2002,18.7 [13.0-25.4],Oceania,18.7
Both sexes,2003,14.9 [11.2-19.2],Oceania,14.9
Male,2003,10.7 [6.3-16.3],Oceania,10.7
Female,2003,19.3 [13.5-25.9],Oceania,19.3
Both sexes,2004,15.4 [11.6-19.8],Oceania,15.4
Male,2004,11.1 [6.7-16.8],Oceania,11.1
Female,2004,19.8 [14.1-26.4],Oceania,19.8
Both sexes,2005,15.9 [12.1-20.3],Oceania,15.9
Male,2005,11.6 [7.0-17.3],Oceania,11.6
Female,2005,20.4 [14.6-26.9],Oceania,20.4
Both sexes,2006,16.5 [12.6-20.9],Oceania,16.5
Male,2006,12.1 [7.4-17.8],Oceania,12.1
Female,2006,21.0 [15.1-27.5],Oceania,21.0
Both sexes,2007,17.0 [13.1-21.5],Oceania,17.0
Male,2007,12.6 [7.8-18.4],Oceania,12.6
Female,2007,21.6 [15.6-28.1],Oceania,21.6
Both sexes,2008,17.6 [13.6-22.1],Oceania,17.6
