Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.2 [0.5-2.6],East Africa,1.2
Male,1975,0.4 [0.1-1.2],East Africa,0.4
Female,1975,2.0 [0.7-4.6],East Africa,2.0
Both sexes,1976,1.3 [0.5-2.7],East Africa,1.3
Male,1976,0.4 [0.1-1.3],East Africa,0.4
Female,1976,2.1 [0.7-4.7],East Africa,2.1
Both sexes,1977,1.4 [0.6-2.7],East Africa,1.4
Male,1977,0.4 [0.1-1.3],East Africa,0.4
Female,1977,2.2 [0.8-4.8],East Africa,2.2
Both sexes,1978,1.4 [0.6-2.8],East Africa,1.4
Male,1978,0.5 [0.1-1.3],East Africa,0.5
Female,1978,2.3 [0.9-4.9],East Africa,2.3
Both sexes,1979,1.5 [0.7-2.9],East Africa,1.5
Male,1979,0.5 [0.1-1.4],East Africa,0.5
Female,1979,2.4 [1.0-5.1],East Africa,2.4
Both sexes,1980,1.6 [0.7-3.0],East Africa,1.6
Male,1980,0.5 [0.1-1.4],East Africa,0.5
Female,1980,2.6 [1.0-5.2],East Africa,2.6
Both sexes,1981,1.7 [0.8-3.1],East Africa,1.7
Male,1981,0.6 [0.2-1.5],East Africa,0.6
Female,1981,2.7 [1.1-5.3],East Africa,2.7
Both sexes,1982,1.8 [0.9-3.2],East Africa,1.8
Male,1982,0.6 [0.2-1.5],East Africa,0.6
Female,1982,2.8 [1.2-5.5],East Africa,2.8
Both sexes,1983,1.8 [0.9-3.3],East Africa,1.8
Male,1983,0.6 [0.2-1.6],East Africa,0.6
Female,1983,3.0 [1.3-5.6],East Africa,3.0
Both sexes,1984,1.9 [1.0-3.4],East Africa,1.9
Male,1984,0.7 [0.2-1.6],East Africa,0.7
Female,1984,3.1 [1.4-5.8],East Africa,3.1
Both sexes,1985,2.0 [1.1-3.5],East Africa,2.0
Male,1985,0.7 [0.2-1.7],East Africa,0.7
Female,1985,3.2 [1.5-6.0],East Africa,3.2
Both sexes,1986,2.1 [1.1-3.7],East Africa,2.1
Male,1986,0.8 [0.3-1.8],East Africa,0.8
Female,1986,3.4 [1.6-6.2],East Africa,3.4
Both sexes,1987,2.2 [1.2-3.8],East Africa,2.2
Male,1987,0.8 [0.3-1.9],East Africa,0.8
Female,1987,3.5 [1.7-6.3],East Africa,3.5
Both sexes,1988,2.3 [1.3-3.9],East Africa,2.3
Male,1988,0.9 [0.3-2.0],East Africa,0.9
Female,1988,3.7 [1.8-6.5],East Africa,3.7
Both sexes,1989,2.5 [1.4-4.1],East Africa,2.5
Male,1989,0.9 [0.3-2.1],East Africa,0.9
Female,1989,3.9 [1.9-6.7],East Africa,3.9
Both sexes,1990,2.6 [1.5-4.2],East Africa,2.6
Male,1990,1.0 [0.4-2.1],East Africa,1.0
Female,1990,4.1 [2.0-6.9],East Africa,4.1
Both sexes,1991,2.7 [1.6-4.4],East Africa,2.7
Male,1991,1.0 [0.4-2.2],East Africa,1.0
Female,1991,4.3 [2.2-7.2],East Africa,4.3
Both sexes,1992,2.8 [1.7-4.6],East Africa,2.8
Male,1992,1.1 [0.4-2.4],East Africa,1.1
Female,1992,4.5 [2.3-7.4],East Africa,4.5
Both sexes,1993,3.0 [1.7-4.8],East Africa,3.0
Male,1993,1.2 [0.4-2.5],East Africa,1.2
Female,1993,4.7 [2.4-7.7],East Africa,4.7
Both sexes,1994,3.1 [1.9-4.9],East Africa,3.1
Male,1994,1.2 [0.5-2.6],East Africa,1.2
Female,1994,4.9 [2.6-8.0],East Africa,4.9
Both sexes,1995,3.3 [2.0-5.1],East Africa,3.3
Male,1995,1.3 [0.5-2.7],East Africa,1.3
Female,1995,5.1 [2.7-8.3],East Africa,5.1
Both sexes,1996,3.4 [2.1-5.3],East Africa,3.4
Male,1996,1.4 [0.6-2.8],East Africa,1.4
Female,1996,5.3 [2.9-8.6],East Africa,5.3
Both sexes,1997,3.6 [2.2-5.5],East Africa,3.6
Male,1997,1.4 [0.6-2.9],East Africa,1.4
Female,1997,5.6 [3.1-8.9],East Africa,5.6
Both sexes,1998,3.8 [2.3-5.7],East Africa,3.8
Male,1998,1.5 [0.6-3.1],East Africa,1.5
Female,1998,5.8 [3.2-9.2],East Africa,5.8
Both sexes,1999,3.9 [2.5-5.9],East Africa,3.9
Male,1999,1.6 [0.7-3.2],East Africa,1.6
Female,1999,6.1 [3.4-9.5],East Africa,6.1
Both sexes,2000,4.1 [2.6-6.2],East Africa,4.1
Male,2000,1.7 [0.7-3.4],East Africa,1.7
Female,2000,6.4 [3.6-9.9],East Africa,6.4
Both sexes,2001,4.3 [2.7-6.4],East Africa,4.3
Male,2001,1.8 [0.8-3.5],East Africa,1.8
Female,2001,6.6 [3.8-10.3],East Africa,6.6
Both sexes,2002,4.5 [2.9-6.6],East Africa,4.5
Male,2002,1.9 [0.8-3.6],East Africa,1.9
Female,2002,6.9 [4.1-10.6],East Africa,6.9
Both sexes,2003,4.7 [3.1-6.9],East Africa,4.7
Male,2003,2.0 [0.9-3.8],East Africa,2.0
Female,2003,7.2 [4.3-11.0],East Africa,7.2
Both sexes,2004,4.9 [3.2-7.1],East Africa,4.9
Male,2004,2.1 [1.0-4.0],East Africa,2.1
Female,2004,7.6 [4.5-11.4],East Africa,7.6
Both sexes,2005,5.2 [3.4-7.4],East Africa,5.2
Male,2005,2.2 [1.0-4.2],East Africa,2.2
Female,2005,7.9 [4.7-11.8],East Africa,7.9
Both sexes,2006,5.4 [3.6-7.7],East Africa,5.4
Male,2006,2.3 [1.1-4.3],East Africa,2.3
Female,2006,8.2 [5.0-12.3],East Africa,8.2
Both sexes,2007,5.6 [3.7-8.0],East Africa,5.6
Male,2007,2.5 [1.1-4.5],East Africa,2.5
Female,2007,8.6 [5.2-12.7],East Africa,8.6
Both sexes,2008,5.9 [3.9-8.3],East Africa,5.9
Male,2008,2.6 [1.2-4.8],East Africa,2.6
Female,2008,8.9 [5.4-13.2],East Africa,8.9
Both sexes,2009,6.2 [4.1-8.7],East Africa,6.2
Male,2009,2.7 [1.3-4.9],East Africa,2.7
Female,2009,9.3 [5.7-13.7],East Africa,9.3
Both sexes,2010,6.4 [4.3-9.0],East Africa,6.4
Male,2010,2.9 [1.3-5.2],East Africa,2.9
Female,2010,9.7 [6.0-14.2],East Africa,9.7
Both sexes,2011,6.7 [4.5-9.4],East Africa,6.7
Male,2011,3.0 [1.4-5.5],East Africa,3.0
Female,2011,10.1 [6.3-14.7],East Africa,10.1
Both sexes,2012,7.0 [4.7-9.8],East Africa,7.0
Male,2012,3.2 [1.5-5.8],East Africa,3.2
Female,2012,10.5 [6.5-15.3],East Africa,10.5
Both sexes,2013,7.3 [4.9-10.2],East Africa,7.3
Male,2013,3.4 [1.6-6.1],East Africa,3.4
Female,2013,10.9 [6.7-16.0],East Africa,10.9
Both sexes,2014,7.6 [5.1-10.6],East Africa,7.6
Male,2014,3.5 [1.6-6.5],East Africa,3.5
Female,2014,11.4 [7.0-16.7],East Africa,11.4
Both sexes,2015,7.9 [5.3-11.1],East Africa,7.9
Male,2015,3.7 [1.7-6.9],East Africa,3.7
Female,2015,11.8 [7.2-17.5],East Africa,11.8
Both sexes,2016,8.3 [5.5-11.6],East Africa,8.3
Male,2016,3.9 [1.8-7.3],East Africa,3.9
Female,2016,12.3 [7.4-18.2],East Africa,12.3
