Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,10.0 [6.5-14.3],Southern Africa,10.0
Male,1975,2.3 [0.9-4.9],Southern Africa,2.3
Female,1975,17.1 [10.5-25.3],Southern Africa,17.1
Both sexes,1976,10.2 [6.8-14.5],Southern Africa,10.2
Male,1976,2.4 [1.0-4.9],Southern Africa,2.4
Female,1976,17.5 [11.0-25.4],Southern Africa,17.5
Both sexes,1977,10.5 [7.1-14.6],Southern Africa,10.5
Male,1977,2.5 [1.1-5.0],Southern Africa,2.5
Female,1977,17.9 [11.5-25.5],Southern Africa,17.9
Both sexes,1978,10.8 [7.4-14.7],Southern Africa,10.8
Male,1978,2.6 [1.2-5.0],Southern Africa,2.6
Female,1978,18.3 [12.1-25.6],Southern Africa,18.3
Both sexes,1979,11.0 [7.8-14.9],Southern Africa,11.0
Male,1979,2.7 [1.3-5.1],Southern Africa,2.7
Female,1979,18.7 [12.6-25.9],Southern Africa,18.7
Both sexes,1980,11.3 [8.1-15.0],Southern Africa,11.3
Male,1980,2.8 [1.4-5.2],Southern Africa,2.8
Female,1980,19.1 [13.1-26.1],Southern Africa,19.1
Both sexes,1981,11.6 [8.4-15.2],Southern Africa,11.6
Male,1981,2.9 [1.5-5.3],Southern Africa,2.9
Female,1981,19.5 [13.6-26.4],Southern Africa,19.5
Both sexes,1982,11.9 [8.8-15.4],Southern Africa,11.9
Male,1982,3.1 [1.6-5.4],Southern Africa,3.1
Female,1982,20.0 [14.2-26.6],Southern Africa,20.0
Both sexes,1983,12.2 [9.1-15.6],Southern Africa,12.2
Male,1983,3.2 [1.7-5.5],Southern Africa,3.2
Female,1983,20.4 [14.8-26.9],Southern Africa,20.4
Both sexes,1984,12.5 [9.5-15.9],Southern Africa,12.5
Male,1984,3.3 [1.9-5.6],Southern Africa,3.3
Female,1984,20.9 [15.4-27.2],Southern Africa,20.9
Both sexes,1985,12.9 [9.9-16.1],Southern Africa,12.9
Male,1985,3.5 [2.0-5.7],Southern Africa,3.5
Female,1985,21.4 [16.0-27.5],Southern Africa,21.4
Both sexes,1986,13.2 [10.3-16.4],Southern Africa,13.2
Male,1986,3.7 [2.2-5.9],Southern Africa,3.7
