Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.7 [7.0-13.1],Southern Europe,9.7
Male,1975,7.5 [4.3-11.8],Southern Europe,7.5
Female,1975,11.5 [7.3-16.8],Southern Europe,11.5
Both sexes,1976,10.1 [7.4-13.3],Southern Europe,10.1
Male,1976,7.9 [4.7-12.0],Southern Europe,7.9
Female,1976,11.8 [7.8-16.9],Southern Europe,11.8
Both sexes,1977,10.4 [7.8-13.6],Southern Europe,10.4
Male,1977,8.2 [5.1-12.2],Southern Europe,8.2
Female,1977,12.2 [8.2-17.1],Southern Europe,12.2
Both sexes,1978,10.8 [8.3-13.9],Southern Europe,10.8
Male,1978,8.6 [5.5-12.4],Southern Europe,8.6
Female,1978,12.5 [8.7-17.3],Southern Europe,12.5
Both sexes,1979,11.1 [8.7-14.1],Southern Europe,11.1
Male,1979,8.9 [5.9-12.6],Southern Europe,8.9
Female,1979,12.9 [9.1-17.4],Southern Europe,12.9
Both sexes,1980,11.5 [9.1-14.3],Southern Europe,11.5
Male,1980,9.3 [6.3-12.9],Southern Europe,9.3
Female,1980,13.2 [9.6-17.6],Southern Europe,13.2
Both sexes,1981,11.8 [9.5-14.6],Southern Europe,11.8
Male,1981,9.7 [6.8-13.2],Southern Europe,9.7
Female,1981,13.6 [10.0-17.8],Southern Europe,13.6
Both sexes,1982,12.2 [9.9-14.8],Southern Europe,12.2
Male,1982,10.1 [7.2-13.4],Southern Europe,10.1
Female,1982,13.9 [10.4-18.0],Southern Europe,13.9
Both sexes,1983,12.5 [10.3-15.1],Southern Europe,12.5
Male,1983,10.4 [7.6-13.7],Southern Europe,10.4
Female,1983,14.2 [10.9-18.2],Southern Europe,14.2
Both sexes,1984,12.9 [10.7-15.4],Southern Europe,12.9
Male,1984,10.8 [8.0-14.0],Southern Europe,10.8
Female,1984,14.6 [11.3-18.4],Southern Europe,14.6
Both sexes,1985,13.2 [11.0-15.6],Southern Europe,13.2
Male,1985,11.2 [8.4-14.3],Southern Europe,11.2
Female,1985,14.9 [11.6-18.6],Southern Europe,14.9
