Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,1.0 [0.4-2.1],North Africa,1.0
Male,1975,0.7 [0.2-1.9] 0.3 [0.1-1.1],North Africa,0.7
Female,1975,1.7 [0.5-4.1] 1.8 [0.6-4.1],North Africa,1.7
Both sexes,1976,1.5 [0.5-3.2],North Africa,1.5
Male,1976,0.7 [0.2-1.9] 0.4 [0.1-1.1],North Africa,0.7
Female,1976,1.9 [0.6-4.2] 1.9 [0.6-4.2],North Africa,1.9
Both sexes,1977,1.1 [0.5-2.3],North Africa,1.1
Male,1977,0.7 [0.2-1.9] 0.4 [0.1-1.1],North Africa,0.7
Female,1977,2.0 [0.7-4.3] 2.0 [0.7-4.3],North Africa,2.0
Both sexes,1978,1.2 [0.5-2.4],North Africa,1.2
Male,1978,0.8 [0.2-1.9] 0.4 [0.1-1.2],North Africa,0.8
Female,1978,2.1 [0.7-4.4] 2.1 [0.8-4.4],North Africa,2.1
Both sexes,1979,1.3 [0.6-2.6],North Africa,1.3
Male,1979,0.8 [0.2-1.9] 0.4 [0.1-1.2],North Africa,0.8
Female,1979,2.2 [0.8-4.5] 2.2 [0.8-4.6],North Africa,2.2
Both sexes,1980,1.3 [0.6-2.5],North Africa,1.3
Male,1980,0.8 [0.3-2.0] 0.5 [0.1-1.2],North Africa,0.8
Female,1980,2.3 [0.9-4.5] 2.4 [0.9-4.7],North Africa,2.3
Both sexes,1981,0.8 [0.4-1.6],North Africa,0.8
Male,1981,0.9 [0.3-2.0] 0.5 [0.1-1.3],North Africa,0.9
Female,1981,2.4 [1.0-4.6] 2.5 [1.0-4.9],North Africa,2.4
Both sexes,1982,0.9 [0.5-1.7],North Africa,0.9
Male,1982,0.9 [0.3-2.0] 0.5 [0.1-1.3],North Africa,0.9
Female,1982,2.5 [1.1-4.7] 2.6 [1.1-5.0],North Africa,2.5
Both sexes,1983,1.1 [0.5-1.9],North Africa,1.1
Male,1983,1.0 [0.3-2.1] 0.6 [0.2-1.4],North Africa,1.0
Female,1983,2.6 [1.1-4.8] 2.8 [1.2-5.2],North Africa,2.6
Both sexes,1984,1.9 [1.0-3.4],North Africa,1.9
Male,1984,1.0 [0.4-2.1] 0.6 [0.2-1.4],North Africa,1.0
Female,1984,2.7 [1.2-4.9] 2.9 [1.3-5.4],North Africa,2.7
Both sexes,1985,1.8 [0.9-3.1],North Africa,1.8
Male,1985,1.0 [0.4-2.2] 0.6 [0.2-1.5],North Africa,1.0
Female,1985,2.8 [1.3-5.0] 3.1 [1.4-5.6],North Africa,2.8
Both sexes,1986,1.9 [1.0-3.2],North Africa,1.9
Male,1986,1.1 [0.4-2.2] 0.7 [0.2-1.6],North Africa,1.1
Female,1986,2.9 [1.4-5.1] 3.3 [1.5-5.9],North Africa,2.9
Both sexes,1987,1.9 [1.1-3.2],North Africa,1.9
Male,1987,1.1 [0.4-2.3] 0.7 [0.2-1.7],North Africa,1.1
Female,1987,3.0 [1.5-5.3] 3.5 [1.6-6.1],North Africa,3.0
Both sexes,1988,2.0 [1.1-3.3],North Africa,2.0
Male,1988,1.1 [0.5-2.3] 0.8 [0.3-1.8],North Africa,1.1
Female,1988,3.2 [1.6-5.4] 3.7 [1.8-6.4],North Africa,3.2
Both sexes,1989,1.6 [0.9-2.6],North Africa,1.6
Male,1989,1.2 [0.5-2.4] 0.9 [0.3-1.9],North Africa,1.2
Female,1989,3.4 [1.7-5.7] 3.9 [1.9-6.7],North Africa,3.4
Both sexes,1990,2.7 [1.5-4.4],North Africa,2.7
Male,1990,1.3 [0.5-2.5] 0.9 [0.3-2.0],North Africa,1.3
Female,1990,3.5 [1.9-5.9] 4.2 [2.1-7.1],North Africa,3.5
Both sexes,1991,2.8 [1.6-4.5],North Africa,2.8
Male,1991,1.3 [0.5-2.6] 1.0 [0.4-2.1],North Africa,1.3
Female,1991,3.7 [2.0-6.1] 4.4 [2.3-7.4],North Africa,3.7
Both sexes,1992,3.2 [1.8-5.0],North Africa,3.2
Male,1992,1.4 [0.6-2.6] 1.1 [0.4-2.3],North Africa,1.4
Female,1992,4.0 [2.2-6.4] 4.7 [2.5-7.8],North Africa,4.0
Both sexes,1993,3.1 [1.8-4.8],North Africa,3.1
Male,1993,1.4 [0.6-2.7] 1.2 [0.5-2.4],North Africa,1.4
Female,1993,4.2 [2.4-6.7] 5.0 [2.7-8.2],North Africa,4.2
Both sexes,1994,2.9 [1.7-4.4],North Africa,2.9
Male,1994,1.5 [0.7-2.8] 1.3 [0.5-2.6],North Africa,1.5
Female,1994,4.4 [2.5-7.0] 5.3 [2.9-8.5],North Africa,4.4
Both sexes,1995,2.7 [1.7-4.1],North Africa,2.7
Male,1995,1.6 [0.7-2.9] 1.4 [0.6-2.7],North Africa,1.6
Female,1995,4.7 [2.7-7.3] 5.5 [3.1-8.9],North Africa,4.7
Both sexes,1996,3.6 [2.2-5.4],North Africa,3.6
Male,1996,1.7 [0.8-3.1] 1.5 [0.6-2.9],North Africa,1.7
Female,1996,5.0 [2.9-7.6] 5.8 [3.3-9.3],North Africa,5.0
Both sexes,1997,2.7 [1.7-4.1],North Africa,2.7
Male,1997,1.8 [0.8-3.2] 1.6 [0.7-3.0],North Africa,1.8
Female,1997,5.2 [3.1-8.0] 6.1 [3.5-9.6],North Africa,5.2
Both sexes,1998,3.7 [2.3-5.4],North Africa,3.7
Male,1998,1.8 [0.9-3.3] 1.7 [0.7-3.2],North Africa,1.8
Female,1998,5.5 [3.4-8.4] 6.4 [3.7-10.0],North Africa,5.5
Both sexes,1999,5.5 [3.4-8.3],North Africa,5.5
Male,1999,1.9 [0.9-3.4] 1.8 [0.8-3.3],North Africa,1.9
Female,1999,5.8 [3.6-8.8] 6.7 [3.9-10.3],North Africa,5.8
Both sexes,2000,5.8 [3.6-8.6],North Africa,5.8
Male,2000,2.0 [1.0-3.6] 1.9 [0.8-3.4],North Africa,2.0
Female,2000,6.1 [3.8-9.2] 6.9 [4.1-10.7],North Africa,6.1
Both sexes,2001,5.0 [3.2-7.3],North Africa,5.0
Male,2001,2.1 [1.1-3.7] 1.9 [0.9-3.6],North Africa,2.1
Female,2001,6.5 [4.0-9.5] 7.2 [4.3-11.0],North Africa,6.5
