Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.5 [4.4-11.6],South America,7.5
Male,1975,3.2 [1.2-6.6],South America,3.2
Female,1975,11.8 [6.2-19.2],South America,11.8
Both sexes,1976,8.0 [4.8-12.0],South America,8.0
Male,1976,3.4 [1.4-6.9],South America,3.4
Female,1976,12.5 [6.8-19.8],South America,12.5
Both sexes,1977,8.5 [5.3-12.5],South America,8.5
Male,1977,3.7 [1.5-7.2],South America,3.7
Female,1977,13.2 [7.5-20.4],South America,13.2
Both sexes,1978,9.0 [5.7-13.0],South America,9.0
Male,1978,4.0 [1.8-7.7],South America,4.0
Female,1978,14.0 [8.1-21.2],South America,14.0
Both sexes,1979,9.6 [6.3-13.6],South America,9.6
Male,1979,4.4 [2.0-8.1],South America,4.4
Female,1979,14.8 [8.9-22.1],South America,14.8
Both sexes,1980,10.3 [6.9-14.4],South America,10.3
Male,1980,4.8 [2.3-8.6],South America,4.8
Female,1980,15.7 [9.8-22.9],South America,15.7
Both sexes,1981,10.9 [7.5-15.0],South America,10.9
Male,1981,5.3 [2.5-9.3],South America,5.3
Female,1981,16.5 [10.5-23.7],South America,16.5
Both sexes,1982,11.5 [8.0-15.6],South America,11.5
Male,1982,5.6 [2.8-9.8],South America,5.6
Female,1982,17.3 [11.2-24.4],South America,17.3
Both sexes,1983,12.0 [8.4-16.1],South America,12.0
Male,1983,6.0 [3.0-10.2],South America,6.0
Female,1983,18.0 [11.8-25.1],South America,18.0
Both sexes,1984,12.5 [8.9-16.6],South America,12.5
Male,1984,6.4 [3.2-10.7],South America,6.4
Female,1984,18.6 [12.4-25.8],South America,18.6
Both sexes,1985,13.0 [9.3-17.1],South America,13.0
Male,1985,6.7 [3.5-11.1],South America,6.7
Female,1985,19.2 [12.9-26.2],South America,19.2
Both sexes,1986,13.4 [9.7-17.5],South America,13.4
Male,1986,7.0 [3.7-11.6],South America,7.0
Female,1986,19.7 [13.4-26.7],South America,19.7
