Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.9 [5.8-10.5],Northern Europe,7.9
Male,1975,7.0 [4.5-10.1],Northern Europe,7.0
Female,1975,8.8 [5.6-13.0],Northern Europe,8.8
Both sexes,1976,8.2 [6.1-10.6],Northern Europe,8.2
Male,1976,7.2 [4.8-10.3],Northern Europe,7.2
Female,1976,9.0 [5.9-13.0],Northern Europe,9.0
Both sexes,1977,8.4 [6.4-10.8],Northern Europe,8.4
Male,1977,7.5 [5.1-10.5],Northern Europe,7.5
Female,1977,9.2 [6.1-13.0],Northern Europe,9.2
Both sexes,1978,8.6 [6.6-10.9],Northern Europe,8.6
Male,1978,7.8 [5.4-10.7],Northern Europe,7.8
Female,1978,9.3 [6.4-13.0],Northern Europe,9.3
Both sexes,1979,8.8 [6.9-11.1],Northern Europe,8.8
Male,1979,8.0 [5.7-10.8],Northern Europe,8.0
Female,1979,9.5 [6.6-13.0],Northern Europe,9.5
Both sexes,1980,9.0 [7.1-11.2],Northern Europe,9.0
Male,1980,8.3 [6.0-11.0],Northern Europe,8.3
Female,1980,9.7 [6.8-13.1],Northern Europe,9.7
Both sexes,1981,9.2 [7.4-11.3],Northern Europe,9.2
Male,1981,8.5 [6.2-11.3],Northern Europe,8.5
Female,1981,9.8 [7.0-13.2],Northern Europe,9.8
Both sexes,1982,9.4 [7.6-11.5],Northern Europe,9.4
Male,1982,8.8 [6.5-11.4],Northern Europe,8.8
Female,1982,10.0 [7.2-13.3],Northern Europe,10.0
Both sexes,1983,9.7 [7.9-11.7],Northern Europe,9.7
Male,1983,9.1 [6.8-11.7],Northern Europe,9.1
Female,1983,10.2 [7.4-13.3],Northern Europe,10.2
Both sexes,1984,9.9 [8.1-11.8],Northern Europe,9.9
Male,1984,9.3 [7.1-11.9],Northern Europe,9.3
Female,1984,10.3 [7.6-13.4],Northern Europe,10.3
Both sexes,1985,10.1 [8.3-12.0],Northern Europe,10.1
Male,1985,9.6 [7.4-12.2],Northern Europe,9.6
Female,1985,10.5 [7.8-13.5],Northern Europe,10.5
Both sexes,1986,10.3 [8.5-12.2],Northern Europe,10.3
Male,1986,9.9 [7.6-12.5],Northern Europe,9.9
Female,1986,10.7 [8.0-13.7],Northern Europe,10.7
Both sexes,1987,10.6 [8.8-12.5],Northern Europe,10.6
Male,1987,10.2 [8.0-12.8],Northern Europe,10.2
Female,1987,10.8 [8.2-13.8],Northern Europe,10.8
Both sexes,1988,10.8 [9.0-12.7],Northern Europe,10.8
Male,1988,10.5 [8.2-13.1],Northern Europe,10.5
Female,1988,11.0 [8.4-14.0],Northern Europe,11.0
Both sexes,1989,11.1 [9.3-13.0],Northern Europe,11.1
Male,1989,10.8 [8.5-13.5],Northern Europe,10.8
Female,1989,11.2 [8.5-14.1],Northern Europe,11.2
Both sexes,1990,11.3 [9.5-13.3],Northern Europe,11.3
Male,1990,11.2 [8.8-13.8],Northern Europe,11.2
Female,1990,11.4 [8.7-14.3],Northern Europe,11.4
Both sexes,1991,11.6 [9.8-13.5],Northern Europe,11.6
Male,1991,11.5 [9.2-14.1],Northern Europe,11.5
Female,1991,11.6 [9.0-14.5],Northern Europe,11.6
Both sexes,1992,11.9 [10.1-13.8],Northern Europe,11.9
Male,1992,11.9 [9.5-14.6],Northern Europe,11.9
Female,1992,11.9 [9.2-14.8],Northern Europe,11.9
