Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.0 [3.3-7.3],Western Europe,5.0
Male,1975,4.7 [2.5-7.7],Western Europe,4.7
Female,1975,5.3 [2.8-8.6],Western Europe,5.3
Both sexes,1976,5.2 [3.5-7.4],Western Europe,5.2
Male,1976,4.8 [2.6-7.9],Western Europe,4.8
Female,1976,5.5 [3.0-8.7],Western Europe,5.5
Both sexes,1977,5.4 [3.6-7.5],Western Europe,5.4
Male,1977,5.0 [2.8-8.0],Western Europe,5.0
Female,1977,5.6 [3.2-8.8],Western Europe,5.6
Both sexes,1978,5.5 [3.8-7.7],Western Europe,5.5
Male,1978,5.2 [3.0-8.2],Western Europe,5.2
Female,1978,5.8 [3.3-8.9],Western Europe,5.8
Both sexes,1979,5.7 [4.0-7.8],Western Europe,5.7
Male,1979,5.4 [3.2-8.3],Western Europe,5.4
Female,1979,5.9 [3.5-9.0],Western Europe,5.9
Both sexes,1980,5.9 [4.2-8.0],Western Europe,5.9
Male,1980,5.6 [3.4-8.5],Western Europe,5.6
Female,1980,6.0 [3.6-9.1],Western Europe,6.0
Both sexes,1981,6.1 [4.3-8.2],Western Europe,6.1
Male,1981,5.9 [3.6-8.8],Western Europe,5.9
Female,1981,6.2 [3.8-9.3],Western Europe,6.2
Both sexes,1982,6.4 [4.6-8.5],Western Europe,6.4
Male,1982,6.2 [3.9-9.1],Western Europe,6.2
Female,1982,6.4 [4.0-9.5],Western Europe,6.4
Both sexes,1983,6.7 [4.9-8.8],Western Europe,6.7
Male,1983,6.5 [4.2-9.6],Western Europe,6.5
Female,1983,6.7 [4.3-9.8],Western Europe,6.7
Both sexes,1984,7.0 [5.2-9.2],Western Europe,7.0
Male,1984,6.9 [4.5-10.0],Western Europe,6.9
Female,1984,7.0 [4.5-10.2],Western Europe,7.0
Both sexes,1985,7.4 [5.5-9.6],Western Europe,7.4
Male,1985,7.4 [4.9-10.5],Western Europe,7.4
Female,1985,7.4 [4.9-10.6],Western Europe,7.4
Both sexes,1986,7.8 [5.9-10.1],Western Europe,7.8
Male,1986,7.8 [5.3-11.0],Western Europe,7.8
